date,bars,qc_ok,reason
2021-07-21,48,True,ok
2021-07-22,48,True,ok
2021-07-26,48,True,ok
2021-08-02,48,True,ok
2021-11-02,48,True,ok
2021-11-04,48,True,ok
2021-12-06,48,True,ok
2021-12-08,48,True,ok
2022-02-09,48,True,ok
2022-02-10,48,True,ok
2022-02-11,48,True,ok
2022-02-21,48,True,ok
2022-03-03,48,True,ok
2022-03-18,48,True,ok
2022-03-21,48,True,ok
2022-03-23,48,True,ok
2022-04-07,48,True,ok
2022-04-29,48,True,ok
2022-05-05,48,True,ok
2022-05-06,48,True,ok
2022-05-12,48,True,ok
2022-05-13,48,True,ok
2022-05-18,48,True,ok
2022-05-20,48,True,ok
2022-10-10,48,True,ok
2022-10-17,48,True,ok
2022-10-18,48,True,ok
2022-10-21,48,True,ok
2022-10-28,48,True,ok
2023-08-30,48,True,ok
2023-09-20,48,False,ohlc_mismatch:low(18.330!=18.180)
2023-10-30,48,True,ok
2023-10-31,48,True,ok
2023-11-07,48,True,ok
2023-11-08,48,True,ok
2024-08-13,48,True,ok
2024-08-15,48,True,ok
2024-08-19,48,True,ok
2024-09-11,48,True,ok
2024-09-12,48,True,ok
2024-09-18,48,False,ohlc_mismatch:high(19.050!=19.100)
2024-12-12,48,True,ok
2025-01-15,48,True,ok
2025-01-17,48,True,ok
2025-04-11,48,True,ok
2025-04-14,48,False,ohlc_mismatch:high(18.600!=18.670)
2025-04-16,48,False,ohlc_mismatch:high(18.000!=18.060)
2025-04-22,48,True,ok
2025-04-23,48,True,ok
2025-04-24,48,True,ok
2025-12-04,48,False,"ohlc_mismatch:high(62.870!=62.960),low(59.710!=59.680)"
2025-12-05,48,False,"ohlc_mismatch:high(62.230!=62.260),low(60.130!=60.000)"
2026-01-28,48,False,ohlc_mismatch:high(62.570!=62.640)
2026-02-11,48,True,ok
2026-03-11,48,True,ok
2026-03-26,48,True,ok
2026-07-23,48,False,ohlc_mismatch:high(64.110!=64.150)
2026-07-24,48,False,"ohlc_mismatch:high(61.390!=61.420),low(60.200!=60.170)"
2026-08-04,48,True,ok
2026-08-05,48,False,ohlc_mismatch:low(59.000!=58.900)
2026-09-04,48,True,ok
