date,time,code,open,high,low,close,volume,amount,adjustflag,dt
2021-11-04,20211104093500000,sh.601138,11.52,11.54,11.47,11.48,625100,7185366.0,3,2021-11-04 09:35:00
2021-11-04,20211104094000000,sh.601138,11.48,11.52,11.47,11.51,466234,5360318.0,3,2021-11-04 09:40:00
2021-11-04,20211104094500000,sh.601138,11.5,11.52,11.48,11.48,468700,5390620.0,3,2021-11-04 09:45:00
2021-11-04,20211104095000000,sh.601138,11.48,11.5,11.46,11.5,468300,5376080.0,3,2021-11-04 09:50:00
2021-11-04,20211104095500000,sh.601138,11.5,11.56,11.5,11.54,726600,8384147.0,3,2021-11-04 09:55:00
2021-11-04,20211104100000000,sh.601138,11.54,11.55,11.52,11.52,265900,3067685.0,3,2021-11-04 10:00:00
2021-11-04,20211104100500000,sh.601138,11.52,11.53,11.48,11.49,366502,4215648.0,3,2021-11-04 10:05:00
2021-11-04,20211104101000000,sh.601138,11.49,11.51,11.48,11.5,169400,1947224.0,3,2021-11-04 10:10:00
2021-11-04,20211104101500000,sh.601138,11.5,11.55,11.5,11.54,613100,7071860.0,3,2021-11-04 10:15:00
2021-11-04,20211104102000000,sh.601138,11.54,11.55,11.52,11.53,366800,4233077.0,3,2021-11-04 10:20:00
2021-11-04,20211104102500000,sh.601138,11.52,11.56,11.52,11.55,462100,5333179.0,3,2021-11-04 10:25:00
2021-11-04,20211104103000000,sh.601138,11.55,11.56,11.53,11.54,155200,1791653.0,3,2021-11-04 10:30:00
2021-11-04,20211104103500000,sh.601138,11.54,11.56,11.53,11.55,854200,9866528.0,3,2021-11-04 10:35:00
2021-11-04,20211104104000000,sh.601138,11.55,11.56,11.54,11.56,402100,4644544.0,3,2021-11-04 10:40:00
2021-11-04,20211104104500000,sh.601138,11.55,11.62,11.55,11.59,3711500,42981444.0,3,2021-11-04 10:45:00
2021-11-04,20211104105000000,sh.601138,11.58,11.6,11.58,11.58,306500,3551967.0,3,2021-11-04 10:50:00
2021-11-04,20211104105500000,sh.601138,11.58,11.59,11.58,11.58,240000,2780001.0,3,2021-11-04 10:55:00
2021-11-04,20211104110000000,sh.601138,11.58,11.6,11.56,11.59,621100,7197079.0,3,2021-11-04 11:00:00
2021-11-04,20211104110500000,sh.601138,11.59,11.6,11.58,11.58,212200,2458135.0,3,2021-11-04 11:05:00
2021-11-04,20211104111000000,sh.601138,11.58,11.59,11.57,11.59,251300,2909903.0,3,2021-11-04 11:10:00
2021-11-04,20211104111500000,sh.601138,11.58,11.6,11.58,11.59,186200,2157744.0,3,2021-11-04 11:15:00
2021-11-04,20211104112000000,sh.601138,11.58,11.59,11.56,11.57,470450,5443492.0,3,2021-11-04 11:20:00
2021-11-04,20211104112500000,sh.601138,11.58,11.61,11.57,11.58,1140200,13221494.0,3,2021-11-04 11:25:00
2021-11-04,20211104113000000,sh.601138,11.58,11.6,11.57,11.6,182600,2115819.0,3,2021-11-04 11:30:00
2021-11-04,20211104130500000,sh.601138,11.6,11.6,11.59,11.59,203501,2359611.0,3,2021-11-04 13:05:00
2021-11-04,20211104131000000,sh.601138,11.59,11.6,11.58,11.59,123400,1430420.0,3,2021-11-04 13:10:00
2021-11-04,20211104131500000,sh.601138,11.59,11.6,11.56,11.57,275400,3189371.0,3,2021-11-04 13:15:00
2021-11-04,20211104132000000,sh.601138,11.57,11.59,11.56,11.56,123700,1431495.0,3,2021-11-04 13:20:00
2021-11-04,20211104132500000,sh.601138,11.57,11.58,11.56,11.57,124300,1438181.0,3,2021-11-04 13:25:00
2021-11-04,20211104133000000,sh.601138,11.57,11.58,11.56,11.58,126700,1466605.0,3,2021-11-04 13:30:00
