window,kind,rise,pullback,tp,stop,breakout_veto,signals,executed,execution_rate,net_win_rate,avg_net_per_trade,avg_net_per_signal,total_pnl_1000,pf,worst_pnl_1000,max_losing_streak,tp_count,stop_count,ambiguous_bar_count
full,limit,0.002,,,,,61,46,0.7540983606557377,0.5217391304347826,-0.0027870684319993505,-0.0021017237356060676,-2446.07285919879,0.6039907823913891,-3110.245124006821,6,0,0,0
full,limit,0.002,,0.012,,,61,46,0.7540983606557377,0.5434782608695652,-0.002516784117710683,-0.0018979027772900233,-2172.6344045340097,0.639407082780108,-3110.245124006821,6,16,0,0
full,limit,0.002,,0.015,,,61,46,0.7540983606557377,0.5434782608695652,-0.0019150733850667662,-0.0014441537002142827,-1744.435471766359,0.7104754143847751,-3110.245124006821,6,12,0,0
full,limit,0.002,,0.018,,,61,46,0.7540983606557377,0.5217391304347826,-0.0019234676261965782,-0.001450483783689223,-1766.857497927063,0.7139529786495452,-3110.245124006821,6,10,0,0
full,limit,0.003,,,,,61,45,0.7377049180327869,0.5111111111111111,-0.00239062527961559,-0.0017635760259459273,-1857.3586100597652,0.6831749987526181,-3053.500175848233,6,0,0,0
full,limit,0.003,,0.012,,,61,45,0.7377049180327869,0.5333333333333333,-0.0020184007766420164,-0.001488984179490012,-1715.645456969416,0.7005022340776662,-3053.500175848233,6,16,0,0
full,limit,0.003,,0.015,,,61,45,0.7377049180327869,0.5333333333333333,-0.001430218280811724,-0.0010550790596152062,-1216.4773879918325,0.7876412877039521,-3053.500175848233,6,12,0,0
full,limit,0.003,,0.015,0.04,,61,45,0.7377049180327869,0.5333333333333333,-0.0010796468624122532,-0.0007964608001401868,-516.1816508605935,0.8973408699405118,-2382.714681416468,6,12,3,0
full,limit,0.003,,0.018,,,61,45,0.7377049180327869,0.5111111111111111,-0.0014959329407277125,-0.001103557087422083,-1260.7318208943861,0.7849465587506417,-3053.500175848233,6,9,0,0
full,limit,0.004,,,,,61,40,0.6557377049180327,0.45,-0.002810944565313901,-0.0018432423379107546,-1556.157036770669,0.7195110566345789,-2996.755227689646,6,0,0,0
full,limit,0.004,,0.012,,,61,40,0.6557377049180327,0.475,-0.002077384765250964,-0.0013622195181973533,-942.160438127874,0.8265423143999483,-2996.755227689646,6,16,0,0
full,limit,0.004,,0.015,,,61,40,0.6557377049180327,0.475,-0.0019253730740116603,-0.0012625397206633838,-1100.2830164152283,0.7974309493278409,-2996.755227689646,6,10,0,0
full,limit,0.004,,0.018,,,61,40,0.6557377049180327,0.475,-0.0012645631642839166,-0.0008292217470714207,-533.9581473357966,0.9016949335845622,-2996.755227689646,6,9,0,0
full,limit,0.005,,,,,61,39,0.639344262295082,0.46153846153846156,-0.001982238909687924,-0.0012673330734070333,-840.0800001691897,0.8395816652682961,-2940.010279531058,7,0,0,0
full,limit,0.005,,0.012,,,61,39,0.639344262295082,0.48717948717948717,-0.001488170816461168,-0.0009514534728194353,-521.086882157171,0.8985831225780085,-2940.010279531058,7,17,0,0
full,limit,0.005,,0.015,,,61,39,0.639344262295082,0.48717948717948717,-0.0010787268033864348,-0.0006896777923290321,-329.1374172980162,0.9359414135183782,-2940.010279531058,7,12,0,0
full,limit,0.005,,0.015,0.04,,61,39,0.639344262295082,0.48717948717948717,-0.0008343186705775397,-0.0005334168549594107,200.28721978571696,1.0434590342932308,-2387.465857251788,7,12,3,0
full,limit,0.005,,0.018,,,61,39,0.639344262295082,0.48717948717948717,-0.000623391183909284,-0.000398561576597739,-6.51872081045974,0.9987312896716074,-2940.010279531058,7,9,0,0
full,open,0.0,,,,,61,51,0.8360655737704918,0.5098039215686274,-0.0023822419806617083,-0.001991710508422084,-2897.794365799923,0.5765726457775224,-3223.7350203239953,5,0,0,0
full,open,0.0,,0.012,,,61,51,0.8360655737704918,0.5490196078431373,-0.0024699536637947145,-0.002065043227107056,-2784.6775022732522,0.5759995358076775,-3223.7350203239953,5,19,0,0
full,open,0.0,,0.015,,,61,51,0.8360655737704918,0.5098039215686274,-0.002690490035513167,-0.0022494260952651067,-2862.574991213073,0.5817189207426073,-3223.7350203239953,5,14,0,0
full,open,0.0,,0.018,,,61,51,0.8360655737704918,0.5098039215686274,-0.0019893073332644335,-0.0016631913769915754,-2207.1386668881028,0.6774916477330599,-3223.7350203239953,5,13,0,0
full,pullback,0.003,0.002,,,,61,45,0.7377049180327869,0.5555555555555556,-0.002382239041993316,-0.001757389457208184,-1107.0780735019196,0.7985837300457537,-2534.525123660989,4,0,0,0
full,pullback,0.003,0.002,,,0.02,61,44,0.7213114754098361,0.5454545454545454,-0.0028196888391611202,-0.0020338739167719555,-2201.652400468936,0.5994423294505826,-2534.525123660989,4,0,0,0
full,pullback,0.003,0.002,0.015,,,61,45,0.7377049180327869,0.5777777777777777,-0.001607688936097156,-0.0011860000348257707,-630.5541913322655,0.8827856638555004,-2534.525123660989,4,10,0,0
full,pullback,0.003,0.002,0.015,,0.02,61,44,0.7213114754098361,0.5681818181818182,-0.0019446621412470945,-0.0014027071182765927,-1488.475864005725,0.723305763937733,-2534.525123660989,4,9,0,0
