date,cash,shares,open_equity,equity,id
2020-01-02,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-03,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-06,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-07,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-08,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-09,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-10,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-13,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-14,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-15,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-16,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-17,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-20,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-21,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-22,20218.0,0,20218.0,20218.0,ON1_F3
2020-01-23,20218.0,0,20218.0,20218.0,ON1_F3
2020-02-03,20218.0,0,20218.0,20218.0,ON1_F3
2020-02-04,2183.6294198000032,1000,20218.0,20203.629419800003,ON1_F3
2020-02-05,1606.3164945000099,1000,20311.035481400006,20296.31649450001,ON1_F3
2020-02-06,1178.3065607000099,1000,20113.14514990001,20098.30656070001,ON1_F3
2020-02-07,21043.068709700012,0,21043.068709700012,21043.068709700012,ON1_F3
2020-02-10,21043.068709700012,0,21043.068709700012,21043.068709700012,ON1_F3
2020-02-11,21043.068709700012,0,21043.068709700012,21043.068709700012,ON1_F3
2020-02-12,21043.068709700012,0,21043.068709700012,21043.068709700012,ON1_F3
2020-02-13,21043.068709700012,0,21043.068709700012,21043.068709700012,ON1_F3
2020-02-14,21043.068709700012,0,21043.068709700012,21043.068709700012,ON1_F3
2020-02-17,1838.089717800016,1000,21043.068709700012,21028.089717800016,ON1_F3
2020-02-18,21003.91550980002,0,21003.91550980002,21003.91550980002,ON1_F3
2020-02-19,21003.91550980002,0,21003.91550980002,21003.91550980002,ON1_F3
2020-02-20,21003.91550980002,0,21003.91550980002,21003.91550980002,ON1_F3
2020-02-21,21003.91550980002,0,21003.91550980002,21003.91550980002,ON1_F3
2020-02-24,21003.91550980002,0,21003.91550980002,21003.91550980002,ON1_F3
2020-02-25,21003.91550980002,0,21003.91550980002,21003.91550980002,ON1_F3
2020-02-26,21003.91550980002,0,21003.91550980002,21003.91550980002,ON1_F3
2020-02-27,2089.0873208000194,1000,21003.91550980002,20989.08732080002,ON1_F3
2020-02-28,3042.73317080002,1000,20136.614941600023,20122.73317080002,ON1_F3
2020-03-02,2857.3770194000244,1000,20311.445993800022,20297.377019400024,ON1_F3
2020-03-03,3201.215538300028,1000,20655.284512700026,20641.215538300028,ON1_F3
2020-03-04,3626.3193580000334,1000,20400.03472560003,20386.319358000033,ON1_F3
2020-03-05,20695.336079000033,0,20695.336079000033,20695.336079000033,ON1_F3
2020-03-06,20695.336079000033,0,20695.336079000033,20695.336079000033,ON1_F3
2020-03-09,20695.336079000033,0,20695.336079000033,20695.336079000033,ON1_F3
2020-03-10,20695.336079000033,0,20695.336079000033,20695.336079000033,ON1_F3
2020-03-11,20695.336079000033,0,20695.336079000033,20695.336079000033,ON1_F3
2020-03-12,20695.336079000033,0,20695.336079000033,20695.336079000033,ON1_F3
2020-03-13,20695.336079000033,0,20695.336079000033,20695.336079000033,ON1_F3
2020-03-16,6382.899936000034,1000,20695.336079000033,20682.899936000034,ON1_F3
2020-03-17,6823.801135800037,1000,20746.034474900036,20733.801135800037,ON1_F3
2020-03-18,7275.400965700037,1000,20847.452301300036,20835.400965700035,ON1_F3
2020-03-19,7277.786541100038,1000,20799.811876200038,20787.78654110004,ON1_F3
2020-03-20,7349.943382200037,1000,20931.999917900037,20919.943382200036,ON1_F3
2020-03-23,20425.038063200038,0,20425.038063200038,20425.038063200038,ON1_F3
2020-03-24,7393.26753300004,1000,20425.038063200038,20413.267533000042,ON1_F3
2020-03-25,20767.90636700004,0,20767.90636700004,20767.90636700004,ON1_F3
2020-03-26,20767.90636700004,0,20767.90636700004,20767.90636700004,ON1_F3
2020-03-27,20767.90636700004,0,20767.90636700004,20767.90636700004,ON1_F3
2020-03-30,20767.90636700004,0,20767.90636700004,20767.90636700004,ON1_F3
2020-03-31,7546.03703490004,1000,20767.90636700004,20756.03703490004,ON1_F3
2020-04-01,20651.08613120004,0,20651.08613120004,20651.08613120004,ON1_F3
2020-04-02,20651.08613120004,0,20651.08613120004,20651.08613120004,ON1_F3
2020-04-03,20651.08613120004,0,20651.08613120004,20651.08613120004,ON1_F3
2020-04-07,20651.08613120004,0,20651.08613120004,20651.08613120004,ON1_F3
2020-04-08,20651.08613120004,0,20651.08613120004,20651.08613120004,ON1_F3
2020-04-09,20651.08613120004,0,20651.08613120004,20651.08613120004,ON1_F3
2020-04-10,20651.08613120004,0,20651.08613120004,20651.08613120004,ON1_F3
2020-04-13,20651.08613120004,0,20651.08613120004,20651.08613120004,ON1_F3
2020-04-14,6828.904793100042,1000,20651.08613120004,20638.904793100042,ON1_F3
2020-04-15,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-16,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-17,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-20,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-21,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-22,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-23,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-24,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-27,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-28,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-29,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-04-30,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-05-06,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-05-07,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-05-08,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-05-11,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-05-12,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-05-13,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-05-14,20612.920636200044,0,20612.920636200044,20612.920636200044,ON1_F3
2020-05-15,6810.749698300046,1000,20612.920636200044,20600.749698300046,ON1_F3
2020-05-18,20415.039049600047,0,20415.039049600047,20415.039049600047,ON1_F3
2020-05-19,6622.873311800047,1000,20415.039049600047,20402.873311800045,ON1_F3
2020-05-20,20386.91954470005,0,20386.91954470005,20386.91954470005,ON1_F3
2020-05-21,20386.91954470005,0,20386.91954470005,20386.91954470005,ON1_F3
2020-05-22,20386.91954470005,0,20386.91954470005,20386.91954470005,ON1_F3
2020-05-25,20386.91954470005,0,20386.91954470005,20386.91954470005,ON1_F3
2020-05-26,6874.899409700049,1000,20386.91954470005,20374.899409700047,ON1_F3
2020-05-27,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-05-28,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-05-29,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-01,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-02,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-03,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-04,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-05,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-08,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-09,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-10,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-11,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-12,20409.29512530005,0,20409.29512530005,20409.29512530005,ON1_F3
2020-06-15,6727.1865886000505,1000,20409.29512530005,20397.186588600052,ON1_F3
2020-06-16,6399.013055700052,1000,20441.308796000052,20429.013055700052,ON1_F3
2020-06-17,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-06-18,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-06-19,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-06-22,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-06-23,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-06-24,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-06-29,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-06-30,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-01,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-02,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-03,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-06,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-07,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-08,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-09,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-10,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-13,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-14,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-15,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-16,20342.785780400052,0,20342.785780400052,20342.785780400052,ON1_F3
2020-07-17,5540.094832500054,1000,20342.785780400052,20330.094832500054,ON1_F3
2020-07-20,5089.533868400056,1000,20392.484821300055,20379.533868400056,ON1_F3
2020-07-21,5018.109968100061,1000,20461.13372240006,20448.109968100063,ON1_F3
2020-07-22,20429.649042500063,0,20429.649042500063,20429.649042500063,ON1_F3
2020-07-23,20429.649042500063,0,20429.649042500063,20429.649042500063,ON1_F3
2020-07-24,20429.649042500063,0,20429.649042500063,20429.649042500063,ON1_F3
2020-07-27,6407.363702400064,1000,20429.649042500063,20417.363702400064,ON1_F3
2020-07-28,6308.473576800065,1000,20530.862918900064,20518.473576800065,ON1_F3
2020-07-29,5979.321083900068,1000,20501.866429000067,20489.321083900068,ON1_F3
2020-07-30,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-07-31,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-03,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-04,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-05,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-06,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-07,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-10,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-11,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-12,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-13,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-14,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-17,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-18,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-19,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-20,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-21,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-24,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-25,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-26,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-27,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-28,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-08-31,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-09-01,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-09-02,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-09-03,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-09-04,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-09-07,20462.273284000068,0,20462.273284000068,20462.273284000068,ON1_F3
2020-09-08,6239.883941900069,1000,20462.273284000068,20449.88394190007,ON1_F3
2020-09-09,20273.51991250007,0,20273.51991250007,20273.51991250007,ON1_F3
2020-09-10,20273.51991250007,0,20273.51991250007,20273.51991250007,ON1_F3
2020-09-11,20273.51991250007,0,20273.51991250007,20273.51991250007,ON1_F3
2020-09-14,6411.31777400007,1000,20273.51991250007,20261.31777400007,ON1_F3
2020-09-15,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-16,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-17,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-18,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-21,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-22,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-23,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-24,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-25,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-28,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-29,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-09-30,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-09,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-12,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-13,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-14,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-15,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-16,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-19,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-20,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-21,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-22,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-23,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-26,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-27,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-28,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-29,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-10-30,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-11-02,20215.30322730007,0,20215.30322730007,20215.30322730007,ON1_F3
2020-11-03,6823.345493500074,1000,20215.30322730007,20203.345493500074,ON1_F3
2020-11-04,6715.979792800075,1000,20197.984327500075,20185.979792800077,ON1_F3
2020-11-05,20370.193169600076,0,20370.193169600076,20370.193169600076,ON1_F3
2020-11-06,20370.193169600076,0,20370.193169600076,20370.193169600076,ON1_F3
2020-11-09,20370.193169600076,0,20370.193169600076,20370.193169600076,ON1_F3
2020-11-10,20370.193169600076,0,20370.193169600076,20370.193169600076,ON1_F3
2020-11-11,20370.193169600076,0,20370.193169600076,20370.193169600076,ON1_F3
2020-11-12,20370.193169600076,0,20370.193169600076,20370.193169600076,ON1_F3
2020-11-13,20370.193169600076,0,20370.193169600076,20370.193169600076,ON1_F3
2020-11-16,6077.767426800076,1000,20370.193169600076,20357.767426800077,ON1_F3
2020-11-17,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-11-18,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-11-19,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-11-20,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-11-23,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-11-24,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-11-25,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-11-26,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-11-27,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-11-30,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-12-01,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-12-02,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-12-03,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-12-04,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
