entry,exit,net,quantity
2020-01-02,2020-01-03,62.34684610000113,1000
2020-01-03,2020-01-06,-256.8405970999993,1000
2020-01-06,2020-01-07,-26.537439799998538,1000
2020-01-07,2020-01-08,-286.0607923999996,1000
2020-01-08,2020-01-09,84.07042630000433,1000
2020-01-09,2020-01-10,62.51000610000483,1000
2020-01-10,2020-01-13,-56.7569900999988,1000
2020-01-13,2020-01-14,-8.015874600001553,1000
2020-01-14,2020-01-15,-87.4456253999997,1000
2020-01-15,2020-01-16,-98.0626755000012,1000
2020-01-16,2020-01-17,-47.547194999995554,1000
2020-01-17,2020-01-20,-158.56296109999676,1000
2020-01-20,2020-01-21,-189.23120139999446,1000
2020-01-21,2020-01-22,-238.6453518999988,1000
2020-02-03,2020-02-04,-945.3434589999997,1000
2020-02-28,2020-03-02,174.83105219999925,1000
2020-03-02,2020-03-03,343.8385189000037,1000
2020-03-03,2020-03-04,-255.24978709999414,1000
2020-03-04,2020-03-05,295.301353400002,1000
2020-03-05,2020-03-06,-374.4963882999982,1000
2020-03-06,2020-03-09,-354.18006310000055,1000
2020-03-09,2020-03-10,-242.69521199999872,1000
2020-03-10,2020-03-11,36.04313580000235,1000
2020-03-11,2020-03-12,-333.29267790000085,1000
2020-03-12,2020-03-13,-961.438019199999,1000
2020-03-13,2020-03-16,-11.963759699998263,1000
2020-03-16,2020-03-17,50.69839590000083,1000
2020-03-17,2020-03-18,101.4178264000002,1000
2020-03-18,2020-03-19,-47.64042509999854,1000
2020-03-19,2020-03-20,132.1880416999993,1000
2020-03-20,2020-03-23,-506.9618546999991,1000
2020-03-23,2020-03-24,194.11597729999994,1000
2020-03-24,2020-03-25,342.8683038000054,1000
2020-03-25,2020-03-26,-177.42249639999864,1000
2020-03-26,2020-03-27,172.57595210000363,1000
2020-03-27,2020-03-30,-266.3067823000001,1000
2020-03-30,2020-03-31,433.13944970000193,1000
2020-03-31,2020-04-01,-116.82023579999804,1000
2020-04-01,2020-04-02,-107.2433306999992,1000
2020-04-02,2020-04-03,-118.3906508,1000
2020-04-03,2020-04-07,350.9359789000009,1000
2020-04-07,2020-04-08,-138.7069760000013,1000
2020-04-08,2020-04-09,-8.884114699998463,1000
2020-04-09,2020-04-10,-48.435830099995655,1000
2020-04-10,2020-04-13,-217.50448179999876,1000
2020-04-13,2020-04-14,92.98304130000179,1000
2020-04-14,2020-04-15,-38.16549499999746,1000
2020-04-15,2020-04-16,-158.10552619999908,1000
2020-04-16,2020-04-17,131.0867116999998,1000
2020-04-17,2020-04-20,31.36103070000172,1000
2020-04-20,2020-04-21,-209.25325169999815,1000
2020-04-21,2020-04-22,-138.72737099999904,1000
2020-04-22,2020-04-23,151.03592690000005,1000
2020-04-23,2020-04-24,-38.471419999998034,1000
2020-04-24,2020-04-27,11.473000500001945,1000
2020-04-27,2020-04-28,21.457805600002757,1000
2020-04-28,2020-04-29,-88.90532050000002,1000
2020-04-29,2020-04-30,30.851155700001982,1000
2020-04-30,2020-05-06,-299.56518759999744,1000
2020-05-06,2020-05-07,-50.08782509999946,1000
2020-05-07,2020-05-08,60.520041000001584,1000
2020-05-08,2020-05-11,20.458450600001015,1000
2020-05-11,2020-05-12,-109.50717569999688,1000
2020-05-12,2020-05-13,-168.82455130000017,1000
2020-05-13,2020-05-14,-148.75296609999896,1000
2020-05-14,2020-05-15,12.003270500003055,1000
2020-05-15,2020-05-18,-197.8815865999968,1000
2020-05-18,2020-05-19,12.411170500003209,1000
2020-05-19,2020-05-20,-28.11950489999799,1000
2020-05-20,2020-05-21,-8.292659699996875,1000
2020-05-21,2020-05-22,-57.70681019999756,1000
2020-05-22,2020-05-25,-47.028575099999216,1000
2020-05-25,2020-05-26,23.150590600000214,1000
2020-05-26,2020-05-27,22.37558060000083,1000
2020-05-27,2020-05-28,-17.522849799999676,1000
2020-05-28,2020-05-29,-97.36050059999798,1000
2020-05-29,2020-06-01,12.574330500001452,1000
2020-06-01,2020-06-02,-18.338649799996347,1000
2020-06-02,2020-06-03,70.95353610000166,1000
2020-06-03,2020-06-04,-9.047274699998525,1000
2020-06-04,2020-06-05,-38.87932000000001,1000
2020-06-05,2020-06-08,131.02552670000114,1000
2020-06-08,2020-06-09,100.70400140000129,1000
2020-06-09,2020-06-10,-29.68991989999813,1000
2020-06-10,2020-06-11,-69.07847530000072,1000
2020-06-11,2020-06-12,-358.1075531999959,1000
2020-06-12,2020-06-15,-167.96796129999893,1000
2020-06-15,2020-06-16,32.01367070000197,1000
2020-06-16,2020-06-17,-98.52301559999796,1000
2020-06-17,2020-06-18,-39.06287500000144,1000
2020-06-18,2020-06-19,-9.414384699997754,1000
2020-06-19,2020-06-22,-29.282019899997977,1000
2020-06-22,2020-06-23,-79.30802039999799,1000
2020-06-23,2020-06-24,1.1618754000010085,1000
2020-07-24,2020-07-27,31.014315700000225,1000
2020-07-27,2020-07-28,101.21387640000103,1000
2020-07-28,2020-07-29,-28.996489899998778,1000
2020-07-29,2020-07-30,-39.59314499999891,1000
2020-07-30,2020-07-31,-49.129260099998646,1000
2020-08-07,2020-08-10,-148.99770609999905,1000
2020-08-11,2020-08-12,180.7863922000015,1000
2020-09-03,2020-09-04,-259.2588571999986,1000
2020-09-04,2020-09-07,-198.656596599998,1000
2020-09-07,2020-09-08,-38.43062999999711,1000
2020-09-09,2020-09-10,51.49380090000159,1000
2020-09-10,2020-09-11,-127.51886589999776,1000
2020-09-11,2020-09-14,-37.77798999999868,1000
2020-09-14,2020-09-15,-58.2166851999973,1000
2020-09-15,2020-09-16,-77.94155539999883,1000
2020-09-16,2020-09-17,-77.67642039999737,1000
2020-09-17,2020-09-18,-27.67081489999873,1000
2020-09-22,2020-09-23,32.23801570000251,1000
2020-09-23,2020-09-24,-157.49367619999794,1000
2020-09-24,2020-09-25,42.8958558000013,1000
2020-09-25,2020-09-28,-6.90579969999817,1000
2020-09-28,2020-09-29,2.8546604000002844,1000
2020-09-29,2020-09-30,2.2836004000018875,1000
2020-11-02,2020-11-03,-16.87020979999943,1000
2020-11-03,2020-11-04,-17.31889979999687,1000
2020-11-04,2020-11-05,172.20884210000077,1000
2020-12-07,2020-12-08,101.82572640000217,1000
2020-12-09,2020-12-10,-98.09472059999825,1000
2020-12-10,2020-12-11,-87.3145104999985,1000
2020-12-11,2020-12-14,12.451960500002315,1000
2020-12-14,2020-12-15,-217.34132179999688,1000
2020-12-22,2020-12-23,2.8750554000034754,1000
2020-12-24,2020-12-25,-67.2429252999973,1000
2020-12-28,2020-12-29,12.859860500002469,1000
2021-02-03,2021-02-04,-106.95780069999637,1000
2021-02-05,2021-02-08,-96.85062559999824,1000
2021-05-21,2021-05-24,-36.73784499999783,1000
2021-05-24,2021-05-25,-25.610919900000226,1000
2021-05-25,2021-05-26,-115.65772079999988,1000
2021-05-26,2021-05-27,-65.57053529999757,1000
2021-05-27,2021-05-28,-95.64732059999915,1000
2021-05-28,2021-05-31,-5.233409699996628,1000
2021-05-31,2021-06-01,-35.330589999997756,1000
2021-06-01,2021-06-02,-45.33579009999812,1000
2021-06-02,2021-06-03,-34.9226899999976,1000
2021-06-03,2021-06-04,-84.92829549999806,1000
2021-06-04,2021-06-07,-24.937884899998608,1000
2021-06-07,2021-06-08,34.42028070000197,1000
2021-06-08,2021-06-09,-75.45336539999698,1000
2021-06-09,2021-06-10,-65.52974529999665,1000
2021-06-11,2021-06-15,-35.493749999999636,1000
2021-06-16,2021-06-17,-45.11144509999758,1000
2021-06-21,2021-06-22,-45.23381509999672,1000
2021-06-22,2021-06-23,-25.121439899998222,1000
2021-07-01,2021-07-02,-45.070655099998476,1000
2021-07-02,2021-07-05,-54.38242519999767,1000
2021-07-05,2021-07-06,-34.86150499999894,1000
2021-07-07,2021-07-08,-24.7951198999981,1000
2021-07-08,2021-07-09,-44.51999009999963,1000
2021-07-09,2021-07-12,15.552000500001668,1000
2021-07-12,2021-07-13,-14.504389800000354,1000
2021-07-13,2021-07-14,-64.50999529999717,1000
2021-07-14,2021-07-15,-13.770169800000076,1000
2021-07-15,2021-07-16,-63.91854029999922,1000
2021-07-16,2021-07-19,-23.4490498999985,1000
2021-07-19,2021-07-20,-83.50064549999843,1000
2021-07-20,2021-07-21,-53.87255019999793,1000
2021-07-21,2021-07-22,-43.98972010000034,1000
2021-07-22,2021-07-23,-43.867350099997566,1000
2021-07-23,2021-07-26,-4.030104699997537,1000
2021-07-26,2021-07-27,-23.410286899999846,1000
2021-07-27,2021-07-28,-33.005559999999605,1000
2021-07-28,2021-07-29,17.489525500001037,1000
2021-07-29,2021-07-30,-62.368520299998636,1000
2021-07-30,2021-08-02,-32.88318999999865,1000
2021-08-30,2021-08-31,-13.505034799998612,1000
2021-08-31,2021-09-01,-33.41345999999976,1000
2021-10-21,2021-10-22,-33.43385499999749,1000
2021-10-22,2021-10-25,-93.44466059999831,1000
2021-10-25,2021-10-26,6.72971040000084,1000
2021-10-26,2021-10-27,-3.357069699999556,1000
2021-10-27,2021-10-28,-182.77763649999906,1000
2021-10-28,2021-10-29,17.163205499999094,1000
2021-11-26,2021-11-29,-112.65965580000011,1000
2021-11-29,2021-11-30,-2.439294699997845,1000
2021-11-30,2021-12-01,-22.79640990000007,1000
2022-01-27,2022-01-28,-22.71482990000004,1000
2022-01-28,2022-02-07,57.20440090000011,1000
2022-02-07,2022-02-08,-42.745625100000325,1000
2022-03-04,2022-03-07,-92.62886059999983,1000
2022-03-07,2022-03-08,-81.99141549999877,1000
2022-03-08,2022-03-09,-1.6642846999984613,1000
2022-03-09,2022-03-10,118.56127650000235,1000
2022-03-10,2022-03-11,-150.9264862,1000
2022-03-11,2022-03-14,-160.76852629999848,1000
2022-03-14,2022-03-15,-20.777304899998853,1000
2022-03-15,2022-03-16,69.96292600000015,1000
2022-03-16,2022-03-17,79.66220109999995,1000
2022-03-17,2022-03-18,-40.60415009999997,1000
