entry,exit,net,quantity
2020-01-03,2020-01-06,-256.8405970999993,1000
2020-01-14,2020-01-15,-87.4456253999997,1000
2020-02-07,2020-02-10,-448.75455399999555,1000
2020-02-10,2020-02-11,-148.41499599999588,1000
2020-02-26,2020-02-27,-118.05268069999875,1000
2020-03-27,2020-03-30,-266.30678230000194,1000
2020-04-03,2020-04-07,350.9359789000009,1000
2020-04-07,2020-04-08,-138.7069760000013,1000
2020-04-08,2020-04-09,-8.884114699998463,1000
2020-04-17,2020-04-20,31.36103070000172,1000
2020-04-21,2020-04-22,-138.72737099999722,1000
2020-05-06,2020-05-07,-50.08782509999946,1000
2020-06-03,2020-06-04,-9.047274699998525,1000
2020-06-04,2020-06-05,-38.87932000000001,1000
2020-06-19,2020-06-22,-29.282019899997977,1000
2020-06-29,2020-06-30,89.00439470000128,1000
2020-06-30,2020-07-01,9.025600500004657,1000
2020-07-01,2020-07-02,-121.32753079999748,1000
2020-07-06,2020-07-07,-33.64654990000054,1000
2020-07-07,2020-07-08,-123.28545079999822,1000
2020-07-08,2020-07-09,-63.41741019999972,1000
2020-08-13,2020-08-14,-200.69609659999696,1000
2020-08-14,2020-08-17,19.255145600000105,1000
2020-08-17,2020-08-18,-21.193949799999245,1000
2020-10-12,2020-10-13,-58.56340019999698,1000
2020-11-06,2020-11-09,231.03673770000023,1000
2020-11-09,2020-11-10,-89.29282549999698,1000
2020-11-10,2020-11-11,-160.53253119999863,1000
2020-11-11,2020-11-12,-69.60874530000001,1000
2021-01-13,2021-01-14,-70.91402529999687,1000
2021-01-14,2021-01-15,-141.80701600000248,1000
2021-01-15,2021-01-18,-31.11756989999776,1000
2021-01-18,2021-01-19,-62.3568701999975,1000
2021-01-19,2021-01-20,208.82367750000049,1000
2021-02-18,2021-02-19,-108.36505570000008,1000
2021-02-19,2021-02-22,20.968325599998934,1000
2021-02-22,2021-02-23,-158.30947619999642,1000
2021-04-02,2021-04-06,140.86756679999962,1000
2021-08-03,2021-08-04,-74.06650539999828,1000
2021-08-04,2021-08-05,35.603190699999686,1000
2021-08-05,2021-08-06,-54.13768519999576,1000
2021-08-17,2021-08-18,-44.4995951000019,1000
2021-09-06,2021-09-07,-34.575974999999744,1000
2021-12-10,2021-12-13,-44.23446010000043,1000
2021-12-13,2021-12-14,-54.40282019999722,1000
2022-03-21,2022-03-22,-0.6445346999971662,1000
2022-07-21,2022-07-22,-60.29108014999656,1000
2022-07-22,2022-07-25,-30.19499999999971,1000
2022-08-09,2022-08-10,-29.568954999998823,1000
2022-11-03,2022-11-04,-77.35281024999858,1000
2022-11-04,2022-11-07,-27.54945499999667,1000
2022-11-16,2022-11-17,-58.11002014999758,1000
2022-12-02,2022-12-05,121.31534575000114,1000
2023-02-13,2023-02-14,-49.47818009999901,1000
2023-02-14,2023-02-15,-19.604244949998247,1000
2023-03-06,2023-03-07,-32.33567000000039,1000
2023-03-07,2023-03-08,-111.10418539999955,1000
2023-03-14,2023-03-15,165.94878099999914,1000
2023-03-15,2023-03-16,-104.26970034999977,1000
2023-03-16,2023-03-17,164.75727600000027,1000
2023-03-20,2023-03-21,-30.065254949997325,1000
2023-03-21,2023-03-22,359.91150200000266,1000
2023-03-23,2023-03-24,-184.09997569999905,1000
2023-03-24,2023-03-27,-624.7888628999972,1000
2023-03-28,2023-03-29,206.40185125000426,1000
2023-04-19,2023-04-20,-44.87676499999361,1000
2023-05-18,2023-05-19,106.7547507499985,1000
2023-05-19,2023-05-22,-192.4086957499967,1000
2023-05-22,2023-05-23,-71.0752101500002,1000
2023-05-26,2023-05-29,455.33784749999904,1000
2023-10-31,2023-11-01,7.5888902000042435,1000
2023-11-01,2023-11-02,317.5646217500034,1000
2023-11-08,2023-11-09,166.54587600000013,1000
2023-11-10,2023-11-13,206.3383137000019,1000
2023-11-14,2023-11-15,75.01062054999784,1000
2023-11-15,2023-11-16,-244.72705104999477,1000
2023-11-16,2023-11-17,-104.15413284999886,1000
2023-12-11,2023-12-12,-13.713097399999242,1000
2023-12-12,2023-12-13,-33.19138499999826,1000
2023-12-13,2023-12-14,66.9811955000041,1000
2023-12-29,2024-01-02,-152.85745060000045,1000
2024-01-02,2024-01-03,-121.48957294999855,1000
2024-01-19,2024-01-22,477.90458005000255,1000
2024-01-22,2024-01-23,-381.5309892499972,1000
2024-01-23,2024-01-24,87.84245559999908,1000
2024-01-24,2024-01-25,-81.98588774999735,1000
2024-01-26,2024-01-29,-221.70774594999966,1000
2024-02-02,2024-02-05,-71.1145301999968,1000
2024-02-06,2024-02-07,-293.33918379999886,1000
2024-02-07,2024-02-08,166.54587600000013,1000
2024-02-08,2024-02-19,965.1301800000037,1000
2024-02-21,2024-02-22,662.6215660000016,1000
2024-02-22,2024-02-23,591.7196081500006,1000
2024-02-23,2024-02-26,-607.03830285,1000
2024-02-28,2024-02-29,-77.61906019999515,1000
2025-04-11,2025-04-14,562.342603000001,1000
2025-04-14,2025-04-15,-37.23391999999876,1000
2025-04-15,2025-04-16,-137.4065004999975,1000
2025-05-07,2025-05-08,31.616375350000453,1000
2025-05-09,2025-05-12,381.1717796000048,1000
2025-05-15,2025-05-16,-138.92625049999697,1000
2025-05-30,2025-06-03,-148.65779554999972,1000
