id,initial,final,return_pct,mdd_pct,skipped,completed,open_shares
ON0,20218.0,8343.888427650367,-58.73039653946797,-59.214690932216506,1355,268,0
ON1_F1,20218.0,13961.620814450267,-30.944599790037262,-31.237505891907368,169,172,0
ON1_F2,20218.0,13151.333451550207,-34.95235210431197,-34.95235210431197,203,172,0
ON1_F3,20218.0,13967.200705800173,-30.91700115837287,-33.6256470076446,145,91,0
ON1_F4,20218.0,19527.94040600015,-3.413095231970764,-15.153895735977429,193,102,0
ON1_F5,20218.0,9442.26173835039,-53.29774587817593,-53.360498736807635,317,286,0
ON1_F6,20218.0,13518.916415100117,-33.13425454990545,-34.782923559204114,101,91,0
ON1_F7,20218.0,8722.446827000338,-56.858013517655856,-57.63878580404644,515,249,0
ON1_F8,20218.0,12969.513180550177,-35.85165110025632,-35.85165110025632,182,160,0
ON2_F1,20218.0,14717.35636985022,-27.206665496833416,-28.573156815123614,160,151,0
ON2_F2,20218.0,13398.593172750245,-33.729383852259154,-33.729383852259154,225,186,0
ON2_F3,20218.0,13527.215252700167,-33.093207771786695,-33.37026732418116,147,96,0
ON2_F4,20218.0,17384.42754335012,-14.015097718121872,-22.532669485136246,202,94,0
ON2_F5,20218.0,9693.88625755032,-52.05318895266436,-52.91870626446579,347,260,0
ON2_F6,20218.0,15354.969843700124,-24.05297337174733,-24.05297337174733,80,114,0
ON2_F7,20218.0,20218.0,0.0,0.0,0,0,0
