id,n,mean,old_mean,recent_mean,holm_mean,holm_increment,historical_numeric_pass,execution_certified,status
ON1_F1,341,-0.3481318538180911,-0.33534709011797803,-0.3662662704139962,1,1,False,False,not_passed_or_observation
ON1_F2,375,-0.2845292997095456,-0.3130723405180421,-0.24659010261005324,1,1,False,False,not_passed_or_observation
ON1_F3,237,-0.3926015812383595,-0.37859566996349864,-0.4055826697370111,1,1,False,False,not_passed_or_observation
ON1_F4,295,-0.24556453129007494,-0.33873526437699814,-0.17986031489351628,1,1,False,False,not_passed_or_observation
ON1_F5,603,-0.2903588115973643,-0.2562930374683926,-0.3448346831570561,1,1,False,False,not_passed_or_observation
ON1_F6,192,-0.23551222775539316,-0.39599208954421306,0.014836356635165969,1,1,False,False,not_passed_or_observation
ON1_F7,764,-0.35591645323558546,-0.3479257763119236,-0.36636951398466583,1,1,False,False,not_passed_or_observation
ON1_F8,342,-0.3713795916390528,-0.40106513358549783,-0.3274966165877863,1,1,False,False,not_passed_or_observation
ON2_F1,311,-0.22685096152060175,-0.2764180899731165,-0.16137796349004135,1,1,False,False,not_passed_or_observation
ON2_F2,411,-0.45990833056211566,-0.35646409206507723,-0.5966651204395564,1,1,False,False,not_passed_or_observation
ON2_F3,244,-0.40589056163076603,-0.3503049067117112,-0.45968313090727075,1,1,False,False,not_passed_or_observation
ON2_F4,296,-0.20455171883828954,-0.3172785457864651,-0.12328354127100011,1,1,False,False,not_passed_or_observation
ON2_F5,607,-0.3121844973506975,-0.3310930889798684,-0.282459550340433,1,1,False,False,not_passed_or_observation
ON2_F6,194,-0.36366984319026924,-0.3252865065392669,-0.42457140400985977,1,1,False,False,not_passed_or_observation
ON2_F7,0,,,,1,1,False,False,unavailable
