id,window,universe,unknown,hit,not_hit,base_mean,nonhit_mean
ON0,all,2006,0,2006,0,-0.3423606970942491,
ON0,main2020,1623,0,1623,0,-0.3291354026252871,
ON0,old2020_2023,970,0,970,0,-0.34777703776664354,
ON0,recent2024,653,0,653,0,-0.3014441528747272,
ON0,2018,139,0,139,0,-0.45280355844895953,
ON0,2019,244,0,244,0,-0.3674143659254802,
ON0,2020,243,0,243,0,-0.3810473180402405,
ON0,2021,243,0,243,0,-0.31827636039975105,
ON0,2022,242,0,242,0,-0.35644635025818466,
ON0,2023,242,0,242,0,-0.33532254549688256,
ON0,2024,242,0,242,0,-0.32477225879511246,
ON0,2025,243,0,243,0,-0.3074202467890301,
ON0,2026,168,0,168,0,-0.25919657874431745,
ON1_F1,all,2006,6,414,1586,-0.34429036375760574,-0.3443291221614294
ON1_F1,main2020,1623,3,341,1279,-0.3266278768924131,-0.32089460392004704
ON1_F1,old2020_2023,970,2,200,768,-0.349246258340889,-0.35286583339893873
ON1_F1,recent2024,653,1,141,511,-0.29304721241062676,-0.2728439106914975
ON1_F1,2018,139,3,28,108,-0.5131945710565085,-0.62610883375575
ON1_F1,2019,244,0,45,199,-0.3674143659254802,-0.34202027783249195
ON1_F1,2020,243,1,59,183,-0.384753624012132,-0.36861477571418444
ON1_F1,2021,243,0,54,189,-0.31827636039975105,-0.31987048423309283
ON1_F1,2022,242,0,52,190,-0.35644635025818466,-0.3592624897651885
ON1_F1,2023,242,1,35,206,-0.3375885009270723,-0.36324787145266435
ON1_F1,2024,242,0,42,200,-0.32477225879511246,-0.3178071244237406
ON1_F1,2025,243,1,57,185,-0.2848217794804385,-0.27532198696804816
ON1_F1,2026,168,0,42,126,-0.25919657874431745,-0.19783528483744584
ON1_F2,all,2006,6,473,1527,-0.34429036375760574,-0.35441078787357233
ON1_F2,main2020,1623,3,375,1245,-0.3266278768924131,-0.33930817122460216
ON1_F2,old2020_2023,970,2,214,754,-0.349246258340889,-0.3595131262640843
ON1_F2,recent2024,653,1,161,491,-0.29304721241062676,-0.3082806027932996
ON1_F2,2018,139,3,48,88,-0.5131945710565085,-0.487134654735484
ON1_F2,2019,244,0,50,194,-0.3674143659254802,-0.3911275788226428
ON1_F2,2020,243,1,52,190,-0.384753624012132,-0.41300938853962016
ON1_F2,2021,243,0,53,190,-0.31827636039975105,-0.3101519900530929
ON1_F2,2022,242,0,52,190,-0.35644635025818466,-0.359031140116887
ON1_F2,2023,242,1,57,184,-0.3375885009270723,-0.3557408622189975
ON1_F2,2024,242,0,59,183,-0.32477225879511246,-0.26548074462971777
ON1_F2,2025,243,1,57,185,-0.2848217794804385,-0.35086115114550365
ON1_F2,2026,168,0,45,123,-0.25919657874431745,-0.30791452636059796
ON1_F3,all,2006,4,303,1699,-0.3513254079474481,-0.33392874560120805
ON1_F3,main2020,1623,0,237,1386,-0.3291354026252871,-0.31828296082781377
ON1_F3,old2020_2023,970,0,114,856,-0.34777703776664354,-0.3436726872170623
ON1_F3,recent2024,653,0,123,530,-0.3014441528747272,-0.2772761574519707
ON1_F3,2018,139,4,28,107,-0.5890192812157987,-0.5898134230004557
ON1_F3,2019,244,0,38,206,-0.3674143659254802,-0.3062850427575433
ON1_F3,2020,243,0,34,209,-0.3810473180402405,-0.4362826422272804
ON1_F3,2021,243,0,14,229,-0.31827636039975105,-0.30210560518452645
ON1_F3,2022,242,0,11,231,-0.35644635025818466,-0.3499471226108775
ON1_F3,2023,242,0,55,187,-0.33532254549688256,-0.2833196744488475
ON1_F3,2024,242,0,52,190,-0.32477225879511246,-0.27672118583366656
ON1_F3,2025,243,0,40,203,-0.3074202467890301,-0.2916273970512538
ON1_F3,2026,168,0,31,137,-0.25919657874431745,-0.2567808506550609
ON1_F4,all,2006,4,356,1646,-0.3513254079474481,-0.36828088260318487
ON1_F4,main2020,1623,0,295,1328,-0.3291354026252871,-0.34769971515833503
ON1_F4,old2020_2023,970,0,122,848,-0.34777703776664354,-0.349077858938267
ON1_F4,recent2024,653,0,173,480,-0.3014441528747272,-0.34526499448045533
ON1_F4,2018,139,4,11,124,-0.5890192812157987,-0.5208676891998089
ON1_F4,2019,244,0,50,194,-0.3674143659254802,-0.4116366885247268
ON1_F4,2020,243,0,31,212,-0.3810473180402405,-0.3230574228813903
ON1_F4,2021,243,0,16,227,-0.31827636039975105,-0.32478003125561344
ON1_F4,2022,242,0,8,234,-0.35644635025818466,-0.3611846799306708
ON1_F4,2023,242,0,67,175,-0.33532254549688256,-0.39592896302853975
ON1_F4,2024,242,0,59,183,-0.32477225879511246,-0.5167389764153978
ON1_F4,2025,243,0,71,172,-0.3074202467890301,-0.3067059856777773
ON1_F4,2026,168,0,43,125,-0.25919657874431745,-0.1472842810401845
ON1_F5,all,2006,21,776,1209,-0.34222027705862845,-0.3536398809450403
ON1_F5,main2020,1623,0,603,1020,-0.3291354026252871,-0.35205921085061803
ON1_F5,old2020_2023,970,0,371,599,-0.34777703776664354,-0.404439081357046
ON1_F5,recent2024,653,0,232,421,-0.3014441528747272,-0.2775329817927787
ON1_F5,2018,139,21,66,52,-0.47009649334507786,-0.38948772614522653
ON1_F5,2019,244,0,107,137,-0.3674143659254802,-0.35180189222898917
ON1_F5,2020,243,0,103,140,-0.3810473180402405,-0.4751436175950499
ON1_F5,2021,243,0,91,152,-0.31827636039975105,-0.31405217308800215
ON1_F5,2022,242,0,97,145,-0.35644635025818466,-0.3800928905498295
ON1_F5,2023,242,0,80,162,-0.33532254549688256,-0.4499352088300119
ON1_F5,2024,242,0,93,149,-0.32477225879511246,-0.28138398302221557
ON1_F5,2025,243,0,87,156,-0.3074202467890301,-0.27292088252690644
ON1_F5,2026,168,0,52,116,-0.25919657874431745,-0.2787889154332096
ON1_F6,all,2006,21,243,1742,-0.34222027705862845,-0.3523113452427068
ON1_F6,main2020,1623,0,192,1431,-0.3291354026252871,-0.34169700260783054
ON1_F6,old2020_2023,970,0,117,853,-0.34777703776664354,-0.3411637188241164
ON1_F6,recent2024,653,0,75,578,-0.3014441528747272,-0.34248401137514584
ON1_F6,2018,139,21,8,110,-0.47009649334507786,-0.4546177824474986
ON1_F6,2019,244,0,43,201,-0.3674143659254802,-0.37189053040678977
ON1_F6,2020,243,0,21,222,-0.3810473180402405,-0.34284867425904547
ON1_F6,2021,243,0,33,210,-0.31827636039975105,-0.3162177060171101
ON1_F6,2022,242,0,28,214,-0.35644635025818466,-0.31824434603162144
ON1_F6,2023,242,0,35,207,-0.33532254549688256,-0.38835863844011154
ON1_F6,2024,242,0,36,206,-0.32477225879511246,-0.4424351711868601
ON1_F6,2025,243,0,25,218,-0.3074202467890301,-0.3088465700433726
ON1_F6,2026,168,0,14,154,-0.25919657874431745,-0.2563997470187397
ON1_F7,all,2006,2,938,1066,-0.35239846536651653,-0.32628866768167125
ON1_F7,main2020,1623,0,764,859,-0.3291354026252871,-0.30531616785664006
ON1_F7,old2020_2023,970,0,433,537,-0.34777703776664354,-0.34765710519661325
ON1_F7,recent2024,653,0,331,322,-0.3014441528747272,-0.23470410775861014
ON1_F7,2018,139,2,55,82,-0.6012456996192764,-0.6018676821698886
ON1_F7,2019,244,0,119,125,-0.3674143659254802,-0.2896318529750156
ON1_F7,2020,243,0,107,136,-0.3810473180402405,-0.28506754805183226
ON1_F7,2021,243,0,103,140,-0.31827636039975105,-0.3231565141738451
ON1_F7,2022,242,0,109,133,-0.35644635025818466,-0.3537224610992715
ON1_F7,2023,242,0,114,128,-0.33532254549688256,-0.4346537472264897
ON1_F7,2024,242,0,121,121,-0.32477225879511246,-0.14609674223150568
ON1_F7,2025,243,0,126,117,-0.3074202467890301,-0.36837953243389343
ON1_F7,2026,168,0,84,84,-0.25919657874431745,-0.17615013801779456
ON1_F8,all,2006,0,422,1584,-0.3423606970942491,-0.3372891130943919
ON1_F8,main2020,1623,0,342,1281,-0.3291354026252871,-0.3178570945513544
ON1_F8,old2020_2023,970,0,204,766,-0.34777703776664354,-0.3335854300028755
ON1_F8,recent2024,653,0,138,515,-0.3014441528747272,-0.294463104345791
ON1_F8,2018,139,0,29,110,-0.45280355844895953,-0.524061155999237
ON1_F8,2019,244,0,51,193,-0.3674143659254802,-0.35981497337469265
ON1_F8,2020,243,0,52,191,-0.3810473180402405,-0.34884593115321344
ON1_F8,2021,243,0,52,191,-0.31827636039975105,-0.3235012237359143
ON1_F8,2022,242,0,50,192,-0.35644635025818466,-0.3053140607709287
ON1_F8,2023,242,0,50,192,-0.33532254549688256,-0.35670746422063004
ON1_F8,2024,242,0,51,191,-0.32477225879511246,-0.3539858583571734
ON1_F8,2025,243,0,53,190,-0.3074202467890301,-0.2713260059766214
ON1_F8,2026,168,0,34,134,-0.25919657874431745,-0.24242730340525498
ON2_F1,all,2006,386,311,1309,-0.31789903365074423,-0.3395307757687536
ON2_F1,main2020,1623,3,311,1309,-0.31789903365074423,-0.3395307757687536
ON2_F1,old2020_2023,970,2,177,791,-0.33405890491844586,-0.3469570392361745
ON2_F1,recent2024,653,1,134,518,-0.29390707753550616,-0.32819067074417857
ON2_F1,2018,139,139,0,0,,
ON2_F1,2019,244,244,0,0,,
ON2_F1,2020,243,1,50,192,-0.36093709399308527,-0.39614260118806977
ON2_F1,2021,243,0,44,199,-0.31827636039975105,-0.3087742831203207
ON2_F1,2022,242,0,46,196,-0.35644635025818466,-0.3515883166214927
ON2_F1,2023,242,1,37,204,-0.30050236877638486,-0.3334619912203344
ON2_F1,2024,242,0,43,199,-0.32477225879511246,-0.4203361850276076
ON2_F1,2025,243,1,51,191,-0.2871384408912706,-0.24298921358859457
ON2_F1,2026,168,0,40,128,-0.25919657874431745,-0.3120697408560078
