id,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,ci_low,ci_high,increment,inc_low,inc_high,p_mean,p_inc
ON0,all,2006,-0.3423606970942491,-0.3034427746330286,30.309072781655033,-155281.03346747346,0.48567977040603283,0.5444950961629909,-10.234040128153762,-4.088408629554959,-159830.00908967335,22.0,100.0,9.0,1.0,53421.078467478,-0.09409064580766323,-0.34741686461107674,-0.366346663114224,-0.38191141824484426,-173243.55305819347,,,,,,,
ON0,main2020,1623,-0.3291354026252871,-0.2929934367456236,30.80714725816389,-132251.47060837405,0.5090866642638987,0.5637751005358459,-10.23087722223011,-4.1369749560615015,-132313.8174544739,22.0,81.0,7.0,1.0,43786.310608378,-0.08681121024773295,-0.3353773203668226,-0.3542646935121834,-0.372779049930421,-150213.99019909409,-0.397861063850317,-0.2635617489190839,0.0,0.0,0.0,1.0,1.0
ON0,old2020_2023,970,-0.34777703776664354,-0.30260205649846444,26.804123711340207,-49881.0424637486,0.3600864378122192,0.3721443178106321,-10.23087722223011,-3.269784589965508,-50035.447195948545,22.0,48.0,4.0,1.0,22520.51746375,-0.07057361695814651,-0.35605571876477915,-0.3792262954668477,-0.39921172968915736,-54990.95950794862,-0.4189647910901245,-0.28191791101658564,0.0,0.0,0.0,1.0,1.0
ON0,recent2024,653,-0.3014441528747272,-0.2628229667598431,36.75344563552833,-82370.42814462543,0.6491074139923896,0.6318245305087803,-10.160302220729761,-4.761104537259932,-82370.42814462549,12.0,33.0,3.0,1.0,21265.793144627998,-0.11093137179581691,-0.3169298880388683,-0.36107785144222765,-0.4065619033002648,-100332.94773534549,-0.424800994665443,-0.1571822709198416,0.0,0.0,0.0,1.0,1.0
ON0,2018,139,-0.45280355844895953,-0.40447282396616413,21.58273381294964,-9503.458584399767,0.3837121442286661,0.4154197895939616,-5.370142518680945,-3.8044467864455997,-14200.814599099773,21.0,7.0,1.0,1.0,3516.1785844,-0.17939825894153155,-0.5265422893105295,-0.6763300203341688,-0.7486186208065759,-14782.515354599778,,,,,,,
ON0,2019,244,-0.3674143659254802,-0.2869473437218951,31.967213114754102,-13526.104274699639,0.3818641443128522,0.36997448572549096,-10.234040128153762,-3.6732506982887405,-13538.75144029963,12.0,12.0,1.0,1.0,6118.5892747,-0.09391345600503677,-0.38297258857750116,-0.43602907446125905,-0.4934420490714271,-15597.331912499645,,,,,,,
ON0,2020,243,-0.3810473180402405,-0.2761177419572468,32.92181069958848,-15317.471626499617,0.3612858590490043,0.33862729155798793,-10.23087722223011,-3.6944417550104256,-15379.818472599622,15.0,12.0,1.0,1.0,6198.9866265,-0.10979792225164207,-0.4029160162322294,-0.45375575563559395,-0.4974440199586951,-17718.177437599636,,,,,,,
ON0,2021,243,-0.31827636039975105,-0.28842356619769227,17.695473251028808,-9980.638399599648,0.15694279341288017,0.15833797501888053,-1.949387564932994,-1.3775978981801074,-9980.638399599657,22.0,12.0,1.0,1.0,5635.8783996,-0.035315154170760525,-0.32897482167853803,-0.3520527715494625,-0.37209112625939755,-10838.562175099656,,,,,,,
ON0,2022,242,-0.35644635025818466,-0.31169266945453244,22.727272727272727,-8388.347406549734,0.1936872045700258,0.1886365266067365,-5.261079058846291,-1.8039242307834444,-8388.347406549734,16.0,12.0,1.0,1.0,4834.8474065499995,-0.05071002861836745,-0.36723364380979695,-0.3930627726290822,-0.420946483715974,-9058.849598349741,,,,,,,
ON0,2023,242,-0.33532254549688256,-0.2925391697846783,33.88429752066116,-16194.585031099607,0.5577301006792975,0.5249422299138985,-10.213887194477932,-4.6755354401715445,-17358.913575599676,10.0,12.0,1.0,1.0,5850.805031100001,-0.08645497501286516,-0.36855734796544554,-0.45778979268939474,-0.5371472086160177,-21135.925914499614,,,,,,,
ON0,2024,242,-0.32477225879511246,-0.46699733933980836,31.818181818181817,-18367.835551299395,0.6434925271582517,0.6299275299687134,-7.757659565589339,-4.874818426096161,-18367.8355512994,12.0,12.0,1.0,1.0,5206.5455513,-0.1263078879712873,-0.366764073869554,-0.46598029851530054,-0.5567015140000748,-25590.39484859941,,,,,,,
