date,cash,shares,open_equity,equity
2020-01-02,1823.442216200001,1000,20218.0,20203.4422162
2020-01-03,2045.8722639000007,1000,20280.3468461,20265.8722639
2020-01-06,2109.198070000002,1000,20023.506249000002,20009.198070000002
2020-01-07,19996.968809200003,0,19996.968809200003,19996.968809200003
2020-01-08,19996.968809200003,0,19996.968809200003,19996.968809200003
2020-01-09,19996.968809200003,0,19996.968809200003,19996.968809200003
2020-01-10,19996.968809200003,0,19996.968809200003,19996.968809200003
2020-01-13,19996.968809200003,0,19996.968809200003,19996.968809200003
2020-01-14,1592.405825300004,1000,19996.968809200003,19982.405825300004
2020-01-15,19909.523183800004,0,19909.523183800004,19909.523183800004
2020-01-16,1484.9497997000071,1000,19909.523183800004,19894.949799700007
2020-01-17,19861.975988800008,0,19861.975988800008,19861.975988800008
2020-01-20,19861.975988800008,0,19861.975988800008,19861.975988800008
2020-01-21,19861.975988800008,0,19861.975988800008,19861.975988800008
2020-01-22,19861.975988800008,0,19861.975988800008,19861.975988800008
2020-01-23,19861.975988800008,0,19861.975988800008,19861.975988800008
2020-02-03,19861.975988800008,0,19861.975988800008,19861.975988800008
2020-02-04,19861.975988800008,0,19861.975988800008,19861.975988800008
2020-02-05,19861.975988800008,0,19861.975988800008,19861.975988800008
2020-02-06,927.1373996000075,1000,19861.975988800008,19847.137399600007
2020-02-07,20791.89954860001,0,20791.89954860001,20791.89954860001
2020-02-10,20791.89954860001,0,20791.89954860001,20791.89954860001
2020-02-11,20791.89954860001,0,20791.89954860001,20791.89954860001
2020-02-12,20791.89954860001,0,20791.89954860001,20791.89954860001
2020-02-13,2357.320964400009,1000,20791.89954860001,20777.32096440001
2020-02-14,2220.0328935000143,1000,20584.575077000012,20570.032893500014
2020-02-17,1422.0345060000218,1000,20627.013497900018,20612.03450600002
2020-02-18,20587.860298000025,0,20587.860298000025,20587.860298000025
2020-02-19,2083.2453131000257,1000,20587.860298000025,20573.245313100026
2020-02-20,20639.997994000027,0,20639.997994000027,20639.997994000027
2020-02-21,20639.997994000027,0,20639.997994000027,20639.997994000027
2020-02-24,484.52499260002514,1000,20639.997994000027,20624.524992600025
2020-02-25,20099.667014100025,0,20099.667014100025,20099.667014100025
2020-02-26,1374.9376270000248,1000,20099.667014100025,20084.937627000025
2020-02-27,1066.7861444000264,1000,19981.614333400026,19966.786144400026
2020-02-28,2020.4319944000272,1000,19114.31376520003,19100.431994400027
2020-03-02,1835.0758430000315,1000,19289.14481740003,19275.07584300003
2020-03-03,2178.914361900035,1000,19632.983336300033,19618.914361900035
2020-03-04,19377.73354920004,0,19377.73354920004,19377.73354920004
2020-03-05,19377.73354920004,0,19377.73354920004,19377.73354920004
2020-03-06,2373.8985793000393,1000,19377.73354920004,19363.89857930004
2020-03-09,2830.1397243000392,1000,19023.553486100038,19010.13972430004
2020-03-10,18780.85827410004,0,18780.85827410004,18780.85827410004
2020-03-11,2227.2573087000383,1000,18780.85827410004,18767.25730870004
2020-03-12,18447.56559620004,0,18447.56559620004,18447.56559620004
2020-03-13,2784.427439700039,1000,18447.56559620004,18434.42743970004
2020-03-16,4123.165693500043,1000,18435.601836500042,18423.165693500043
2020-03-17,18486.30023240004,0,18486.30023240004,18486.30023240004
2020-03-18,4914.248896800042,1000,18486.30023240004,18474.24889680004
2020-03-19,18438.659807300042,0,18438.659807300042,18438.659807300042
2020-03-20,18438.659807300042,0,18438.659807300042,18438.659807300042
2020-03-23,5907.149282100043,1000,18438.659807300042,18427.149282100043
2020-03-24,18632.775784600042,0,18632.775784600042,18632.775784600042
2020-03-25,18632.775784600042,0,18632.775784600042,18632.775784600042
2020-03-26,5330.864851700044,1000,18632.775784600042,18620.864851700044
2020-03-27,5723.555206000046,1000,18805.351736700046,18793.55520600005
2020-03-30,5707.3784262000445,1000,18539.044954400044,18527.378426200044
2020-03-31,18972.184404100044,0,18972.184404100044,18972.184404100044
2020-04-01,5550.211070000045,1000,18972.184404100044,18960.211070000045
2020-04-02,18864.941073400045,0,18864.941073400045,18864.941073400045
2020-04-03,18864.941073400045,0,18864.941073400045,18864.941073400045
2020-04-07,4702.582931900046,1000,18864.941073400045,18852.582931900048
2020-04-08,4573.881156000047,1000,18726.234097400047,18713.881156000047
2020-04-09,4755.09584320005,1000,18717.34998270005,18705.095843200048
2020-04-10,18668.914152600053,0,18668.914152600053,18668.914152600053
2020-04-13,18668.914152600053,0,18668.914152600053,18668.914152600053
2020-04-14,18668.914152600053,0,18668.914152600053,18668.914152600053
2020-04-15,18668.914152600053,0,18668.914152600053,18668.914152600053
2020-04-16,18668.914152600053,0,18668.914152600053,18668.914152600053
2020-04-17,4666.6392127000545,1000,18668.914152600053,18656.639212700054
2020-04-20,18700.275183300055,0,18700.275183300055,18700.275183300055
2020-04-21,18700.275183300055,0,18700.275183300055,18700.275183300055
2020-04-22,18700.275183300055,0,18700.275183300055,18700.275183300055
2020-04-23,4728.0158437000555,1000,18700.275183300055,18688.015843700057
2020-04-24,18661.803763300057,0,18661.803763300057,18661.803763300057
2020-04-27,4699.549623800058,1000,18661.803763300057,18649.549623800056
2020-04-28,18683.26156890006,0,18683.26156890006,18683.26156890006
2020-04-29,18683.26156890006,0,18683.26156890006,18683.26156890006
2020-04-30,18683.26156890006,0,18683.26156890006,18683.26156890006
2020-05-06,18683.26156890006,0,18683.26156890006,18683.26156890006
2020-05-07,4290.783825100061,1000,18683.26156890006,18670.78382510006
2020-05-08,18743.781609900063,0,18743.781609900063,18743.781609900063
2020-05-11,18743.781609900063,0,18743.781609900063,18743.781609900063
2020-05-12,4501.381867600063,1000,18743.781609900063,18731.381867600063
2020-05-13,18574.957058600063,0,18574.957058600063,18574.957058600063
2020-05-14,4872.838121700064,1000,18574.957058600063,18562.838121700064
2020-05-15,4784.789391200069,1000,18586.960329100068,18574.78939120007
2020-05-18,4887.063807600072,1000,18389.07874250007,18377.063807600072
2020-05-19,4609.324175200074,1000,18401.489913000074,18389.324175200076
2020-05-20,4511.168269600077,1000,18373.370408100076,18361.16826960008
2020-05-21,4753.00561240008,1000,18365.07774840008,18353.00561240008
2020-05-22,5035.475605600082,1000,18307.37093820008,18295.475605600084
2020-05-25,18260.342363100084,0,18260.342363100084,18260.342363100084
2020-05-26,4748.3222281000835,1000,18260.342363100084,18248.322228100085
2020-05-27,4790.708208900085,1000,18282.717943700085,18270.708208900083
2020-05-28,18265.195093900085,0,18265.195093900085,18265.195093900085
2020-05-29,18265.195093900085,0,18265.195093900085,18265.195093900085
2020-06-01,4372.977355100087,1000,18265.195093900085,18252.977355100087
2020-06-02,4074.4931025000897,1000,18246.85644410009,18234.49310250009
2020-06-03,4085.4154380000928,1000,18317.80998020009,18305.41543800009
2020-06-04,4136.399363900093,1000,18308.762705500092,18296.39936390009
2020-06-05,18269.883385500092,0,18269.883385500092,18269.883385500092
2020-06-08,3997.4680429000928,1000,18269.883385500092,18257.468042900095
2020-06-09,18370.587386900093,0,18370.587386900093,18370.587386900093
2020-06-10,18370.587386900093,0,18370.587386900093,18370.587386900093
2020-06-11,4338.296846700096,1000,18370.587386900093,18358.296846700097
2020-06-12,18012.479833700098,0,18012.479833700098,18012.479833700098
2020-06-15,4330.371297000098,1000,18012.479833700098,18000.3712970001
2020-06-16,18044.4935044001,0,18044.4935044001,18044.4935044001
2020-06-17,18044.4935044001,0,18044.4935044001,18044.4935044001
2020-06-18,3632.0053604001005,1000,18044.4935044001,18032.0053604001
2020-06-19,3672.6169762001027,1000,18035.0791197001,18022.6169762001
2020-06-22,3593.3089558001047,1000,18005.797099800104,17993.308955800105
2020-06-23,17926.489079400104,0,17926.489079400104,17926.489079400104
2020-06-24,17926.489079400104,0,17926.489079400104,17926.489079400104
2020-06-29,17926.489079400104,0,17926.489079400104,17926.489079400104
2020-06-30,17926.489079400104,0,17926.489079400104,17926.489079400104
2020-07-01,17926.489079400104,0,17926.489079400104,17926.489079400104
2020-07-02,2303.371723300106,1000,17926.489079400104,17913.371723300108
2020-07-03,17924.591704800107,0,17924.591704800107,17924.591704800107
2020-07-06,17924.591704800107,0,17924.591704800107,17924.591704800107
2020-07-07,1531.0739410001079,1000,17924.591704800107,17911.073941000104
2020-07-08,17801.30625400011,0,17801.30625400011,17801.30625400011
2020-07-09,1067.6116868001081,1000,17801.30625400011,17787.611686800108
2020-07-10,1673.9308333001063,1000,17717.266593600107,17703.93083330011
2020-07-13,17604.679772900105,0,17604.679772900105,17604.679772900105
2020-07-14,17604.679772900105,0,17604.679772900105,17604.679772900105
2020-07-15,1391.2556109001052,1000,17604.679772900105,17591.255610900105
2020-07-16,2609.013688500103,1000,17491.746237200103,17479.013688500105
2020-07-17,17661.099779300104,0,17661.099779300104,17661.099779300104
2020-07-20,17661.099779300104,0,17661.099779300104,17661.099779300104
2020-07-21,17661.099779300104,0,17661.099779300104,17661.099779300104
2020-07-22,2288.1124257001065,1000,17661.099779300104,17648.112425700107
2020-07-23,17430.06176240011,0,17430.06176240011,17430.06176240011
2020-07-24,3257.6984208001104,1000,17430.06176240011,17417.69842080011
2020-07-27,3438.790738000109,1000,17461.076078100108,17448.79073800011
2020-07-28,17562.28995450011,0,17562.28995450011,17562.28995450011
2020-07-29,17562.28995450011,0,17562.28995450011,17562.28995450011
2020-07-30,3259.8590116001105,1000,17562.28995450011,17549.85901160011
2020-07-31,17513.16069440011,0,17513.16069440011,17513.16069440011
2020-08-03,17513.16069440011,0,17513.16069440011,17513.16069440011
2020-08-04,2820.526947600112,1000,17513.16069440011,17500.526947600112
2020-08-05,3000.3955648001156,1000,17622.992910900113,17610.395564800114
2020-08-06,17623.13503630012,0,17623.13503630012,17623.13503630012
2020-08-07,17623.13503630012,0,17623.13503630012,17623.13503630012
2020-08-10,3200.641692200119,1000,17623.13503630012,17610.64169220012
2020-08-11,3401.397694600122,1000,17573.76103620012,17561.39769460012
2020-08-12,17754.547428400125,0,17754.547428400125,17754.547428400125
2020-08-13,2571.658876700125,1000,17754.547428400125,17741.658876700123
2020-08-14,17553.851331800128,0,17553.851331800128,17553.851331800128
2020-08-17,17553.851331800128,0,17553.851331800128,17553.851331800128
2020-08-18,17553.851331800128,0,17553.851331800128,17553.851331800128
