date,cash,shares,open_equity,equity
2020-01-02,1823.442216200001,1000,20218.0,20203.4422162
2020-01-03,20280.3468461,0,20280.3468461,20280.3468461
2020-01-06,2366.0386671000015,1000,20280.3468461,20266.0386671
2020-01-07,20253.809406300003,0,20253.809406300003,20253.809406300003
2020-01-08,2719.698831100006,1000,20253.809406300003,20239.698831100006
2020-01-09,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-10,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-13,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-14,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-15,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-16,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-17,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-20,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-21,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-22,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-01-23,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-02-03,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-02-04,20337.879832600007,0,20337.879832600007,20337.879832600007
2020-02-05,1633.1608457000111,1000,20337.879832600007,20323.16084570001
2020-02-06,1205.1509119000111,1000,20139.98950110001,20125.15091190001
2020-02-07,21069.913060900013,0,21069.913060900013,21069.913060900013
2020-02-10,21069.913060900013,0,21069.913060900013,21069.913060900013
2020-02-11,21069.913060900013,0,21069.913060900013,21069.913060900013
2020-02-12,21069.913060900013,0,21069.913060900013,21069.913060900013
2020-02-13,21069.913060900013,0,21069.913060900013,21069.913060900013
2020-02-14,2705.370877400015,1000,21069.913060900013,21055.370877400015
2020-02-17,21112.35148180002,0,21112.35148180002,21112.35148180002
2020-02-18,21112.35148180002,0,21112.35148180002,21112.35148180002
2020-02-19,2607.736496900019,1000,21112.35148180002,21097.73649690002
2020-02-20,21164.48917780002,0,21164.48917780002,21164.48917780002
2020-02-21,21164.48917780002,0,21164.48917780002,21164.48917780002
2020-02-24,1009.0161764000186,1000,21164.48917780002,21149.01617640002
2020-02-25,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-02-26,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-02-27,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-02-28,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-03-02,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-03-03,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-03-04,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-03-05,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-03-06,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-03-09,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-03-10,20624.15819790002,0,20624.15819790002,20624.15819790002
2020-03-11,4070.5572325000176,1000,20624.15819790002,20610.557232500018
2020-03-12,20290.865520000018,0,20290.865520000018,20290.865520000018
2020-03-13,20290.865520000018,0,20290.865520000018,20290.865520000018
2020-03-16,20290.865520000018,0,20290.865520000018,20290.865520000018
2020-03-17,20290.865520000018,0,20290.865520000018,20290.865520000018
2020-03-18,6718.814184400018,1000,20290.865520000018,20278.81418440002
2020-03-19,20243.22509490002,0,20243.22509490002,20243.22509490002
2020-03-20,20243.22509490002,0,20243.22509490002,20243.22509490002
