date,cash,shares,open_equity,equity
2020-01-02,20218.0,0,20218.0,20218.0
2020-01-03,20218.0,0,20218.0,20218.0
2020-01-06,20218.0,0,20218.0,20218.0
2020-01-07,20218.0,0,20218.0,20218.0
2020-01-08,20218.0,0,20218.0,20218.0
2020-01-09,1903.483817000004,1000,20218.0,20203.483817000004
2020-01-10,20280.510006100005,0,20280.510006100005,20280.510006100005
2020-01-13,20280.510006100005,0,20280.510006100005,20280.510006100005
2020-01-14,20280.510006100005,0,20280.510006100005,20280.510006100005
2020-01-15,20280.510006100005,0,20280.510006100005,20280.510006100005
2020-01-16,20280.510006100005,0,20280.510006100005,20280.510006100005
2020-01-17,1275.6350162000053,1000,20280.510006100005,20265.635016200005
2020-01-20,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-01-21,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-01-22,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-01-23,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-03,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-04,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-05,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-06,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-07,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-10,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-11,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-12,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-13,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-14,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-17,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-18,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-19,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-20,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-21,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-24,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-25,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-26,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-27,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-02-28,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-02,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-03,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-04,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-05,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-06,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-09,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-10,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-11,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-12,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-13,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-16,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-17,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-18,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-19,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-20,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-23,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-24,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-25,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-26,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-27,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-30,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-03-31,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-04-01,20121.947045000008,0,20121.947045000008,20121.947045000008
2020-04-02,6129.677305200008,1000,20121.947045000008,20109.677305200006
2020-04-03,20003.556394200008,0,20003.556394200008,20003.556394200008
