date,cash,shares,open_equity,equity
2020-01-02,20218.0,0,20218.0,20218.0
2020-01-03,20218.0,0,20218.0,20218.0
2020-01-06,20218.0,0,20218.0,20218.0
2020-01-07,20218.0,0,20218.0,20218.0
2020-01-08,20218.0,0,20218.0,20218.0
2020-01-09,20218.0,0,20218.0,20218.0
2020-01-10,20218.0,0,20218.0,20218.0
2020-01-13,20218.0,0,20218.0,20218.0
2020-01-14,20218.0,0,20218.0,20218.0
2020-01-15,20218.0,0,20218.0,20218.0
2020-01-16,20218.0,0,20218.0,20218.0
2020-01-17,20218.0,0,20218.0,20218.0
2020-01-20,20218.0,0,20218.0,20218.0
2020-01-21,20218.0,0,20218.0,20218.0
2020-01-22,20218.0,0,20218.0,20218.0
2020-01-23,20218.0,0,20218.0,20218.0
2020-02-03,20218.0,0,20218.0,20218.0
2020-02-04,20218.0,0,20218.0,20218.0
2020-02-05,20218.0,0,20218.0,20218.0
2020-02-06,20218.0,0,20218.0,20218.0
2020-02-07,20218.0,0,20218.0,20218.0
2020-02-10,20218.0,0,20218.0,20218.0
2020-02-11,973.0002077000026,1000,20218.0,20203.000207700003
2020-02-12,20019.008338500007,0,20019.008338500007,20019.008338500007
2020-02-13,20019.008338500007,0,20019.008338500007,20019.008338500007
2020-02-14,20019.008338500007,0,20019.008338500007,20019.008338500007
2020-02-17,20019.008338500007,0,20019.008338500007,20019.008338500007
2020-02-18,20019.008338500007,0,20019.008338500007,20019.008338500007
2020-02-19,20019.008338500007,0,20019.008338500007,20019.008338500007
2020-02-20,1194.226950400007,1000,20019.008338500007,20004.226950400007
2020-02-21,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-02-24,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-02-25,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-02-26,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-02-27,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-02-28,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-02,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-03,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-04,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-05,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-06,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-09,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-10,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-11,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-12,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-13,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-16,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-17,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-18,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-19,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-20,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-23,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-24,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-25,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-26,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-27,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-30,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-03-31,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-04-01,19830.858072100007,0,19830.858072100007,19830.858072100007
2020-04-02,5838.588332300007,1000,19830.858072100007,19818.58833230001
2020-04-03,19712.46742130001,0,19712.46742130001,19712.46742130001
2020-04-07,19712.46742130001,0,19712.46742130001,19712.46742130001
2020-04-08,19712.46742130001,0,19712.46742130001,19712.46742130001
2020-04-09,19712.46742130001,0,19712.46742130001,19712.46742130001
2020-04-10,19712.46742130001,0,19712.46742130001,19712.46742130001
2020-04-13,19712.46742130001,0,19712.46742130001,19712.46742130001
