entry,exit,net,quantity
2020-01-07,2020-01-08,-286.0607923999996,1000
2020-01-08,2020-01-09,84.07042630000433,1000
2020-01-09,2020-01-10,62.51000610000483,1000
2020-01-10,2020-01-13,-56.7569900999988,1000
2020-01-13,2020-01-14,-8.015874600001553,1000
2020-01-15,2020-01-16,-98.0626755000012,1000
2020-01-17,2020-01-20,-158.56296109999676,1000
2020-01-20,2020-01-21,-189.23120139999446,1000
2020-01-21,2020-01-22,-238.6453518999988,1000
2020-02-04,2020-02-05,93.03548140000566,1000
2020-02-05,2020-02-06,-197.89033149999523,1000
2020-02-10,2020-02-11,-148.41499599999588,1000
2020-02-18,2020-02-19,-248.1406769999994,1000
2020-02-20,2020-02-21,-188.15026639999996,1000
2020-03-04,2020-03-05,295.301353400002,1000
2020-03-05,2020-03-06,-374.4963882999982,1000
2020-03-10,2020-03-11,36.04313580000235,1000
2020-03-12,2020-03-13,-961.438019199999,1000
2020-03-17,2020-03-18,101.4178264000002,1000
2020-03-19,2020-03-20,132.1880416999993,1000
2020-03-20,2020-03-23,-506.9618546999991,1000
2020-03-24,2020-03-25,342.86830380000174,1000
2020-03-25,2020-03-26,-177.42249639999864,1000
2020-03-31,2020-04-01,-116.82023579999804,1000
2020-04-02,2020-04-03,-118.39065079999637,1000
2020-04-03,2020-04-07,350.9359789000009,1000
2020-04-10,2020-04-13,-217.50448179999876,1000
2020-04-13,2020-04-14,92.98304130000179,1000
2020-04-14,2020-04-15,-38.16549499999746,1000
2020-04-15,2020-04-16,-158.1055262000009,1000
2020-04-16,2020-04-17,131.08671170000162,1000
2020-04-20,2020-04-21,-209.25325169999996,1000
2020-04-21,2020-04-22,-138.72737100000086,1000
2020-04-22,2020-04-23,151.03592690000005,1000
2020-04-24,2020-04-27,11.473000500001945,1000
2020-04-28,2020-04-29,-88.9053204999982,1000
2020-04-29,2020-04-30,30.851155700001982,1000
2020-04-30,2020-05-06,-299.56518759999744,1000
2020-05-06,2020-05-07,-50.08782509999946,1000
2020-05-08,2020-05-11,20.458450599999196,1000
2020-05-11,2020-05-12,-109.50717569999688,1000
2020-05-13,2020-05-14,-148.75296610000078,1000
2020-05-25,2020-05-26,23.150590600002033,1000
2020-05-28,2020-05-29,-97.3605005999998,1000
2020-05-29,2020-06-01,12.574330499999633,1000
2020-06-05,2020-06-08,131.02552670000296,1000
2020-06-09,2020-06-10,-29.689919899996312,1000
2020-06-10,2020-06-11,-69.07847530000072,1000
2020-06-12,2020-06-15,-167.96796130000075,1000
2020-06-16,2020-06-17,-98.52301559999796,1000
2020-06-17,2020-06-18,-39.06287500000144,1000
2020-06-23,2020-06-24,1.1618754000010085,1000
2020-06-29,2020-06-30,89.0043947000031,1000
2020-06-30,2020-07-01,9.025600500002838,1000
2020-07-01,2020-07-02,-121.32753079999748,1000
