entry,exit,net,quantity
2020-01-03,2020-01-06,-256.8405970999993,1000
2020-01-07,2020-01-08,-286.0607923999996,1000
2020-01-21,2020-01-22,-238.6453518999988,1000
2020-02-07,2020-02-10,-448.75455399999555,1000
2020-02-10,2020-02-11,-148.41499599999588,1000
2020-02-20,2020-02-21,-188.15026639999996,1000
2020-03-05,2020-03-06,-374.4963882999982,1000
2020-03-12,2020-03-13,-961.438019199999,1000
2020-03-19,2020-03-20,132.18804170000294,1000
2020-03-20,2020-03-23,-506.9618546999991,1000
2020-03-24,2020-03-25,342.86830380000174,1000
2020-03-30,2020-03-31,433.1394497000001,1000
2020-03-31,2020-04-01,-116.82023579999804,1000
2020-04-07,2020-04-08,-138.7069760000013,1000
2020-04-08,2020-04-09,-8.884114699998463,1000
2020-04-09,2020-04-10,-48.435830099995655,1000
2020-04-21,2020-04-22,-138.72737100000086,1000
2020-04-22,2020-04-23,151.03592690000005,1000
2020-05-08,2020-05-11,20.458450599999196,1000
2020-05-11,2020-05-12,-109.50717569999688,1000
2020-05-12,2020-05-13,-168.82455130000017,1000
2020-05-25,2020-05-26,23.150590600002033,1000
2020-05-28,2020-05-29,-97.3605005999998,1000
2020-06-05,2020-06-08,131.02552670000296,1000
2020-06-10,2020-06-11,-69.07847530000072,1000
2020-06-19,2020-06-22,-29.282019899997977,1000
2020-06-29,2020-06-30,89.00439470000492,1000
2020-06-30,2020-07-01,9.025600500004657,1000
2020-07-01,2020-07-02,-121.32753079999748,1000
2020-07-02,2020-07-03,-1.8973745999974199,1000
2020-07-08,2020-07-09,-63.41741019999972,1000
2020-07-14,2020-07-15,195.8000174000008,1000
2020-07-21,2020-07-22,-31.48467989999699,1000
2020-07-23,2020-07-24,-100.46054059999733,1000
2020-07-27,2020-07-28,101.21387640000103,1000
2020-08-06,2020-08-07,-59.542360200000985,1000
2020-08-14,2020-08-17,19.255145600000105,1000
2020-08-27,2020-08-28,-129.74192089999633,1000
2020-08-28,2020-08-31,49.7806208999973,1000
2020-09-04,2020-09-07,-198.656596599998,1000
2020-09-11,2020-09-14,-37.77798999999868,1000
2020-09-15,2020-09-16,-77.94155539999701,1000
2020-09-16,2020-09-17,-77.67642039999919,1000
2020-09-17,2020-09-18,-27.670814899996913,1000
2020-09-23,2020-09-24,-157.49367619999975,1000
2020-09-25,2020-09-28,-6.90579969999817,1000
2020-09-28,2020-09-29,2.8546604000002844,1000
2020-10-13,2020-10-14,-168.2127012999972,1000
2020-10-16,2020-10-19,81.71335120000185,1000
2020-10-20,2020-10-21,-68.20149029999811,1000
2020-11-17,2020-11-18,-38.8385300000009,1000
2020-11-20,2020-11-23,-29.078069900000628,1000
2020-11-23,2020-11-24,-58.869325199999366,1000
2020-11-27,2020-11-30,-98.11511559999599,1000
2020-12-02,2020-12-03,-88.57900049999807,1000
2020-12-11,2020-12-14,12.451960500002315,1000
2020-12-14,2020-12-15,-217.34132179999688,1000
2020-12-31,2021-01-04,-27.935949899996558,1000
2021-01-04,2021-01-05,-38.14509999999791,1000
2021-01-05,2021-01-06,-28.466219899997668,1000
2021-01-12,2021-01-13,-129.5787608999999,1000
2021-01-22,2021-01-25,-99.99145560000034,1000
2021-02-01,2021-02-02,-8.394634699996459,1000
2021-02-18,2021-02-19,-108.36505569999827,1000
2021-02-24,2021-02-25,-38.65497499999947,1000
2021-03-11,2021-03-12,-17.91035479999846,1000
2021-03-18,2021-03-19,-37.574039999995875,1000
2021-04-06,2021-04-07,-8.924904699999388,1000
2021-04-15,2021-04-16,-129.1912558999975,1000
2021-04-27,2021-04-28,-29.424784899998485,1000
2021-04-29,2021-04-30,-89.90467549999812,1000
2021-05-06,2021-05-07,-37.879964999998265,1000
2021-05-10,2021-05-11,-107.46767569999611,1000
2021-05-18,2021-05-19,-87.15135049999844,1000
2021-05-19,2021-05-20,-46.92660009999781,1000
2021-05-20,2021-05-21,-46.946995099999185,1000
2021-05-31,2021-06-01,-35.330589999997756,1000
2021-06-01,2021-06-02,-45.33579009999812,1000
2021-06-11,2021-06-15,-35.493749999999636,1000
2021-06-25,2021-06-28,14.20593050000025,1000
2021-06-28,2021-06-29,-35.6569099999997,1000
2021-06-30,2021-07-01,-25.32538989999921,1000
2021-07-06,2021-07-07,-74.88230539999859,1000
2021-07-09,2021-07-12,15.552000500001668,1000
2021-07-15,2021-07-16,-63.91854029999922,1000
2021-07-19,2021-07-20,-83.50064549999843,1000
2021-08-06,2021-08-09,-64.08170029999928,1000
2021-08-20,2021-08-23,45.649180800002796,1000
2021-08-24,2021-08-25,-54.54558519999955,1000
2021-08-25,2021-08-26,-54.40282019999904,1000
2021-08-31,2021-09-01,-33.41345999999976,1000
2021-09-17,2021-09-22,-103.85776070000065,1000
2021-09-27,2021-09-28,-94.11769559999811,1000
2021-10-13,2021-10-14,-54.21926519999943,1000
2021-10-14,2021-10-15,-34.188469999997324,1000
2021-10-19,2021-10-20,-23.75497489999907,1000
2021-10-22,2021-10-25,-93.44466059999831,1000
2021-10-25,2021-10-26,6.72971040000084,1000
2021-10-27,2021-10-28,-182.77763649999906,1000
2021-11-08,2021-11-09,-33.760174999997616,1000
2021-11-09,2021-11-10,-3.6833896999996796,1000
2021-11-10,2021-11-11,-53.5054401999987,1000
2021-11-12,2021-11-15,-33.902939999998125,1000
2021-11-18,2021-11-19,-53.668600199998764,1000
2021-11-22,2021-11-23,-34.188469999997324,1000
2021-12-21,2021-12-22,-184.55200149999837,1000
2021-12-31,2022-01-04,-24.326034899999286,1000
2022-01-12,2022-01-13,5.83233040000232,1000
2022-01-14,2022-01-17,-33.12793000000056,1000
2022-01-26,2022-01-27,-32.944375000000946,1000
2022-02-18,2022-02-21,-52.995565199998964,1000
2022-02-22,2022-02-23,-32.98516500000187,1000
2022-02-28,2022-03-01,-42.76602009999988,1000
2022-03-01,2022-03-02,-52.75082519999887,1000
2022-03-02,2022-03-03,-12.89318479999929,1000
