entry,exit,net,quantity
2020-01-02,2020-01-03,62.34684610000113,1000
2020-01-06,2020-01-07,-26.537439799998538,1000
2020-01-08,2020-01-09,84.07042630000433,1000
2020-02-05,2020-02-06,-197.89033149999523,1000
2020-02-06,2020-02-07,929.9235598000014,1000
2020-02-14,2020-02-17,42.43842090000544,1000
2020-02-19,2020-02-20,52.1376960000016,1000
2020-02-24,2020-02-25,-540.3309799000017,1000
2020-03-11,2020-03-12,-333.29267790000085,1000
2020-03-18,2020-03-19,-47.64042509999854,1000
2020-04-01,2020-04-02,-107.2433306999992,1000
2020-04-03,2020-04-07,350.9359789000009,1000
2020-04-15,2020-04-16,-158.1055262000009,1000
2020-04-24,2020-04-27,11.473000500001945,1000
2020-04-27,2020-04-28,21.457805600002757,1000
2020-04-29,2020-04-30,30.851155700001982,1000
2020-05-15,2020-05-18,-197.8815865999968,1000
2020-05-20,2020-05-21,-8.292659699996875,1000
2020-06-01,2020-06-02,-18.338649799996347,1000
2020-06-02,2020-06-03,70.95353610000166,1000
2020-06-03,2020-06-04,-9.047274699998525,1000
2020-06-04,2020-06-05,-38.87932000000001,1000
2020-06-08,2020-06-09,100.70400140000129,1000
2020-06-09,2020-06-10,-29.689919899996312,1000
2020-06-11,2020-06-12,-358.1075531999959,1000
2020-06-15,2020-06-16,32.01367070000197,1000
2020-06-22,2020-06-23,-79.30802039999617,1000
2020-07-03,2020-07-06,257.09570800000074,1000
2020-07-06,2020-07-07,-33.64654990000054,1000
2020-07-07,2020-07-08,-123.28545079999822,1000
2020-07-09,2020-07-10,-84.0396604000016,1000
2020-07-28,2020-07-29,-28.996489900000597,1000
2020-08-13,2020-08-14,-200.69609659999696,1000
2020-08-17,2020-08-18,-21.193949799999245,1000
2020-08-24,2020-08-25,9.35192050000478,1000
2020-08-25,2020-08-26,-50.76086009999926,1000
2020-08-31,2020-09-01,-109.95586569999796,1000
2020-09-07,2020-09-08,-38.43062999999529,1000
