entry,exit,net,quantity
2020-01-09,2020-01-10,62.51000610000483,1000
2020-01-17,2020-01-20,-158.56296109999676,1000
2020-04-02,2020-04-03,-118.3906508,1000
2020-04-14,2020-04-15,-38.16549499999746,1000
2020-04-20,2020-04-21,-209.25325169999633,1000
2020-04-28,2020-04-29,-88.90532050000184,1000
2020-06-16,2020-06-17,-98.52301559999614,1000
2020-07-20,2020-07-21,68.64890110000124,1000
2020-07-29,2020-07-30,-39.59314499999891,1000
2020-08-12,2020-08-13,88.92443630000344,1000
2020-08-28,2020-08-31,49.7806208999973,1000
2020-09-18,2020-09-21,-48.17069509999783,1000
2020-10-29,2020-10-30,-98.38025059999563,1000
2020-12-01,2020-12-02,-18.74654979999832,1000
2021-01-05,2021-01-06,-28.466219899997668,1000
2021-02-19,2021-02-22,20.968325599998934,1000
2021-03-03,2021-03-04,-138.19710099999793,1000
2021-03-16,2021-03-17,-57.4416751999961,1000
2021-05-25,2021-05-26,-115.6577208000017,1000
2021-07-05,2021-07-06,-34.86150500000076,1000
2021-07-19,2021-07-20,-83.50064549999661,1000
2021-08-04,2021-08-05,35.603190699999686,1000
2021-08-10,2021-08-11,65.08852100000149,1000
2021-08-18,2021-08-19,-84.9079004999985,1000
2021-10-29,2021-11-01,-83.07235049999872,1000
2021-12-08,2021-12-09,-93.48545059999742,1000
2021-12-21,2021-12-22,-184.5520015000002,1000
2022-02-21,2022-02-22,-93.1591305999973,1000
2022-03-02,2022-03-03,-12.89318479999929,1000
2022-03-11,2022-03-14,-160.76852629999848,1000
2022-04-01,2022-04-06,-60.716525299998466,1000
2022-05-31,2022-06-01,-88.91292529999919,1000
2022-06-10,2022-06-13,-79.31172524999783,1000
2022-06-14,2022-06-15,-68.88253019999684,1000
2022-06-28,2022-06-29,-29.99304999999731,1000
2022-07-19,2022-07-20,40.10323535000134,1000
2022-08-05,2022-08-08,-29.367005000000063,1000
2022-08-09,2022-08-10,-29.568954999998823,1000
2022-09-27,2022-09-28,-57.42339014999743,1000
2022-10-12,2022-10-13,-86.69147529999827,1000
2022-11-01,2022-11-02,-97.18125534999854,1000
2022-11-11,2022-11-14,12.087240199998632,1000
2023-02-09,2023-02-10,-59.038990150002064,1000
2023-02-20,2023-02-21,-59.96796014999927,1000
2023-03-13,2023-03-14,-43.431300049996935,1000
2023-03-14,2023-03-15,165.94878100000278,1000
2023-11-07,2023-11-08,-73.34856269999727,1000
2025-04-09,2025-04-10,1533.5971828500005,1000
