entry,exit,net,quantity
2020-01-16,2020-01-17,-47.547194999995554,1000
2020-02-19,2020-02-20,52.1376960000016,1000
2020-02-26,2020-02-27,-118.05268069999875,1000
2020-02-28,2020-03-02,174.83105219999925,1000
2020-03-03,2020-03-04,-255.24978709999414,1000
2020-03-11,2020-03-12,-333.29267790000085,1000
2020-03-16,2020-03-17,50.698395899999014,1000
2020-03-18,2020-03-19,-47.64042509999854,1000
2020-03-23,2020-03-24,194.11597729999994,1000
2020-03-27,2020-03-30,-266.3067822999983,1000
2020-04-17,2020-04-20,31.36103070000172,1000
2020-05-14,2020-05-15,12.003270500001236,1000
2020-05-21,2020-05-22,-57.70681019999756,1000
2020-06-11,2020-06-12,-358.1075531999959,1000
2020-07-10,2020-07-13,-112.58682070000214,1000
2020-07-16,2020-07-17,169.3535421000015,1000
2020-08-11,2020-08-12,180.78639219999968,1000
2020-08-19,2020-08-20,-140.13462599999912,1000
2020-08-21,2020-08-24,19.724230600004375,1000
2020-08-31,2020-09-01,-109.95586569999796,1000
2020-09-07,2020-09-08,-38.43062999999893,1000
2020-09-10,2020-09-11,-127.51886589999776,1000
2020-09-22,2020-09-23,32.23801570000069,1000
2020-10-23,2020-10-26,-57.68641519999801,1000
2020-10-30,2020-11-02,-287.45930249999947,1000
2020-12-09,2020-12-10,-98.09472059999825,1000
2020-12-10,2020-12-11,-87.31451050000032,1000
2020-12-22,2020-12-23,2.8750554000034754,1000
2021-01-19,2021-01-20,208.82367750000049,1000
2021-02-02,2021-02-03,-67.89556529999754,1000
2021-02-03,2021-02-04,-106.95780069999819,1000
2021-02-05,2021-02-08,-96.85062559999642,1000
2021-02-22,2021-02-23,-158.30947619999642,1000
2021-02-23,2021-02-24,-18.155094799996732,1000
2021-02-25,2021-02-26,-188.16191649999746,1000
2021-03-04,2021-03-05,-167.60085129999788,1000
2021-03-08,2021-03-09,-57.91076020000037,1000
2021-03-25,2021-03-26,-58.15550019999864,1000
2021-03-29,2021-03-30,52.0240709000027,1000
2021-04-20,2021-04-21,-89.25203549999787,1000
2021-04-22,2021-04-23,-68.87452529999791,1000
2021-05-17,2021-05-18,-27.14054489999762,1000
2021-05-24,2021-05-25,-25.610919900002045,1000
2021-06-16,2021-06-17,-45.11144509999576,1000
2021-07-02,2021-07-05,-54.38242519999767,1000
2021-07-08,2021-07-09,-44.51999010000145,1000
2021-07-16,2021-07-19,-23.4490498999985,1000
2021-07-27,2021-07-28,-33.005560000001424,1000
2021-07-29,2021-07-30,-62.368520299998636,1000
2021-08-11,2021-08-12,-53.99492019999889,1000
2021-08-26,2021-08-27,-33.841755000001285,1000
2021-08-27,2021-08-30,6.0566754000028595,1000
2021-09-14,2021-09-15,-44.3364350999982,1000
2021-11-26,2021-11-29,-112.65965580000193,1000
2022-01-07,2022-01-10,-54.09689519999665,1000
2022-01-11,2022-01-12,-34.16807499999777,1000
2022-01-24,2022-01-25,36.45978070000274,1000
2022-01-25,2022-01-26,-33.06674500000008,1000
2022-03-15,2022-03-16,69.96292600000015,1000
2022-03-25,2022-03-28,-160.64615629999753,1000
2022-04-19,2022-04-20,9.768565400001535,1000
2022-04-21,2022-04-22,-39.93111510000017,1000
2022-04-25,2022-04-26,31.328985600001033,1000
2022-05-06,2022-05-09,-28.559205000001384,1000
2022-05-24,2022-05-25,-18.39254494999841,1000
2022-06-16,2022-06-17,-79.2713352499959,1000
2022-06-29,2022-06-30,-39.856785050000326,1000
2022-07-14,2022-07-15,-59.240940150000824,1000
2022-07-15,2022-07-18,-18.897419950000767,1000
2022-07-29,2022-08-01,-50.26578509999672,1000
2022-08-03,2022-08-04,20.294985250002355,1000
2022-08-19,2022-08-22,-119.08978544999991,1000
2022-09-16,2022-09-19,-28.41784000000189,1000
2022-09-29,2022-09-30,3.0313051500015717,1000
2022-10-10,2022-10-11,53.40012039999783,1000
2022-10-24,2022-10-25,83.0923005500008,1000
2022-11-18,2022-11-21,-77.99905025000044,1000
2022-12-02,2022-12-05,121.31534575000114,1000
2022-12-22,2022-12-23,-58.7158701499975,1000
2023-01-20,2023-01-30,110.54283570000189,1000
2023-01-31,2023-02-01,0.7492701500013936,1000
2023-02-08,2023-02-09,-48.67038009999669,1000
2023-02-16,2023-02-17,-49.94266509999943,1000
2023-02-17,2023-02-20,-29.609345000000758,1000
2023-03-06,2023-03-07,-32.33567000000039,1000
2023-03-07,2023-03-08,-111.10418539999955,1000
2023-03-28,2023-03-29,206.40185125000426,1000
2023-05-19,2023-05-22,-192.4086957499967,1000
2023-10-20,2023-10-24,-2891.6864867999993,1000
2024-01-05,2024-01-08,-90.15209029999824,1000
2024-01-17,2024-01-18,-29.270430000000488,1000
2024-01-30,2024-01-31,-230.31467599999996,1000
