entry,exit,net,quantity
2020-02-11,2020-02-12,-198.99166149999292,1000
2020-02-20,2020-02-21,-188.15026639999996,1000
2020-04-02,2020-04-03,-118.39065079999637,1000
2020-04-28,2020-04-29,-88.90532050000184,1000
2020-06-29,2020-06-30,89.00439470000128,1000
2020-07-08,2020-07-09,-63.41741019999972,1000
2020-08-12,2020-08-13,88.9244362999998,1000
2020-09-18,2020-09-21,-48.17069509999783,1000
2020-10-29,2020-10-30,-98.38025059999563,1000
2020-11-05,2020-11-06,1.7737254000021494,1000
2020-11-10,2020-11-11,-160.53253119999863,1000
2021-01-05,2021-01-06,-28.466219899997668,1000
2021-01-11,2021-01-12,-99.19605059999958,1000
2021-01-12,2021-01-13,-129.5787608999999,1000
2021-01-15,2021-01-18,-31.11756989999776,1000
2021-01-18,2021-01-19,-62.3568701999975,1000
2021-03-26,2021-03-29,-8.680164699999295,1000
2021-05-25,2021-05-26,-115.65772079999806,1000
2021-05-28,2021-05-31,-5.233409699998447,1000
2021-08-04,2021-08-05,35.603190699999686,1000
2021-08-10,2021-08-11,65.08852100000149,1000
2021-08-16,2021-08-17,-35.02466500000082,1000
2021-08-18,2021-08-19,-84.9079004999985,1000
2021-10-21,2021-10-22,-33.43385499999931,1000
2021-12-08,2021-12-09,-93.48545059999742,1000
2021-12-09,2021-12-10,-53.974525199999334,1000
2021-12-21,2021-12-22,-184.5520015000002,1000
2022-01-14,2022-01-17,-33.12793000000238,1000
2022-02-24,2022-02-25,-32.842399999997724,1000
2022-03-07,2022-03-08,-81.99141549999695,1000
2022-03-09,2022-03-10,118.56127650000417,1000
2022-03-11,2022-03-14,-160.76852629999848,1000
2022-05-20,2022-05-23,20.820055250002042,1000
2022-05-31,2022-06-01,-88.91292529999919,1000
2022-06-10,2022-06-13,-79.31172524999783,1000
2022-06-13,2022-06-14,-108.8423453999967,1000
2022-07-19,2022-07-20,40.10323535000134,1000
2022-09-15,2022-09-16,-68.88253020000047,1000
2022-09-19,2022-09-20,2.0013601499995275,1000
2022-11-01,2022-11-02,-97.18125534999854,1000
2022-11-11,2022-11-14,12.087240199998632,1000
2022-12-14,2022-12-15,-29.02368999999817,1000
2023-02-03,2023-02-06,-78.82704524999644,1000
2023-03-09,2023-03-10,-182.2910007499995,1000
2023-03-13,2023-03-14,-43.431300049996935,1000
2023-03-14,2023-03-15,165.94878100000278,1000
2023-03-21,2023-03-22,359.91150200000266,1000
2023-03-31,2023-04-03,-174.57955565000157,1000
2023-04-03,2023-04-04,-565.081382599994,1000
2023-05-15,2023-05-16,-70.48955515000125,1000
2023-05-17,2023-05-18,318.0533568000028,1000
2023-10-24,2023-10-25,29.027655300000333,1000
2023-11-07,2023-11-08,-73.34856269999727,1000
2023-12-11,2023-12-12,-13.713097399995604,1000
2024-01-04,2024-01-05,-50.45083759999761,1000
2024-01-18,2024-01-19,99.03296064999813,1000
2024-01-24,2024-01-25,-81.98588774999735,1000
2024-02-02,2024-02-05,-71.1145301999968,1000
2025-04-09,2025-04-10,1533.5971828500005,1000
