feature,pairs,cases,unique_controls,case_mean,control_mean,standardized_paired_difference
prev_r1,567,189,388,0.14176700192055203,0.5463857147577382,-0.13199403327743836
prev_r3,567,189,388,1.6709627918121086,1.2283821798731698,0.08179885432601122
prev_r5,567,189,388,2.225226621096137,2.352711884501193,-0.018137838097002198
prev_r20,567,189,388,7.034639880127696,6.998187135632052,0.002155620414617452
prev_bias20,567,189,388,3.017722035324033,3.0631582648684654,-0.005485130847905085
prev_vol20,567,189,388,3.6664748353135463,3.6665682087291005,-7.318571811858701e-05
prev_intraday,567,189,388,0.12136007344998886,0.6379037062170239,-0.1935225764927712
prev_clv,566,189,387,0.470271935370514,0.5213000036023774,-0.1691354816994066
prev_volume_ratio,567,189,388,1.0911452466841858,1.0948646608701718,-0.007133192023439015
prev_market1,567,189,388,0.07623980529459096,0.013394033620031498,0.06031694981147212
prev_market20,567,189,388,0.3088076599199335,0.6174969465667008,-0.07157877971635128
prev_relative20,567,189,388,6.725832220207762,6.380690189065351,0.022426304534975298
today_gap,567,189,388,-0.2593115493829718,0.030005920515354362,-0.1874345051266451
return1450,567,189,388,0.38863054620879445,0.21334221109705703,0.057661643121961474
range1450,567,189,388,4.797464919782789,4.806467650978735,-0.003922680975756027
clv1450,566,189,387,0.50151313788502,0.4630397109659217,0.12828519508794717
volume_ratio1450,561,188,383,1.0673590724711957,1.076844058266664,-0.01786490171716876
morning_return,567,189,388,0.6511642095997667,0.16081837294353352,0.21965576906871762
afternoon_return,567,189,388,-0.008616321419761517,0.02201334135733809,-0.022583802145379774
tail_return,567,189,388,-0.07251546093594824,0.027249673457043922,-0.12314611295187057
tail_volume_ratio,561,188,383,0.9721650014702158,1.112003614501347,-0.194504993004532
breakout_distance,567,189,388,-2.1015872793987165,-2.1976276183531653,0.05904802238652731
breakdown_distance,567,189,388,2.539148428141204,2.2663198097273396,0.12725452106247426
known_gapdays,567,189,388,1.8306878306878307,1.4673721340388006,0.31297876125983054
