case_index,control_index,case_date,control_date,stage,vol_distance
402,405,2020-02-06,2020-02-11,U,0.029313152736704762
402,410,2020-02-06,2020-02-18,U,0.030776513029838526
402,407,2020-02-06,2020-02-13,U,0.04246018491169812
418,423,2020-02-28,2020-03-06,R,0.10671825689060643
418,420,2020-02-28,2020-03-03,R,0.12335891086163908
418,401,2020-02-28,2020-02-05,R,0.12448565368164388
419,417,2020-03-02,2020-02-27,R,0.02360152052319542
419,408,2020-03-02,2020-02-14,R,0.2679698888020927
419,413,2020-03-02,2020-02-21,R,0.295562559947951
421,420,2020-03-04,2020-03-03,R,0.0003518119591219282
421,423,2020-03-04,2020-03-06,R,0.016992465930154577
421,422,2020-03-04,2020-03-05,R,0.021403661026598186
434,428,2020-03-23,2020-03-13,D,0.011509099480202067
434,425,2020-03-23,2020-03-10,D,0.021384379876846715
434,444,2020-03-23,2020-04-07,D,0.021404347530862733
435,427,2020-03-24,2020-03-12,D,0.03038039494763689
435,426,2020-03-24,2020-03-11,D,0.030993917592433196
435,429,2020-03-24,2020-03-16,D,0.0437024360164151
437,438,2020-03-26,2020-03-27,D,0.04683854816314703
437,436,2020-03-26,2020-03-25,D,0.08682255746613698
437,432,2020-03-26,2020-03-19,D,0.14849073454642792
439,448,2020-03-30,2020-04-13,D,0.005137801590072932
439,449,2020-03-30,2020-04-14,D,0.018323004893118444
439,441,2020-03-30,2020-04-01,D,0.04149438345243617
443,428,2020-04-03,2020-03-13,D,0.004596779423922559
443,425,2020-04-03,2020-03-10,D,0.005278500972722089
443,444,2020-04-03,2020-04-07,D,0.0052984686267381065
455,456,2020-04-22,2020-04-23,C,0.10637510740007627
455,457,2020-04-22,2020-04-24,C,0.2477467200479615
455,458,2020-04-22,2020-04-27,C,0.2988719938532065
502,501,2020-07-03,2020-07-02,U,0.016405633787909935
502,503,2020-07-03,2020-07-06,U,0.017342692247487523
502,498,2020-07-03,2020-06-29,U,0.031038334101205045
509,398,2020-07-14,2020-01-23,U,0.006460537190599691
509,508,2020-07-14,2020-07-13,U,0.02089719864450945
509,510,2020-07-14,2020-07-15,U,0.055103101406913435
511,398,2020-07-16,2020-01-23,U,0.006607074416072223
511,508,2020-07-16,2020-07-13,U,0.007829587037837538
511,510,2020-07-16,2020-07-15,U,0.06817071301358535
529,530,2020-08-11,2020-08-12,R,0.005768744704914841
529,528,2020-08-11,2020-08-10,R,0.09776523175977703
529,527,2020-08-11,2020-08-07,R,0.20824246896107024
565,566,2020-09-30,2020-10-09,D,0.0011358436710280362
565,620,2020-09-30,2020-12-24,D,0.0036840287325752286
565,622,2020-09-30,2020-12-28,D,0.004887837058390687
584,587,2020-11-04,2020-11-09,R,0.009310433137212915
584,583,2020-11-04,2020-11-03,R,0.03788753166051473
584,613,2020-11-04,2020-12-15,R,0.05690686403034917
586,570,2020-11-06,2020-10-15,C,0.012580402504068333
586,569,2020-11-06,2020-10-14,C,0.026309707013772998
586,568,2020-11-06,2020-10-13,C,0.06469449682813222
637,636,2021-01-19,2021-01-18,U,0.1522079745548599
637,701,2021-01-19,2021-04-27,U,0.15861482775638414
637,697,2021-01-19,2021-04-21,U,0.16410725443819052
644,643,2021-01-28,2021-01-27,U,0.01666622418991137
644,638,2021-01-28,2021-01-20,U,0.05591098789305171
644,642,2021-01-28,2021-01-26,U,0.0616190577597604
801,800,2021-09-22,2021-09-17,R,0.0019859797858980954
801,802,2021-09-22,2021-09-23,R,0.0435046422457297
801,807,2021-09-22,2021-09-30,R,0.0740808342472683
910,1041,2022-03-09,2022-09-19,D,0.002368788284349055
910,941,2022-03-09,2022-04-25,D,0.003819945184442397
910,913,2022-03-09,2022-03-14,D,0.01449229519384132
919,964,2022-03-22,2022-05-31,D,0.006690413935029671
919,917,2022-03-22,2022-03-18,D,0.016475477960274487
919,931,2022-03-22,2022-04-11,D,0.02167589744627274
1061,1065,2022-10-24,2022-10-28,D,0.0009922729311384604
1061,1067,2022-10-24,2022-11-01,D,0.0054419852723752715
1061,929,2022-10-24,2022-04-07,D,0.007474207960445067
1074,1075,2022-11-10,2022-11-11,C,0.0014254317576205544
1074,1073,2022-11-10,2022-11-09,C,0.006667055566072166
1074,1072,2022-11-10,2022-11-08,C,0.0067517532225580545
1090,1089,2022-12-02,2022-12-01,U,0.007112769353071036
1090,1091,2022-12-02,2022-12-05,U,0.009421357950496922
1090,1014,2022-12-02,2022-08-10,U,0.010802293553663356
1124,1116,2023-01-20,2023-01-10,U,0.0003362084078090133
1124,1123,2023-01-20,2023-01-19,U,0.007699451422143344
1124,1125,2023-01-20,2023-01-30,U,0.016059259114822644
1156,1157,2023-03-14,2023-03-15,U,0.0011846628428777706
1156,1212,2023-03-14,2023-06-06,U,0.13353092117143506
1156,1155,2023-03-14,2023-03-13,U,0.24948885457452974
1158,1157,2023-03-16,2023-03-15,U,0.029676328050757927
1158,1212,2023-03-16,2023-06-06,U,0.16439191206507076
1158,1155,2023-03-16,2023-03-13,U,0.21862786368089404
1159,1157,2023-03-17,2023-03-15,U,0.0685163105627895
1159,1155,2023-03-17,2023-03-13,U,0.17978788116886246
1159,1212,2023-03-17,2023-06-06,U,0.20323189457710233
1161,1216,2023-03-21,2023-06-12,U,0.05581044250618028
1161,1219,2023-03-21,2023-06-15,U,0.11323605977560103
1161,1221,2023-03-21,2023-06-19,U,0.14187947989495608
1162,1216,2023-03-22,2023-06-12,U,0.004941819612065856
1162,1219,2023-03-22,2023-06-15,U,0.05248379765735489
1162,1221,2023-03-22,2023-06-19,U,0.08112721777670995
1166,1172,2023-03-28,2023-04-06,U,0.011821817335280649
1166,1223,2023-03-28,2023-06-21,U,0.011938528769111834
1166,1218,2023-03-28,2023-06-14,U,0.023216462411734362
1171,1227,2023-04-04,2023-06-29,U,0.003976755933755349
1171,1235,2023-04-04,2023-07-11,U,0.012596576084823674
1171,1228,2023-04-04,2023-06-30,U,0.021131473060742145
1182,1189,2023-04-20,2023-05-04,R,0.13173737909019767
1182,1192,2023-04-20,2023-05-09,R,0.16951757798381628
1182,1191,2023-04-20,2023-05-08,R,0.17496615156897732
1185,1186,2023-04-25,2023-04-26,U,0.0018006001058168408
1185,1184,2023-04-25,2023-04-24,U,0.022375764155611044
1185,1179,2023-04-25,2023-04-17,U,0.06729771477036728
1195,1196,2023-05-12,2023-05-15,R,1.2762246709208114e-05
1195,1199,2023-05-12,2023-05-18,R,0.028404559577131394
1195,1243,2023-05-12,2023-07-21,R,0.029684800957972435
1198,1201,2023-05-17,2023-05-22,R,0.007696023318350065
1198,1257,2023-05-17,2023-08-10,R,0.048000180931910386
1198,1197,2023-05-17,2023-05-16,R,0.04856603035231455
1203,1204,2023-05-24,2023-05-25,R,0.017944670918450978
