date,cash,shares,open_equity,equity
2020-01-02,20218.0,0,20218.0,20218.0
2020-01-03,20218.0,0,20218.0,20218.0
2020-01-06,20218.0,0,20218.0,20218.0
2020-01-07,20218.0,0,20218.0,20218.0
2020-01-08,20218.0,0,20218.0,20218.0
2020-01-09,20218.0,0,20218.0,20218.0
2020-01-10,20218.0,0,20218.0,20218.0
2020-01-13,20218.0,0,20218.0,20218.0
2020-01-14,20218.0,0,20218.0,20218.0
2020-01-15,20218.0,0,20218.0,20218.0
2020-01-16,20218.0,0,20218.0,20218.0
2020-01-17,20218.0,0,20218.0,20218.0
2020-01-20,20218.0,0,20218.0,20218.0
2020-01-21,20218.0,0,20218.0,20218.0
2020-01-22,20218.0,0,20218.0,20218.0
2020-01-23,20218.0,0,20218.0,20218.0
2020-02-03,20218.0,0,20218.0,20218.0
2020-02-04,20218.0,0,20218.0,20218.0
2020-02-05,20218.0,0,20218.0,20218.0
2020-02-06,20218.0,0,20218.0,20218.0
2020-02-07,20218.0,0,20218.0,20218.0
2020-02-10,20218.0,0,20218.0,20218.0
2020-02-11,20218.0,0,20218.0,20218.0
2020-02-12,20218.0,0,20218.0,20218.0
2020-02-13,20218.0,0,20218.0,20218.0
2020-02-14,20218.0,0,20218.0,20218.0
2020-02-17,20218.0,0,20218.0,20218.0
2020-02-18,20218.0,0,20218.0,20218.0
2020-02-19,20218.0,0,20218.0,20218.0
2020-02-20,20218.0,0,20218.0,20218.0
2020-02-21,20218.0,0,20218.0,20218.0
2020-02-24,20218.0,0,20218.0,20218.0
2020-02-25,20218.0,0,20218.0,20218.0
2020-02-26,20218.0,0,20218.0,20218.0
2020-02-27,20218.0,0,20218.0,20218.0
2020-02-28,20218.0,0,20218.0,20218.0
2020-03-02,20218.0,0,20218.0,20218.0
2020-03-03,20218.0,0,20218.0,20218.0
2020-03-04,20218.0,0,20218.0,20218.0
2020-03-05,20218.0,0,20218.0,20218.0
2020-03-06,20218.0,0,20218.0,20218.0
2020-03-09,20218.0,0,20218.0,20218.0
2020-03-10,20218.0,0,20218.0,20218.0
2020-03-11,20218.0,0,20218.0,20218.0
2020-03-12,20218.0,0,20218.0,20218.0
2020-03-13,20218.0,0,20218.0,20218.0
2020-03-16,20218.0,0,20218.0,20218.0
2020-03-17,20218.0,0,20218.0,20218.0
2020-03-18,20218.0,0,20218.0,20218.0
2020-03-19,20218.0,0,20218.0,20218.0
2020-03-20,20218.0,0,20218.0,20218.0
2020-03-23,20218.0,0,20218.0,20218.0
2020-03-24,20218.0,0,20218.0,20218.0
2020-03-25,20218.0,0,20218.0,20218.0
2020-03-26,20218.0,0,20218.0,20218.0
2020-03-27,20218.0,0,20218.0,20218.0
2020-03-30,20218.0,0,20218.0,20218.0
2020-03-31,20218.0,0,20218.0,20218.0
2020-04-01,20218.0,0,20218.0,20218.0
2020-04-02,20218.0,0,20218.0,20218.0
2020-04-03,20218.0,0,20218.0,20218.0
2020-04-07,20218.0,0,20218.0,20218.0
2020-04-08,20218.0,0,20218.0,20218.0
2020-04-09,20218.0,0,20218.0,20218.0
2020-04-10,20218.0,0,20218.0,20218.0
2020-04-13,7056.161868500001,1000,20218.0,20206.1618685
2020-04-14,20310.9830413,0,20310.9830413,20310.9830413
2020-04-15,20310.9830413,0,20310.9830413,20310.9830413
2020-04-16,20310.9830413,0,20310.9830413,20310.9830413
2020-04-17,20310.9830413,0,20310.9830413,20310.9830413
2020-04-20,20310.9830413,0,20310.9830413,20310.9830413
2020-04-21,20310.9830413,0,20310.9830413,20310.9830413
2020-04-22,20310.9830413,0,20310.9830413,20310.9830413
2020-04-23,20310.9830413,0,20310.9830413,20310.9830413
2020-04-24,20310.9830413,0,20310.9830413,20310.9830413
2020-04-27,20310.9830413,0,20310.9830413,20310.9830413
2020-04-28,20310.9830413,0,20310.9830413,20310.9830413
2020-04-29,20310.9830413,0,20310.9830413,20310.9830413
2020-04-30,20310.9830413,0,20310.9830413,20310.9830413
