entry,exit,net,quantity
2020-04-13,2020-04-14,92.98304130000179,1000
2020-07-27,2020-07-28,101.21387640000103,1000
2020-07-28,2020-07-29,-28.996489900000597,1000
2020-07-30,2020-07-31,-49.129260099998646,1000
2020-08-27,2020-08-28,-129.74192089999633,1000
2021-02-08,2021-02-09,12.900650499999756,1000
2021-02-18,2021-02-19,-108.36505570000008,1000
2021-03-17,2021-03-18,-17.665614799996547,1000
2021-03-18,2021-03-19,-37.574039999995875,1000
2021-08-24,2021-08-25,-54.54558519999773,1000
2021-10-26,2021-10-27,-3.357069699999556,1000
2021-12-27,2021-12-28,-34.6371599999984,1000
2022-04-15,2022-04-18,-70.41580039999826,1000
2022-05-09,2022-05-10,-128.44864549999693,1000
2022-05-17,2022-05-18,-18.97819994999736,1000
2022-07-05,2022-07-06,-39.55386005000037,1000
2022-07-08,2022-07-11,-9.700119900000573,1000
2023-02-22,2023-02-23,50.189115400000446,1000
2023-04-14,2023-04-17,-126.37160539999968,1000
