model,year,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,good_n,good_pct,bad_pct,recall_pct
case_classifier,2022,242,-0.35644635025818466,-0.31169266945453244,22.727272727272727,-8388.347406549734,0.19368720457002578,0.1886365266067365,-5.261079058846291,-1.8039242307834444,-8388.347406549734,16,12,1,1,4834.8474065499995,-0.05071002861836744,-0.36723364380979695,-0.3930627726290822,-0.420946483715974,-9058.849598349741,5,2.0661157024793386,8.677685950413224,
case_classifier,2023,240,-0.30263268161786505,-0.29253916978467825,33.75,-14952.752407699609,0.5843763190706381,0.5443853377295158,-10.213887194477932,-4.337914632257772,-16117.080952199678,10,12,1,1,5816.6924077,-0.053482557062424295,-0.33600882191512305,-0.4254466742358664,-0.504791043378079,-19894.093291099613,35,14.583333333333334,26.666666666666668,
case_classifier,2024,242,-0.32477225879511235,-0.4669973393398083,31.818181818181817,-18367.835551299395,0.6434925271582517,0.6299275299687133,-7.757659565589339,-4.874818426096161,-18367.8355512994,12,12,1,1,5206.5455513,-0.12630788797128728,-0.36676407386955395,-0.4659802985153005,-0.5567015140000748,-25590.39484859941,49,20.24793388429752,32.64462809917356,
case_classifier,2025,241,-0.2643620471378394,-0.2097152233477034,38.589211618257266,-34136.31414827607,0.6677182305634795,0.6024705468290353,-10.16030222072976,-4.760363545071983,-36285.16851696915,8,12,1,1,7753.974148277,-0.07376864275333953,-0.30456200680712675,-0.40340344936287953,-0.4939390453022454,-49977.82186001008,42,17.42738589211618,27.800829875518673,
case_classifier,2026,168,-0.25919657874431745,-0.20376974525382552,41.66666666666667,-28078.486553949977,0.6839745917177392,0.6751452848307036,-5.664649953627819,-3.6369271571483828,-28078.48655394999,6,9,1,1,8269.211553951001,-0.08041016990510945,-0.29678536098710495,-0.4012440615707804,-0.4974836949520881,-42521.837171812,38,22.61904761904762,34.523809523809526,
return_regressor,2022,242,-0.35644635025818466,-0.31169266945453244,22.727272727272727,-8388.347406549734,0.19368720457002578,0.1886365266067365,-5.261079058846291,-1.8039242307834444,-8388.347406549734,16,12,1,1,4834.8474065499995,-0.05071002861836744,-0.36723364380979695,-0.3930627726290822,-0.420946483715974,-9058.849598349741,5,2.0661157024793386,8.677685950413224,
return_regressor,2023,240,-0.30263268161786505,-0.29253916978467825,33.75,-14952.752407699609,0.5843763190706381,0.5443853377295158,-10.213887194477932,-4.337914632257772,-16117.080952199678,10,12,1,1,5816.6924077,-0.053482557062424295,-0.33600882191512305,-0.4254466742358664,-0.504791043378079,-19894.093291099613,35,14.583333333333334,26.666666666666668,
return_regressor,2024,242,-0.32477225879511235,-0.4669973393398083,31.818181818181817,-18367.835551299395,0.6434925271582517,0.6299275299687133,-7.757659565589339,-4.874818426096161,-18367.8355512994,12,12,1,1,5206.5455513,-0.12630788797128728,-0.36676407386955395,-0.4659802985153005,-0.5567015140000748,-25590.39484859941,49,20.24793388429752,32.64462809917356,
return_regressor,2025,241,-0.2643620471378394,-0.2097152233477034,38.589211618257266,-34136.31414827607,0.6677182305634795,0.6024705468290353,-10.16030222072976,-4.760363545071983,-36285.16851696915,8,12,1,1,7753.974148277,-0.07376864275333953,-0.30456200680712675,-0.40340344936287953,-0.4939390453022454,-49977.82186001008,42,17.42738589211618,27.800829875518673,
return_regressor,2026,168,-0.25919657874431745,-0.20376974525382552,41.66666666666667,-28078.486553949977,0.6839745917177392,0.6751452848307036,-5.664649953627819,-3.6369271571483828,-28078.48655394999,6,9,1,1,8269.211553951001,-0.08041016990510945,-0.29678536098710495,-0.4012440615707804,-0.4974836949520881,-42521.837171812,38,22.61904761904762,34.523809523809526,
