model,year,train_n,last_exit,chosen_node,rule,economic,train_good_pct,train_net_mean
case_classifier,2022,465,2021-12-31,4,range1450 > 4.35417008,False,19.565217391304348,-0.07073887550111249
case_classifier,2023,707,2022-12-30,4,range1450 > 4.35417008,False,18.181818181818183,0.0030712614933601384
case_classifier,2024,947,2023-12-29,5,prev_vol20 > 3.18161917 AND prev_market20 <= 0.367358148,False,26.38888888888889,-0.13244299286985242
case_classifier,2025,1189,2024-12-31,6,prev_vol20 > 3.18147087 AND prev_r3 > 9.7309103,False,44.0,0.38977654997880107
case_classifier,2026,1430,2025-12-31,5,prev_vol20 > 2.56433344 AND prev_r1 <= -5.06116557,False,39.130434782608695,0.4172905474820292
return_regressor,2022,465,2021-12-31,2,prev_vol20 <= 3.51903284 AND today_gap <= -0.519480914,False,7.407407407407407,0.0029254874289254117
return_regressor,2023,707,2022-12-30,3,today_gap <= 0.359716877 AND range1450 > 3.82157898,False,18.0,0.12333457310783684
return_regressor,2024,947,2023-12-29,1,prev_r20 <= -16.1565018,False,32.5,0.37071895180286163
return_regressor,2025,1189,2024-12-31,1,prev_r20 <= -16.1565018,True,35.08771929824562,0.395353830156926
return_regressor,2026,1430,2025-12-31,1,prev_r20 <= -16.1565018,False,31.884057971014492,0.37069109135540346
