entry,exit,slip,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
ON0,OPEN,0.001,1103,-0.441765772360806,-0.40890954326614143,29.465095194922934,-141397.9418721186,0.4570909019268715,0.49542288423356645,-17.950488560332932,-4.540605167751193,-141397.9418721186,21,57,5,1,30968.931872121997,-0.11430945645885866,-0.45095568293827887,-0.4788182356060328,-0.5060408900094459,-158863.51459229467,310,146,-0.39303208731762035,-0.43003111404959027
ON0,OPEN,0.002,1103,-0.6406739350177527,-0.6078935719390961,24.84134179510426,-202179.37259024408,0.33130199432869095,0.37268366559552163,-18.114429620068695,-4.731334470983329,-202179.37259024396,49,57,5,1,30951.352590244,-0.11430945645885866,-0.6498454768825845,-0.6776523306050612,-0.7048205509959299,-218949.98638659605,389,123,-0.5920375638361622,-0.628962629251493
ON0,0935_S0,0.001,1103,-0.37670234102549716,-0.4309803517543273,36.80870353581142,-127271.53072580669,0.5878458297847169,0.6032879645632825,-17.950488560332932,-5.103945849560339,-130610.67370664673,15,57,5,1,30978.370725809997,-0.04904420973395275,-0.38574122876064176,-0.4187531570009475,-0.4519980383462011,-146721.64391669672,366,208,-0.3282137693459926,-0.3702351353868407
ON0,0935_S0,0.002,1103,-0.5757404546895949,-0.6299201178809771,31.4596554850408,-188067.09198562012,0.4488303155962737,0.4758194409243801,-18.114429620068695,-5.293549646823105,-190503.54251530033,23,57,5,1,30960.77198562,-0.04904420973395275,-0.5847612765476553,-0.6177072290682872,-0.6508856487820672,-206909.2168203921,413,180,-0.5273487065510007,-0.5692860894669304
ON0,0935_S1,0.001,1103,-0.395275722245418,-0.6101517758083045,34.45149592021759,-129156.78113825672,0.564422747379355,0.5863205572157124,-17.950488560332932,-4.540605167751193,-132086.5984684829,15,57,5,1,30975.51113826,-0.06768271140528465,-0.4043314642284936,-0.4374111164595748,-0.4707413498609063,-148606.8943291468,466,195,-0.3463303338774809,-0.3884345753278967
ON0,0935_S1,0.002,1103,-0.5942767324732009,-0.8087338066826144,29.28377153218495,-189950.45526052007,0.4300100554377412,0.4606516767624855,-18.114429620068695,-4.731334470983329,-191977.98987497212,23,57,5,1,30957.91526052,-0.06768271140528465,-0.6033143749100122,-0.6363279161314178,-0.6695915173962643,-208792.580095292,493,172,-0.5454290807700048,-0.5874491735405503
ON0,0935_S2,0.001,1103,-0.3883689716137428,-0.45978882131090865,36.35539437896645,-129357.82103911469,0.5788368969825322,0.5970813913552624,-17.950488560332932,-4.540605167751193,-132068.00021535283,15,57,5,1,30976.751039117997,-0.060748059057582744,-0.3974184461280056,-0.4304729143222909,-0.46377140846407394,-148807.93423000482,383,206,-0.339392131740197,-0.38146463393106433
ON0,0935_S2,0.002,1103,-0.5873837786338962,-0.6586709827774893,31.097008159564822,-190151.29392023612,0.44242579236085444,0.47095763234080024,-18.114429620068695,-4.731334470983329,-191959.41023871218,23,57,5,1,30959.153920236,-0.060748059057582744,-0.59641516612167,-0.6294035736134277,-0.6626354990204608,-208993.41875500808,425,179,-0.5385047382520148,-0.580493155164747
ON0,1000_S0,0.001,1103,-0.2759485451904726,-0.4155285813596005,38.893925657298276,-89382.93461344653,0.7219005974730329,0.7396430205334474,-17.950488560332932,-5.419983861528491,-90399.2156212507,15,57,5,1,31001.82461345,0.051995909484577205,-0.2849970121926772,-0.32103846318312207,-0.358926155564153,-110994.7072738545,379,249,-0.2278185892037204,-0.27289460034369767
ON0,1000_S0,0.002,1103,-0.47518796149192677,-0.6144994156470485,33.72620126926564,-150216.4274009001,0.5748980810529678,0.6040679935815975,-18.114429620068695,-5.608956213792618,-150319.06514610807,20,57,5,1,30984.207400900003,0.051995909484577205,-0.4842183406774024,-0.5201877551662155,-0.5579997100447698,-171181.41070571615,429,224,-0.4271541125817164,-0.4721400267718522
ON0,1000_S1,0.001,1103,-0.3603357359122004,-1.0492539397379894,31.822302810516774,-119281.6985767906,0.637559845515471,0.645524279294162,-17.950488560332932,-4.540605167751193,-120923.06363014877,15,57,5,1,30980.538576794002,-0.03264732622392022,-0.369460779312519,-0.40580993072963,-0.444085415734387,-139962.5511165227,559,219,-0.31123124013837433,-0.3566888279065979
ON0,1000_S1,0.002,1103,-0.5594065624223166,-1.2469588958816715,28.286491387126024,-180085.2626715881,0.5059047945855722,0.5234245144757496,-18.114429620068695,-4.731334470983329,-180179.13356190387,20,57,5,1,30962.942671587996,-0.03264732622392022,-0.568513365020615,-0.6047898652083107,-0.6429888379736081,-200125.66389905216,581,200,-0.5104001212380145,-0.5557668497403931
ON0,1000_S2,0.001,1103,-0.3373351819542568,-0.5129859173135151,36.71804170444243,-110278.39776591456,0.6732885373734616,0.6886620146643359,-17.950488560332932,-4.540605167751193,-110735.41569901076,15,57,5,1,30988.217765918,-0.009571267751576178,-0.3464393537085156,-0.38270463836568486,-0.42087442669906056,-131281.21307272062,432,243,-0.2881259477744292,-0.3334778388712716
ON0,1000_S2,0.002,1103,-0.5364519604824293,-0.7117620492159297,32.36627379873073,-171090.97417383612,0.5381123716062937,0.5634009799788775,-18.114429620068695,-4.731334470983329,-171090.97417383603,20,57,5,1,30970.614173836002,-0.009571267751576178,-0.5455379331334138,-0.5817307341156915,-0.6198242213773631,-191461.96613344812,476,220,-0.48734099014539545,-0.5326022331441483
A,OPEN,0.001,47,0.09740463954501552,-0.17781592527853585,46.808510638297875,278.8633419462154,1.1247209731951517,1.0198850409251536,-4.763462853394223,-3.3512547465518545,-3893.7611644079516,4,28,4,35,1613.7466580540001,0.3963427207790509,-0.1020930999653885,-0.4248663404986086,-0.6970426772020843,-7090.804841669798,18,17,0.4605093060007646,-0.08327063533851822
A,OPEN,0.002,47,-0.10257110456745443,-0.37726142573883537,44.680851063829785,-3357.554478107996,0.8846024612099234,0.7895211465627018,-4.953747141413013,-3.54435989060667,-4978.122468840007,4,28,4,35,1612.7744781080003,0.3963427207790509,-0.30166988189044874,-0.6237963616493059,-0.8954259747608736,-10202.006993340003,19,13,0.2598104210193766,-0.28288020518342355
