year,node,rule,bad_rate,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
2022,2,prev_vol20 <= 3.18282378 AND prev_vol20 <= 2.00998139,0.04950495049504951,303,-0.2962050400773132,-0.2878542463113707,20.462046204620464,-11692.11078869956,0.18907291554057853,0.1915717492271722,-2.5520249325944544,-1.41412553363167,-11803.529421299592,22,17,2,5,7103.235788700001,-0.01469407339799892,-0.3047048954056046,-0.326440726172438,-0.34493236034508756,-12683.875240499568,15,4,-0.2694895189630014,-0.2997852761328841
2022,3,prev_vol20 <= 3.18282378 AND prev_vol20 > 2.00998139,0.16037735849056603,106,-0.2750275854302047,-0.27375794069959736,34.90566037735849,-4158.663506499838,0.38349341480136595,0.3894828359335034,-2.037492647965486,-1.769510039138856,-4325.640940999849,6,12,2,7,2644.3985064999997,-0.001466811836146607,-0.2930239510825944,-0.3538820152408182,-0.4211182068993047,-5170.522843699842,17,7,-0.19782902033724406,-0.2767696931019018
2022,4,prev_vol20 > 3.18282378,0.36363636363636365,55,-0.5574252383482918,-0.6304640150438122,34.54545454545455,-5536.605292099911,0.4079661255764673,0.356304385835776,-5.966708952003329,-4.7615295912512146,-5536.605292099908,5,5,1,3,1454.7202921000003,-0.2900687988953358,-0.6302581319238991,-0.8581416516947082,-1.077384170645955,-7302.688896799923,20,8,-0.22739282178919004,-0.5248519014453079
2023,2,prev_vol20 <= 3.18282378 AND prev_market20 <= -5.10536671,0.2033898305084746,59,-0.3155413931908117,-0.30130244937667,33.89830508474576,-1771.7578820999277,0.3063010022848843,0.3261567229106073,-2.072140893672229,-1.734920045927578,-1970.522000599933,5,13,3,9,1220.8578820999999,-0.013726799553909302,-0.3596591998954874,-0.4535280481929778,-0.5341999911437824,-2395.4585894499305,12,2,-0.1929163821458491,-0.3324705518375258
2023,3,prev_vol20 <= 3.18282378 AND prev_market20 > -5.10536671,0.06925675675675676,592,-0.31419736996553616,-0.29247805031560314,22.635135135135133,-22423.211224349205,0.21703793478923308,0.22517127571117332,-5.261079058846291,-1.6562555640248362,-22645.150113049218,22,33,3,5,13364.70622435,-0.026267076995346764,-0.3185712255307346,-0.33091424748126674,-0.3441655287539225,-23581.66976294921,41,14,-0.29315990891472277,-0.30983966801520346
2023,4,prev_vol20 > 3.18282378,0.36363636363636365,55,-0.5574252383482918,-0.6304640150438122,34.54545454545455,-5536.605292099911,0.4079661255764673,0.356304385835776,-5.966708952003329,-4.7615295912512146,-5536.605292099908,5,5,1,3,1454.7202921000003,-0.2900687988953358,-0.6302581319238991,-0.8581416516947082,-1.077384170645955,-7302.688896799923,20,8,-0.22739282178919004,-0.5248519014453079
2024,2,prev_vol20 <= 3.40510952 AND prev_vol20 <= 1.97213262,0.06172839506172839,567,-0.31014380849325135,-0.2929525935996336,22.045855379188712,-19893.86677374928,0.20759945451124004,0.20473052405952574,-5.261079058846291,-1.5891421995791022,-20032.453877549273,22,33,4,7,12321.16177375,-0.016906347599487923,-0.3147036937892937,-0.3286084597417973,-0.3419042982332471,-20973.58608634929,35,10,-0.2880728019276007,-0.30650508014816547
2024,3,prev_vol20 <= 3.40510952 AND prev_vol20 > 1.97213262,0.1693121693121693,189,-0.29480998662131824,-0.2609454407038096,34.92063492063492,-7991.724392849709,0.41774300136606274,0.43784195893663125,-10.213887194477932,-2.9535070463318283,-8240.981945749718,10,19,4,14,4299.88939285,-0.0367039486783162,-0.31558630024591466,-0.35951589796849487,-0.40482328040923676,-9793.576166849718,32,13,-0.18995678688363327,-0.25354126559420354
2024,5,prev_vol20 > 3.40510952 AND prev_intraday <= 0.18589817,0.2608695652173913,92,-0.2898965463544968,-0.40593094203856506,35.869565217391305,-5757.1800210998235,0.6364565638672355,0.585820488628037,-5.966708952003329,-4.9341117647822905,-5757.1800210998235,7,12,2,8,2515.4150211,-0.03691465894266046,-0.3774148034509944,-0.5556168683630154,-0.6980873888860617,-9363.170415149829,24,17,-0.022987625755198457,-0.2886354722398889
2024,6,prev_vol20 > 3.40510952 AND prev_intraday > 0.18589817,0.4827586206896552,87,-0.7212563020567935,-0.9656692008355124,27.586206896551722,-12881.857432949857,0.3318651794289271,0.2966181060454976,-4.755861337887951,-3.743111599771299,-12917.288380799857,9,13,2,9,2400.6124329499994,-0.4716622861560208,-0.7898166532743878,-0.9601289792752029,-1.1142998076793735,-15740.030933449865,42,14,-0.5369968326839579,-0.7794158221001314
2025,2,prev_vol20 <= 2.7901628 AND prev_r5 <= -4.78578353,0.2777777777777778,54,-0.5821532369243635,-0.46264732998325186,18.51851851851852,-4833.37170259991,0.14754561660628868,0.12036200839233738,-4.537453228723166,-2.9011163647954668,-4833.371702599909,19,22,5,21,1135.6867026,-0.31925303424653917,-0.6146254209055756,-0.723153531437954,-0.8381220211766235,-5296.918872499916,15,1,-0.402323187813865,-0.5389110102141706
2025,3,prev_vol20 <= 2.7901628 AND prev_r5 > -4.78578353,0.07111111111111111,675,-0.30135851838069233,-0.2923993693820229,24.0,-24622.107012999106,0.2513169572890296,0.27153951555380895,-5.261079058846291,-1.7712105064598405,-24773.142939899106,20,44,5,11,14871.917013,-0.01594904493750873,-0.3088920812715495,-0.3244677571753279,-0.3373392935004111,-27079.57543314912,48,16,-0.27807250160426017,-0.30118041124113787
2025,5,prev_vol20 > 2.7901628 AND today_gap <= 0.669313788,0.2818181818181818,330,-0.27729671882758844,-0.34426102278654935,35.15151515151515,-19691.365238199316,0.6420116706882685,0.6208226712040962,-10.213887194477932,-4.595000919188435,-20127.24849309931,9,28,4,8,7913.8402381999995,-0.050182751686714835,-0.30146559897425823,-0.36839205669680103,-0.4268663177007729,-25369.66861274932,93,66,-0.17627405008058425,-0.2672142734048314
