mode,date,exit_date,entry_bar_close,daily_entry_close,exit_minute_high,daily_high,exit_minute_low,daily_low
1000_S0,2023-05-08,2023-05-09,14.68,14.68,15.23,15.23,14.4,14.4
1000_S0,2023-05-10,2023-05-11,14.6,14.6,14.8,14.8,14.35,14.35
1000_S0,2023-05-11,2023-05-12,14.46,14.46,14.79,14.79,14.22,14.22
1000_S0,2023-05-12,2023-05-15,14.36,14.36,15.38,15.38,14.16,14.16
1000_S0,2023-05-15,2023-05-16,15.12,15.12,15.46,15.46,14.51,14.51
1000_S0,2023-05-16,2023-05-17,14.78,14.78,15.85,15.85,14.82,14.82
1000_S0,2023-05-17,2023-05-18,15.55,15.55,16.99,16.99,15.72,15.72
1000_S0,2023-05-24,2023-05-25,14.82,14.82,16.3,16.3,15.66,15.66
1000_S0,2023-08-14,2023-08-15,21.4,21.4,22.21,22.23,21.22,21.21
1000_S0,2023-09-20,2023-09-21,18.4,18.4,18.74,18.75,18.24,18.22
1000_S0,2023-09-22,2023-09-25,19.94,19.94,20.0,20.04,19.23,19.23
1000_S0,2023-10-25,2023-10-26,13.54,13.54,14.02,14.02,13.25,13.24
1000_S0,2023-10-26,2023-10-27,13.83,13.83,14.18,14.19,13.67,13.66
1000_S0,2023-10-27,2023-10-30,14.07,14.07,14.76,14.76,13.93,13.93
1000_S0,2023-10-30,2023-10-31,14.6,14.6,15.08,15.08,14.54,14.53
1000_S0,2023-10-31,2023-11-01,14.72,14.72,14.94,14.95,14.49,14.49
1000_S0,2023-11-01,2023-11-02,14.53,14.53,14.98,14.99,14.59,14.58
1000_S0,2023-11-02,2023-11-03,14.6,14.6,14.9,14.92,14.61,14.59
1000_S0,2023-11-03,2023-11-06,14.75,14.75,15.06,15.06,14.78,14.78
1000_S0,2023-11-06,2023-11-07,14.97,14.97,15.61,15.62,14.84,14.84
1000_S0,2023-11-07,2023-11-08,15.39,15.39,15.5,15.5,15.18,15.17
1000_S0,2023-11-08,2023-11-09,15.3,15.3,15.72,15.74,15.42,15.41
1000_S0,2023-11-09,2023-11-10,15.59,15.59,15.79,15.79,15.35,15.33
1000_S0,2023-11-10,2023-11-13,15.41,15.41,16.75,16.75,15.65,15.65
1000_S0,2024-01-09,2024-01-10,13.19,13.19,13.22,13.22,12.83,12.83
1000_S0,2024-01-18,2024-01-19,13.71,13.71,14.46,14.47,13.8,13.72
1000_S0,2024-04-11,2024-04-12,21.25,21.25,22.91,22.92,21.73,21.71
1000_S0,2024-04-23,2024-04-24,20.59,20.59,22.59,22.59,20.94,20.92
1000_S0,2024-07-31,2024-08-01,23.84,23.84,24.71,24.78,23.97,23.96
1000_S0,2024-08-05,2024-08-06,20.42,20.42,21.2,21.23,20.51,20.5
1000_S0,2024-08-06,2024-08-07,20.81,20.81,20.8,20.81,20.31,20.31
1000_S0,2024-08-07,2024-08-08,20.4,20.4,20.59,20.59,19.77,19.75
1000_S0,2024-08-08,2024-08-09,20.48,20.48,21.32,21.32,20.61,20.61
1000_S0,2024-08-09,2024-08-12,20.79,20.79,20.89,20.92,20.47,20.47
1000_S0,2024-08-12,2024-08-13,20.64,20.64,21.04,21.05,20.46,20.45
1000_S0,2024-08-13,2024-08-14,20.78,20.78,21.88,21.9,21.05,21.03
1000_S0,2024-08-14,2024-08-15,21.38,21.38,20.89,20.9,20.31,20.3
1000_S0,2024-08-15,2024-08-16,20.66,20.66,21.46,21.46,20.98,20.98
1000_S0,2024-08-16,2024-08-19,21.06,21.06,21.14,21.14,20.73,20.73
1000_S0,2024-08-30,2024-09-02,20.47,20.47,20.37,20.37,19.45,19.45
1000_S0,2024-12-10,2024-12-11,22.14,22.14,22.48,22.48,22.03,22.03
1000_S0,2025-04-09,2025-04-10,16.33,16.33,17.96,17.96,17.53,17.5
1000_S0,2025-04-17,2025-04-18,17.4,17.4,17.65,17.65,17.36,17.35
1000_S0,2025-04-18,2025-04-21,17.56,17.56,17.85,17.85,17.41,17.39
1000_S0,2025-11-25,2025-11-26,56.61,56.61,61.0,61.1,55.03,55.02
1000_S0,2025-11-26,2025-11-27,58.93,58.93,63.4,63.45,60.0,59.91
1000_S0,2025-11-27,2025-11-28,60.27,60.27,60.74,60.76,59.03,59.02
1000_S0,2025-11-28,2025-12-01,60.72,60.72,60.09,60.21,58.11,58.0
1000_S0,2025-12-02,2025-12-03,60.96,60.96,62.77,62.77,61.0,61.0
