gap,mode,events,min_leave_one_mean,min_leave_one_cash,all_leave_one_mean_positive
3,1000_S0,17,0.9962760296085044,11135.805833955148,True
3,1000_S2,17,0.9714616166218263,9657.459948669142,True
3,1000_S2_WORSTBAR,17,0.8971086354979053,8298.95770758515,True
3,OPEN,17,0.3248993976571705,2910.1648672471774,True
5,1000_S0,15,0.8600277461708147,10657.075959946167,True
5,1000_S2,15,0.8319359578840092,9657.459948669142,True
5,1000_S2_WORSTBAR,15,0.7477627717059856,8298.95770758515,True
5,OPEN,15,0.3442904289878732,2993.285229797174,True
10,1000_S0,11,0.8600277461708147,10657.075959946167,True
10,1000_S2,11,0.8319359578840092,9497.65199931614,True
10,1000_S2_WORSTBAR,11,0.7477627717059856,8139.149758232147,True
10,OPEN,11,0.3442904289878732,2835.726198531129,True
