gap,mode,window,variant,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5,ranking,removed_events
3,1000_S0,all,all_signals,61,1.138858215530514,0.3800977456945471,55.73770491803278,14222.15580939618,2.9007915648166573,2.007990950109833,-4.552052626129442,-3.516213853669689,-3977.8185803669567,3,14,4,16,1727.0241906040003,1.3511244420342858,0.9962760296085044,0.543723854673698,0.05357466949905329,893.4973200951508,12,25,1.5401042790160413,0.9259612615541968,,
3,1000_S0,all,first_buyable_signal,17,1.9726847252219424,0.3905942641939864,58.82352941176471,5296.102426354037,4.982054011044964,3.549769577671798,-3.4192229093350863,-3.4192229093350863,-856.3176215279946,2,12,4,17,441.22257364600006,2.1901485203302875,1.4901156848701205,-0.0729683825643654,-1.2030991412886674,-567.8702689459741,3,8,3.4560966879663133,1.008842762292907,,
3,1000_S0,recent2024,all_signals,37,0.9011407209179928,0.1324906357525098,54.054054054054056,8622.223729496134,2.1471834129830203,1.6639113008485173,-4.552052626129442,-3.985637767732264,-3977.8185803669576,2,9,3,12,1219.6062705040003,1.0953806777456656,0.6570264467390584,-0.014489327214580072,-0.7113848976134853,-4677.7053569088985,10,15,1.566177973484459,0.6041418520989031,,
3,1000_S0,recent2024,first_buyable_signal,12,1.6341819082006321,-0.02436078600877005,50.0,3021.2093239540277,3.824497491551994,2.6098650418660165,-3.4192229093350863,-3.4192229093350863,-856.3176215279941,2,8,3,12,320.195676046,1.8376702958866566,0.901902573367996,-0.9771003325712163,-2.5422814966894984,-1818.2310912459868,2,5,3.7715948077697945,-0.02436078600877005,,
3,1000_S0,all,remove_best_event,54,1.1813088153804818,0.2914413468005073,55.55555555555556,11135.805833955148,3.2442511713595192,2.202902497930159,-3.4192229093350863,-3.0200081471097158,-3977.8185803669567,3,14,4,15,1398.1591660450001,1.3976650477494108,1.0206959747112252,0.508974696473382,0.0004954230451194535,1688.861069841128,10,22,1.5733967057764249,0.8692164245385116,cash,17
3,1000_S0,all,remove_worst_event,60,1.2148262342782739,0.38534600494426674,56.666666666666664,14922.598660196178,3.200181371192042,2.112882182615619,-4.552052626129442,-3.5485441684478904,-3977.8185803669567,3,14,4,15,1706.7213398040005,1.4273803590904994,1.0711149946753449,0.6157774322011303,0.12303062107573613,1593.9401708951495,11,25,1.607841357615316,0.9881891876641626,cash,11
3,1000_S0,all,remove_both_events,53,1.2681113007524738,0.3800977456945471,56.60377358490566,11836.248684755146,3.687878480223572,2.3832234749653,-2.930168469135868,-2.6087455253127203,-3977.8185803669567,3,14,4,14,1377.856315245,1.4848706256567308,1.106079030173654,0.5908121465943917,0.08002375635628706,2389.3039206411277,9,22,1.648871291794996,0.9370908396002208,cash,"17,11"
3,1000_S0,all,remove_best_event,54,1.0236159244056349,0.2914413468005073,55.55555555555556,12094.912917346166,2.6378172986222785,1.8834439658530961,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,14,4,16,1549.0220826540003,1.2277781834343455,0.8600277461708148,0.3317029516789798,-0.18983211651133972,-1233.7455719548602,11,21,1.4704234366416578,0.7506575706774309,sum_net,1
3,1000_S0,all,remove_worst_event,60,1.2148262342782739,0.38534600494426674,56.666666666666664,14922.598660196178,3.200181371192042,2.112882182615619,-4.552052626129442,-3.5485441684478904,-3977.8185803669567,3,14,4,15,1706.7213398040005,1.4273803590904994,1.0711149946753449,0.6157774322011303,0.12303062107573613,1593.9401708951495,11,25,1.607841357615316,0.9881891876641626,sum_net,11
3,1000_S0,all,remove_both_events,53,1.1074430722120636,0.3800977456945471,56.60377358490566,12795.355768146168,2.9351878637047863,1.9850009237050066,-4.552052626129442,-3.5485441684478904,-3977.8185803669567,3,14,4,15,1528.7192318540003,1.3117783488074186,0.9423210280074665,0.4098472404501061,-0.11473000505032234,-533.3027211548606,10,21,1.5465871549871946,0.8189387942732804,sum_net,"1,11"
3,1000_S2,all,all_signals,61,1.1144505961993554,0.3800977456945471,54.09836065573771,14192.149562025188,2.792108962768823,2.0078963954807514,-3.084037157135793,-2.491569929226187,-3698.139202010956,3,14,4,16,1727.045437975,1.3266713228807487,0.9714616166218261,0.5171369836165428,0.024381242455902452,863.4910727241559,14,25,1.4309500201608842,0.8061056047720636,,
3,1000_S2,all,first_buyable_signal,17,1.8213094954670908,0.3905942641939864,52.94117647058824,3927.683362162032,3.8426914484590253,2.1596157436236183,-2.4712443687321075,-2.4712443687321075,-2282.645803987992,4,12,4,17,440.326637838,2.0384923018850767,1.3292795032555904,-0.28741662471707236,-1.5342815230825746,-1936.2893331379778,4,8,3.4134461374296525,0.935727532801489,,
3,1000_S2,recent2024,all_signals,37,0.8808243354788478,0.1324906357525098,51.35135135135135,8692.116507625142,2.0968459575568517,1.6759734775835629,-3.084037157135793,-2.7776407629339506,-3698.139202010955,3,9,3,12,1219.6784923750001,1.0750269525796465,0.6361457172599372,-0.037980147878591386,-0.7392258702523136,-4607.8125787798945,12,15,1.3966523691060324,0.40322261728002756,,
3,1000_S2,recent2024,first_buyable_signal,12,1.481163542543953,-0.2420870310989684,41.66666666666667,1752.6892852620226,3.048653854188623,1.5678103648405346,-2.4712443687321075,-2.4712443687321075,-2282.645803987992,4,8,3,12,319.350714738,1.6843700228578609,0.7349734471970735,-1.2394175308398088,-2.3331413557116285,-3086.751129937992,3,5,3.709387309172595,-0.2420870310989684,,
3,1000_S2,all,remove_best_event,54,1.1074543055818415,0.2914413468005073,53.70370370370371,9657.459948669142,2.85095646852956,1.9044819166914169,-2.4712443687321075,-2.2940808532563177,-3698.139202010956,3,14,4,15,1397.245051331,1.3236761730818485,0.9454479835956291,0.4275840122054925,-0.09014420261684833,210.5151845551236,12,22,1.449731236557245,0.7314980610898796,cash,17
3,1000_S2,all,remove_worst_event,53,1.3060956148626517,0.3905942641939864,56.60377358490566,14974.731197709138,3.5410716367366506,2.9550986249101987,-3.084037157135793,-2.4983451160575463,-2331.573078626985,3,12,4,15,1346.1938022909999,1.5233334989093235,1.1447938118628742,0.6296299153740417,0.1018409625118547,4009.8823413181126,9,23,1.6889616347085379,0.9783564375870525,cash,15
