gap,mode,event,start,end,sum_net,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
3,1000_S0,1,2023-05-08,2023-05-17,14.19509122945708,7,2.0278701756367257,2.584448469288516,57.14285714285714,2127.2428920500115,6.0718998607339785,6.079756647573369,-2.049383423114986,-2.049383423114986,-310.12727634999874,2,1,1,1,178.00210795,2.302652722662395,1.3729629543247122,-1.3326111002829204,,-399.25377159999823,1,4,5.881448861603451,
3,1000_S0,2,2023-05-24,2023-05-24,9.693789370851096,1,9.693789370851096,9.693789370851096,100.0,1437.8369574000003,,,9.693789370851096,9.693789370851096,0.0,0,1,1,1,26.6030426,9.986504723346831,,,,,0,1,,
3,1000_S0,3,2023-08-14,2023-08-14,2.735426656425199,1,2.735426656425199,2.735426656425199,100.0,585.8166232000025,,,2.735426656425199,2.735426656425199,0.0,0,1,1,1,32.4633768,2.9906542056074903,,,,,0,1,,
3,1000_S0,4,2023-09-20,2023-09-22,-0.26193308192529546,2,-0.13096654096264773,-0.13096654096264773,50.0,-58.28740989999493,0.5985868125174111,0.5523685217641128,-0.6525273461192819,-0.6525273461192819,-130.2129379499968,1,1,1,1,39.937409900000006,0.07323601238498623,-0.6525273461192819,,,,0,0,,
3,1000_S0,5,2023-10-25,2023-11-10,9.765770298587555,13,0.7512130998913503,0.2027849479064676,53.84615384615385,1507.323017150024,3.4218203578294304,3.628676942036798,-1.4788013303933605,-1.4788013303933605,-321.33302379999617,2,2,1,1,230.41198285000002,0.9728696827031326,0.23271796332260583,-0.39618626979014543,-1.0570344245504508,-447.40613344998485,1,4,1.7217896520642064,0.27968558653497766
3,1000_S0,6,2024-01-09,2024-01-09,-1.6653400840439108,1,-1.6653400840439108,-1.6653400840439108,0.0,-219.85365094999932,0.0,0.0,-1.6653400840439108,-1.6653400840439108,-219.85365094999932,1,1,1,1,16.75865095,-1.4404852160727732,,,,,1,0,,
3,1000_S0,7,2024-01-18,2024-01-18,4.289014148753826,1,4.289014148753826,4.289014148753826,100.0,588.5381856000014,,,4.289014148753826,4.289014148753826,0.0,0,1,1,1,17.4418144,4.522246535375629,,,,,0,1,,
3,1000_S0,8,2024-04-11,2024-04-11,6.236866783277787,1,6.236866783277787,6.236866783277787,100.0,1326.3219618500025,,,6.236866783277787,6.236866783277787,0.0,0,1,1,1,21.743038150000004,6.447058823529406,,,,,0,1,,
3,1000_S0,9,2024-04-23,2024-04-23,4.5023360253030695,1,4.5023360253030695,4.5023360253030695,100.0,927.7288948500028,,,4.5023360253030695,4.5023360253030695,0.0,0,1,1,1,21.19610515,4.711024769305472,,,,,0,1,,
3,1000_S0,10,2024-07-31,2024-08-16,7.636205823181005,11,0.6942005293800914,0.3800977456945471,63.63636363636363,1620.9068281000332,2.3981576652401784,2.4202749258080076,-2.1854350439441013,-2.1854350439441013,-502.2048045999927,2,2,1,1,231.02317190000002,0.8950484830399165,0.3272492207234343,-0.8248385977937489,-2.1854350439441013,-1034.8281487499833,2,5,2.1608891926063407,0.3800977456945471
3,1000_S0,11,2024-08-30,2024-08-30,-3.4192229093350863,1,-3.4192229093350863,-3.4192229093350863,0.0,-700.4428507999994,0.0,0.0,-3.4192229093350863,-3.4192229093350863,-700.4428507999994,1,1,1,1,20.3028508,-3.2242305813385497,,,,,1,0,,
3,1000_S0,12,2024-12-10,2024-12-10,-0.3322621595516016,1,-0.3322621595516016,-0.3322621595516016,0.0,-73.61697265000001,0.0,0.0,-0.3322621595516016,-0.3322621595516016,-73.61697265000001,1,1,1,1,21.49197265,-0.1355013550135564,,,,,0,0,,
3,1000_S0,13,2025-04-09,2025-04-09,9.689254591359632,1,9.689254591359632,9.689254591359632,100.0,1583.546695600004,,,9.689254591359632,9.689254591359632,0.0,0,1,1,1,19.3133044,9.920391916717698,,,,,0,1,,
3,1000_S0,14,2025-04-17,2025-04-18,-0.41751353143842357,2,-0.20875676571921178,-0.20875676571921178,0.0,-73.1304599999955,0.0,0.0,-0.2656016287920884,-0.2656016287920884,-73.1304599999955,2,1,1,1,38.170460000000006,0.00026182808368635166,-0.2656016287920884,,,,0,0,,
3,1000_S0,15,2025-11-25,2025-12-05,0.8748873835285186,8,0.10936092294106482,-0.5581146391307337,50.0,396.0671731020509,1.1008070697334755,1.0747093144643598,-2.930168469135868,-2.930168469135868,-3892.335457544967,2,2,1,1,381.612826898,0.28881723048573565,-0.7689947193738556,-2.4864700064154395,,-4552.236091520979,4,2,3.150175560345435,
3,1000_S0,16,2026-07-03,2026-07-06,0.2683054861155727,2,0.13415274305778635,0.13415274305778635,50.0,159.80794935300264,1.2778814684666808,1.2555698791686691,-0.9655393272392456,-0.9655393272392456,-625.3004065769965,1,1,1,1,101.68705064699998,0.3136534924853607,-0.9655393272392456,,,,0,1,,
3,1000_S0,17,2026-07-20,2026-07-30,5.679675116815344,7,0.8113821595450491,0.7868595444341261,57.14285714285714,3086.3499754410323,1.6991160720571306,1.6361035622745972,-4.552052626129442,-4.552052626129442,-3779.9127165419945,1,1,1,1,328.86502455900006,0.9920969122318927,-0.12134850812440205,-3.857732018103902,,-4620.944255606995,2,3,5.810946675524685,
3,1000_S2,1,2023-05-08,2023-05-17,14.19509122945708,7,2.0278701756367257,2.584448469288516,57.14285714285714,2127.2428920500115,6.0718998607339785,6.079756647573369,-2.049383423114986,-2.049383423114986,-310.12727634999874,2,1,1,1,178.00210795,2.302652722662395,1.3729629543247122,-1.3326111002829204,,-399.25377159999823,1,4,5.881448861603451,
3,1000_S2,2,2023-05-24,2023-05-24,9.693789370851096,1,9.693789370851096,9.693789370851096,100.0,1437.8369574000003,,,9.693789370851096,9.693789370851096,0.0,0,1,1,1,26.6030426,9.986504723346831,,,,,0,1,,
3,1000_S2,3,2023-08-14,2023-08-14,2.735426656425199,1,2.735426656425199,2.735426656425199,100.0,585.8166232000025,,,2.735426656425199,2.735426656425199,0.0,0,1,1,1,32.4633768,2.9906542056074903,,,,,0,1,,
3,1000_S2,4,2023-09-20,2023-09-22,-0.26193308192529546,2,-0.13096654096264773,-0.13096654096264773,50.0,-58.28740989999493,0.5985868125174111,0.5523685217641128,-0.6525273461192819,-0.6525273461192819,-130.2129379499968,1,1,1,1,39.937409900000006,0.07323601238498623,-0.6525273461192819,,,,0,0,,
3,1000_S2,5,2023-10-25,2023-11-10,9.02861178063522,13,0.6945085985104016,0.2027849479064676,53.84615384615385,1407.423991650025,2.892962344131835,3.0902933203543728,-2.2159598483456966,-2.2159598483456966,-421.2320492999951,2,2,1,1,230.36100835000002,0.9160579567628988,0.1712880868265778,-0.48833108453418744,-1.302753930534563,-547.3051589499838,1,4,1.7217896520642064,0.27968558653497766
3,1000_S2,6,2024-01-09,2024-01-09,-2.195038342691149,1,-2.195038342691149,-2.195038342691149,0.0,-289.7829687999995,0.0,0.0,-2.195038342691149,-2.195038342691149,-289.7829687999995,1,1,1,1,16.722968799999997,-1.9711902956785377,,,,,1,0,,
3,1000_S2,7,2024-01-18,2024-01-18,4.289014148753826,1,4.289014148753826,4.289014148753826,100.0,588.5381856000014,,,4.289014148753826,4.289014148753826,0.0,0,1,1,1,17.4418144,4.522246535375629,,,,,0,1,,
