date,exit_date,mode,price5m,price1m,clock5m,clock1m,reason5m,reason1m,net5m,net1m,delta_net,cash5m,cash1m
2026-07-03,2026-07-06,1000_S0,64.21,64.20999908447266,10:00,10:00,deadline,deadline,-0.9655393272392456,-0.965540739305223,-1.4120659773686484e-06,-625.3004065769965,-625.3013210559875
2026-07-06,2026-07-07,1000_S0,64.49,64.48999786376953,10:00,10:00,deadline,deadline,1.2338448133548183,1.2338414599849397,-3.3533698786669675e-06,785.1083559299991,785.1062221456821
2026-07-20,2026-07-21,1000_S0,56.37,56.369998931884766,10:00,10:00,deadline,deadline,-0.408616275811131,-0.40861816289777997,-1.887086648943992e-06,-231.01721495099767,-231.01828184315985
2026-07-21,2026-07-22,1000_S0,61.57,61.56999969482422,10:00,10:00,deadline,deadline,0.7868595444341261,0.7868590448773779,-4.995567481902441e-07,480.1366653930058,480.13636056667065
2026-07-22,2026-07-23,1000_S0,63.99,63.9900016784668,10:00,10:00,deadline,deadline,5.214127185487612,5.214129945269119,2.759781506433967e-06,3167.5398559560085,3167.5415325008266
2026-07-23,2026-07-24,1000_S0,61.0,61.0,10:00,10:00,deadline,deadline,-3.163411410078361,-3.1634114100783615,-4.440892098500626e-16,-1990.4370386759952,-1990.4370386759952
2026-07-24,2026-07-27,1000_S0,61.2,61.20000076293945,10:00,10:00,deadline,deadline,1.3950025333507834,1.3950037973744376,1.264023654190538e-06,841.0315390650014,841.0323011308285
2026-07-29,2026-07-30,1000_S0,55.22,55.220001220703125,10:00,10:00,deadline,deadline,-4.552052626129442,-4.552050516140168,2.109989273968438e-06,-2630.5072169310006,-2630.5059976256744
2026-07-30,2026-07-31,1000_S0,57.35,57.34999847412109,10:00,10:00,deadline,deadline,6.407766165561756,6.407763334430682,-2.831131073577353e-06,3449.60338558501,3449.6018614533414
2026-07-03,2026-07-06,1000_S2,64.21,64.20999908447266,10:00,10:00,deadline,deadline,-0.9655393272392456,-0.965540739305223,-1.4120659773686484e-06,-625.3004065769965,-625.3013210559875
2026-07-06,2026-07-07,1000_S2,64.49,64.48999786376953,10:00,10:00,deadline,deadline,1.2338448133548183,1.2338414599849397,-3.3533698786669675e-06,785.1083559299991,785.1062221456821
2026-07-20,2026-07-21,1000_S2,56.37,56.369998931884766,10:00,10:00,deadline,deadline,-0.408616275811131,-0.40861816289777997,-1.887086648943992e-06,-231.01721495099767,-231.01828184315985
2026-07-21,2026-07-22,1000_S2,61.57,61.56999969482422,10:00,10:00,deadline,deadline,0.7868595444341261,0.7868590448773779,-4.995567481902441e-07,480.1366653930058,480.13636056667065
2026-07-22,2026-07-23,1000_S2,63.99,63.9900016784668,10:00,10:00,deadline,deadline,5.214127185487612,5.214129945269119,2.759781506433967e-06,3167.5398559560085,3167.5415325008266
2026-07-23,2026-07-24,1000_S2,61.05,61.05,09:30,09:30,opening_gap_stop,opening_gap_stop,-3.084037157135793,-3.084037157135793,0.0,-1940.494292540989,-1940.4942925409891
2026-07-24,2026-07-27,1000_S2,61.2,61.20000076293945,10:00,10:00,deadline,deadline,1.3950025333507834,1.3950037973744376,1.264023654190538e-06,841.0315390650014,841.0323011308285
2026-07-29,2026-07-30,1000_S2,56.62,56.62,09:40,09:38,intrabar_stop,intrabar_stop,-2.13214812914612,-2.13214812914612,0.0,-1232.1103251509976,-1232.1103251509976
2026-07-30,2026-07-31,1000_S2,57.35,57.34999847412109,10:00,10:00,deadline,deadline,6.407766165561756,6.407763334430682,-2.831131073577353e-06,3449.60338558501,3449.6018614533414
2026-07-03,2026-07-06,1000_S2_WORSTBAR,64.21,64.20999908447266,10:00,10:00,deadline,deadline,-0.9655393272392456,-0.965540739305223,-1.4120659773686484e-06,-625.3004065769965,-625.3013210559875
2026-07-06,2026-07-07,1000_S2_WORSTBAR,64.49,64.48999786376953,10:00,10:00,deadline,deadline,1.2338448133548183,1.2338414599849397,-3.3533698786669675e-06,785.1083559299991,785.1062221456821
2026-07-20,2026-07-21,1000_S2_WORSTBAR,56.37,56.369998931884766,10:00,10:00,deadline,deadline,-0.408616275811131,-0.40861816289777997,-1.887086648943992e-06,-231.01721495099767,-231.01828184315985
2026-07-21,2026-07-22,1000_S2_WORSTBAR,61.57,61.56999969482422,10:00,10:00,deadline,deadline,0.7868595444341261,0.7868590448773779,-4.995567481902441e-07,480.1366653930058,480.13636056667065
2026-07-22,2026-07-23,1000_S2_WORSTBAR,63.99,63.9900016784668,10:00,10:00,deadline,deadline,5.214127185487612,5.214129945269119,2.759781506433967e-06,3167.5398559560085,3167.5415325008266
2026-07-23,2026-07-24,1000_S2_WORSTBAR,61.05,61.05,09:30,09:30,opening_gap_stop,opening_gap_stop,-3.084037157135793,-3.084037157135793,0.0,-1940.494292540989,-1940.4942925409891
2026-07-24,2026-07-27,1000_S2_WORSTBAR,61.2,61.20000076293945,10:00,10:00,deadline,deadline,1.3950025333507834,1.3950037973744376,1.264023654190538e-06,841.0315390650014,841.0323011308285
2026-07-29,2026-07-30,1000_S2_WORSTBAR,56.23,56.29999923706055,09:40,09:38,intrabar_stop,intrabar_stop,-2.806264381877188,-2.6852704757713206,0.12099390610586758,-1621.663745003998,-1551.7446624808285
2026-07-30,2026-07-31,1000_S2_WORSTBAR,57.35,57.34999847412109,10:00,10:00,deadline,deadline,6.407766165561756,6.407763334430682,-2.831131073577353e-06,3449.60338558501,3449.6018614533414
