date,actual_exit,entry_covered,exit_covered
2023-05-08,2023-05-09,False,False
2023-05-10,2023-05-11,False,False
2023-05-11,2023-05-12,False,False
2023-05-12,2023-05-15,False,False
2023-05-15,2023-05-16,False,False
2023-05-16,2023-05-17,False,False
2023-05-17,2023-05-18,False,False
2023-05-24,2023-05-25,False,False
2023-08-14,2023-08-15,False,False
2023-09-20,2023-09-21,False,False
2023-09-22,2023-09-25,False,False
2023-10-25,2023-10-26,False,False
2023-10-26,2023-10-27,False,False
2023-10-27,2023-10-30,False,False
2023-10-30,2023-10-31,False,False
2023-10-31,2023-11-01,False,False
2023-11-01,2023-11-02,False,False
2023-11-02,2023-11-03,False,False
2023-11-03,2023-11-06,False,False
2023-11-06,2023-11-07,False,False
2023-11-07,2023-11-08,False,False
2023-11-08,2023-11-09,False,False
2023-11-09,2023-11-10,False,False
2023-11-10,2023-11-13,False,False
2024-01-09,2024-01-10,False,False
2024-01-18,2024-01-19,False,False
2024-04-11,2024-04-12,False,False
2024-04-23,2024-04-24,False,False
2024-07-31,2024-08-01,False,False
2024-08-05,2024-08-06,False,False
2024-08-06,2024-08-07,False,False
2024-08-07,2024-08-08,False,False
2024-08-08,2024-08-09,False,False
2024-08-09,2024-08-12,False,False
2024-08-12,2024-08-13,False,False
2024-08-13,2024-08-14,False,False
2024-08-14,2024-08-15,False,False
2024-08-15,2024-08-16,False,False
2024-08-16,2024-08-19,False,False
2024-08-30,2024-09-02,False,False
2024-12-10,2024-12-11,False,False
2025-04-09,2025-04-10,False,False
2025-04-17,2025-04-18,False,False
2025-04-18,2025-04-21,False,False
2025-11-25,2025-11-26,False,False
2025-11-26,2025-11-27,False,False
2025-11-27,2025-11-28,False,False
2025-11-28,2025-12-01,False,False
2025-12-02,2025-12-03,False,False
2025-12-03,2025-12-04,False,False
2025-12-04,2025-12-05,False,False
2025-12-05,2025-12-08,False,False
2026-07-03,2026-07-06,True,True
2026-07-06,2026-07-07,True,True
2026-07-20,2026-07-21,True,True
2026-07-21,2026-07-22,True,True
2026-07-22,2026-07-23,True,True
2026-07-23,2026-07-24,True,True
2026-07-24,2026-07-27,True,True
2026-07-29,2026-07-30,True,True
2026-07-30,2026-07-31,True,True
