date,grid_ok,ohlc_ok,high_1m,high_daily,high_5m,low_1m,low_daily,low_5m,close_1m,close_daily
2026-04-30,True,True,66.19999694824219,66.2,66.18,62.709999084472656,62.71,62.73,62.880001068115234,62.88
2026-05-06,True,True,63.880001068115234,63.88,63.88,61.7400016784668,61.74,61.76,63.08000183105469,63.08
2026-05-07,True,True,64.58999633789062,64.59,64.58,63.0,63.0,63.01,64.18000030517578,64.18
2026-05-08,True,True,64.19999694824219,64.2,64.18,62.77000045776367,62.77,62.81,63.27999877929688,63.28
2026-05-11,True,True,65.87000274658203,65.87,65.87,63.0,63.0,63.01,65.8499984741211,65.85
2026-05-12,True,True,65.9000015258789,65.9,65.87,63.22999954223633,63.23,63.25,64.4000015258789,64.4
2026-05-13,True,True,70.83999633789062,70.84,70.84,63.86000061035156,63.86,63.9,70.83999633789062,70.84
2026-05-14,True,True,74.0,74.0,74.0,67.27999877929688,67.28,67.3,68.5999984741211,68.6
2026-05-15,True,True,71.76000213623047,71.76,71.7,67.37000274658203,67.37,67.39,67.62000274658203,67.62
2026-05-18,True,True,70.2300033569336,70.23,70.21,64.94999694824219,64.95,64.95,68.9800033569336,68.98
2026-05-19,True,True,69.04000091552734,69.04,68.98,66.4000015258789,66.4,66.41,68.55999755859375,68.56
2026-05-20,True,True,68.48999786376953,68.49,68.48,66.5,66.5,66.5,68.1500015258789,68.15
2026-05-21,True,True,69.5,69.5,69.45,65.0,65.0,65.04,65.5,65.5
2026-05-22,True,True,67.66000366210938,67.66,67.66,64.5,64.5,64.51,67.16000366210938,67.16
2026-05-25,True,True,70.5,70.5,70.5,67.30000305175781,67.3,67.37,70.30000305175781,70.3
2026-05-26,True,True,70.80000305175781,70.8,70.72,68.0,68.0,68.0,69.9800033569336,69.98
2026-05-27,True,True,73.73999786376953,73.74,73.73,69.69000244140625,69.69,69.7,70.08000183105469,70.08
2026-05-28,True,True,76.27999877929688,76.28,76.27,68.88999938964844,68.89,68.9,75.0,75.0
2026-05-29,True,True,79.62999725341797,79.63,79.18,73.0999984741211,73.1,73.4,73.4000015258789,73.4
2026-06-01,True,True,76.5,76.5,76.49,72.19000244140625,72.19,72.2,73.75,73.75
2026-06-02,True,True,81.11000061035156,81.11,81.11,73.8499984741211,73.85,73.86,80.01000213623047,80.01
