date,purpose
2023-05-08,buy
2023-05-09,sell
2023-05-10,buy
2023-05-11,"buy,sell"
2023-05-12,"buy,sell"
2023-05-15,"buy,sell"
2023-05-16,"buy,sell"
2023-05-17,"buy,sell"
2023-05-18,sell
2023-05-24,buy
2023-05-25,sell
2023-08-14,buy
2023-08-15,sell
2023-09-20,buy
2023-09-21,sell
2023-09-22,buy
2023-09-25,sell
2023-10-25,buy
2023-10-26,"buy,sell"
2023-10-27,"buy,sell"
2023-10-30,"buy,sell"
2023-10-31,"buy,sell"
2023-11-01,"buy,sell"
2023-11-02,"buy,sell"
2023-11-03,"buy,sell"
2023-11-06,"buy,sell"
2023-11-07,"buy,sell"
2023-11-08,"buy,sell"
2023-11-09,"buy,sell"
2023-11-10,"buy,sell"
2023-11-13,sell
2024-01-09,buy
2024-01-10,sell
2024-01-18,buy
2024-01-19,sell
2024-04-11,buy
2024-04-12,sell
2024-04-23,buy
2024-04-24,sell
2024-07-31,buy
2024-08-01,sell
2024-08-05,buy
2024-08-06,"buy,sell"
2024-08-07,"buy,sell"
2024-08-08,"buy,sell"
2024-08-09,"buy,sell"
2024-08-12,"buy,sell"
2024-08-13,"buy,sell"
2024-08-14,"buy,sell"
2024-08-15,"buy,sell"
2024-08-16,"buy,sell"
2024-08-19,sell
2024-08-30,buy
2024-09-02,sell
2024-12-10,buy
2024-12-11,sell
2025-04-09,buy
2025-04-10,sell
2025-04-17,buy
2025-04-18,"buy,sell"
2025-04-21,sell
2025-11-25,buy
2025-11-26,"buy,sell"
2025-11-27,"buy,sell"
2025-11-28,"buy,sell"
2025-12-01,sell
2025-12-02,buy
2025-12-03,"buy,sell"
2025-12-04,"buy,sell"
2025-12-05,"buy,sell"
2025-12-08,sell
2026-07-03,buy
2026-07-06,"buy,sell"
2026-07-07,sell
2026-07-20,buy
2026-07-21,"buy,sell"
2026-07-22,"buy,sell"
2026-07-23,"buy,sell"
2026-07-24,"buy,sell"
2026-07-27,sell
2026-07-29,buy
2026-07-30,"buy,sell"
2026-07-31,sell
