date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,5514.0,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23844.0,23844.0,23894.0,23844.0,23844.0,23894.0,0.0,0.0
2020-01-03,5514.0,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24004.0,24004.0,23734.0,24004.0,24004.0,23734.0,0.0,0.0
2020-01-06,23381.801129,0,0,0,0.0,23.248871,0.0,0.0,0,1000,0,23524.0,23524.0,23381.801129,23524.0,23524.0,23414.0,-32.19887100000051,0.0
2020-01-07,5447.482549799999,0,1000,1000,0.0,5.3585792,0.0,0.0,1000,0,0,23381.801129,23367.4825498,23307.4825498,23434.0,23434.0,23374.0,-66.5174502000009,0.0
2020-01-08,5447.482549799999,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23067.4825498,23067.4825498,22967.4825498,23134.0,23134.0,23034.0,-66.5174502000009,0.0
2020-01-09,5447.482549799999,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23097.4825498,23097.4825498,23747.4825498,23164.0,23164.0,23814.0,-66.5174502000009,0.0
2020-01-10,5447.482549799999,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23857.4825498,23857.4825498,23477.4825498,23924.0,23924.0,23544.0,-66.5174502000009,0.0
2020-01-13,24024.204840899998,0,0,0,0.0,23.9727089,0.0,0.0,0,1000,0,23467.4825498,23467.4825498,24024.204840899998,23534.0,23534.0,24124.0,-99.79515910000191,0.0
2020-01-14,5359.5066543999965,0,1000,1000,0.0,5.3731865,0.0,0.0,1000,0,0,24024.204840899998,24009.506654399996,23749.506654399996,24164.0,24164.0,23904.0,-154.49334560000352,0.0
2020-01-15,5359.5066543999965,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23709.506654399996,23709.506654399996,24059.506654399996,23864.0,23864.0,24214.0,-154.49334560000352,0.0
2020-01-16,23736.532843499997,0,0,0,0.0,23.768810900000002,0.0,0.0,0,1000,0,24009.506654399996,24009.506654399996,23736.532843499997,24164.0,24164.0,23924.0,-187.4671565000026,0.0
2020-01-17,5311.959459400001,0,1000,1000,0.0,5.3683841,0.0,0.0,1000,0,0,23736.532843499997,23721.9594594,24301.9594594,23924.0,23924.0,24504.0,-202.04054059999908,0.0
2020-01-20,5311.959459400001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24191.9594594,24191.9594594,24651.9594594,24394.0,24394.0,24854.0,-202.04054059999908,0.0
2020-01-21,5311.959459400001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24511.9594594,24511.9594594,24401.9594594,24714.0,24714.0,24604.0,-202.04054059999908,0.0
2020-01-22,5311.959459400001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24211.9594594,24211.9594594,26161.9594594,24414.0,24414.0,26364.0,-202.04054059999908,0.0
2020-01-23,5311.959459400001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25811.9594594,25811.9594594,25311.9594594,26014.0,26014.0,25514.0,-202.04054059999908,0.0
2020-02-03,5311.959459400001,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23311.9594594,23311.9594594,23311.9594594,23514.0,23514.0,23514.0,-202.04054059999908,0.0
2020-02-04,23299.578249600003,0,0,0,0.0,23.371209800000003,0.0,0.0,0,1000,0,22411.9594594,22411.9594594,23299.578249600003,22614.0,22614.0,23534.0,-234.4217503999971,0.0
2020-02-05,5125.134868000005,0,1000,1000,0.0,5.3633816,0.0,0.0,1000,0,0,23299.578249600003,23285.134868000005,23815.134868000005,23674.0,23674.0,24204.0,-388.86513199999536,0.0
2020-02-06,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23665.134868000005,23665.134868000005,24045.134868000005,24054.0,24054.0,24434.0,-388.86513199999536,0.0
2020-02-07,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25025.134868000005,25025.134868000005,24425.134868000005,25414.0,25414.0,24814.0,-388.86513199999536,0.0
2020-02-10,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24025.134868000005,24025.134868000005,24035.134868000005,24414.0,24414.0,24424.0,-388.86513199999536,0.0
2020-02-11,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23935.134868000005,23935.134868000005,24355.134868000005,24324.0,24324.0,24744.0,-388.86513199999536,0.0
2020-02-12,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24205.134868000005,24205.134868000005,24275.134868000005,24594.0,24594.0,24664.0,-388.86513199999536,0.0
2020-02-13,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24235.134868000005,24235.134868000005,23545.134868000005,24624.0,24624.0,23934.0,-388.86513199999536,0.0
2020-02-14,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23385.134868000005,23385.134868000005,23475.134868000005,23774.0,23774.0,23864.0,-388.86513199999536,0.0
2020-02-17,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23565.134868000005,23565.134868000005,24315.134868000005,23954.0,23954.0,24704.0,-388.86513199999536,0.0
2020-02-18,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24325.134868000005,24325.134868000005,23975.134868000005,24714.0,24714.0,24364.0,-388.86513199999536,0.0
2020-02-19,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23775.134868000005,23775.134868000005,23615.134868000005,24164.0,24164.0,24004.0,-388.86513199999536,0.0
2020-02-20,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23715.134868000005,23715.134868000005,23935.134868000005,24104.0,24104.0,24324.0,-388.86513199999536,0.0
2020-02-21,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23795.134868000005,23795.134868000005,24725.134868000005,24184.0,24184.0,25114.0,-388.86513199999536,0.0
2020-02-24,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24875.134868000005,24875.134868000005,25265.134868000005,25264.0,25264.0,25654.0,-388.86513199999536,0.0
2020-02-25,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24775.134868000005,24775.134868000005,25085.134868000005,25164.0,25164.0,25474.0,-388.86513199999536,0.0
2020-02-26,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24675.134868000005,24675.134868000005,23835.134868000005,25064.0,25064.0,24224.0,-388.86513199999536,0.0
2020-02-27,5125.134868000005,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23765.134868000005,23765.134868000005,24025.134868000005,24154.0,24154.0,24414.0,-388.86513199999536,0.0
2020-02-28,22174.181978800003,0,0,0,0.0,22.4128892,0.0,0.0,0,1000,0,23205.134868000005,23205.134868000005,22174.181978800003,23594.0,23594.0,22594.0,-419.818021199997,0.0
2020-03-02,4860.185805800003,0,1000,1000,0.0,5.346173,0.0,0.0,1000,0,0,22174.181978800003,22160.185805800003,22300.185805800003,22814.0,22814.0,22954.0,-653.8141941999966,0.0
2020-03-03,4860.185805800003,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22690.185805800003,22690.185805800003,22300.185805800003,23344.0,23344.0,22954.0,-653.8141941999966,0.0
2020-03-04,4860.185805800003,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22090.185805800003,22090.185805800003,21620.185805800003,22744.0,22744.0,22274.0,-653.8141941999966,0.0
2020-03-05,4860.185805800003,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21960.185805800003,21960.185805800003,22020.185805800003,22614.0,22614.0,22674.0,-653.8141941999966,0.0
2020-03-06,4860.185805800003,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21690.185805800003,21690.185805800003,21850.185805800003,22344.0,22344.0,22504.0,-653.8141941999966,0.0
2020-03-09,21010.600457600005,0,0,0,0.0,21.495348200000002,0.0,0.0,0,1000,0,21540.185805800003,21540.185805800003,21010.600457600005,22194.0,22194.0,21694.0,-683.399542399995,0.0
2020-03-10,5017.290697800005,0,1000,1000,0.0,5.3197598,0.0,0.0,1000,0,0,21010.600457600005,20997.290697800003,21607.290697800003,21494.0,21494.0,22104.0,-496.7093021999972,0.0
2020-03-11,21527.1583332,0,0,0,0.0,21.8623646,0.0,0.0,0,1000,0,21687.290697800003,21687.290697800003,21527.1583332,22184.0,22184.0,22054.0,-526.8416667999991,0.0
2020-03-12,5263.708170700002,0,1000,1000,0.0,5.3251625,0.0,0.0,1000,0,0,21527.1583332,21513.708170700003,21363.708170700003,21764.0,21764.0,21614.0,-250.2918292999966,0.0
2020-03-13,20884.928152200002,0,0,0,0.0,20.9550185,0.0,0.0,0,1000,0,20443.708170700003,20443.708170700003,20884.928152200002,20694.0,20694.0,21164.0,-279.07184779999807,0.0
2020-03-16,5191.774395400003,0,1000,1000,0.0,5.3137568,0.0,0.0,1000,0,0,20884.928152200002,20871.774395400003,19491.774395400003,21194.0,21194.0,19814.0,-322.2256045999966,0.0
2020-03-17,5191.774395400003,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19581.774395400003,19581.774395400003,19101.774395400003,19904.0,19904.0,19424.0,-322.2256045999966,0.0
2020-03-18,5191.774395400003,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19241.774395400003,19241.774395400003,18751.774395400003,19564.0,19564.0,19074.0,-322.2256045999966,0.0
2020-03-19,18676.246085500003,0,0,0,0.0,18.7733099,0.0,0.0,0,1000,0,18741.774395400003,18741.774395400003,18676.246085500003,19064.0,19064.0,19024.0,-347.75391449999734,0.0
