date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,1838.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20168.0,20168.0,20218.0,20168.0,20168.0,20218.0,0.0,0.0
2020-01-03,1838.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20328.0,20328.0,20058.0,20328.0,20328.0,20058.0,0.0,0.0
2020-01-06,1838.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19848.0,19848.0,19738.0,19848.0,19848.0,19738.0,0.0,0.0
2020-01-07,1838.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19758.0,19758.0,19698.0,19758.0,19758.0,19698.0,0.0,0.0
2020-01-08,1838.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19458.0,19458.0,19358.0,19458.0,19458.0,19358.0,0.0,0.0
2020-01-09,20105.193333000003,0.0,0,0,0.0,23.656667000000002,0.0,0.0,0,1000,0,19488.0,19488.0,20105.193333000003,19488.0,19488.0,20138.0,-32.806666999997105,0.0
2020-01-10,1680.6199489000064,0.0,1000,1000,0.0,5.3683841,0.0,0.0,1000,0,0,20105.193333000003,20090.619948900006,19710.619948900006,20248.0,20248.0,19868.0,-157.38005109999358,0.0
2020-01-13,20257.342240000005,0.0,0,0,0.0,23.9727089,0.0,0.0,0,1000,0,19700.619948900006,19700.619948900006,20257.342240000005,19858.0,19858.0,20448.0,-190.6577599999946,0.0
2020-01-14,1592.6440535000038,0.0,1000,1000,0.0,5.3731865,0.0,0.0,1000,0,0,20257.342240000005,20242.644053500004,19982.644053500004,20488.0,20488.0,20228.0,-245.3559464999962,0.0
2020-01-15,1592.6440535000038,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19942.644053500004,19942.644053500004,20292.644053500004,20188.0,20188.0,20538.0,-245.3559464999962,0.0
2020-01-16,1592.6440535000038,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20242.644053500004,20242.644053500004,20002.644053500004,20488.0,20488.0,20248.0,-245.3559464999962,0.0
2020-01-17,20548.788938400005,0.0,0,0,0.0,24.3601151,0.0,0.0,0,1000,0,20002.644053500004,20002.644053500004,20548.788938400005,20248.0,20248.0,20828.0,-279.21106159999545,0.0
2020-01-20,1653.9711496000054,0.0,1000,1000,0.0,5.3777888,0.0,0.0,1000,0,0,20548.788938400005,20533.971149600005,20993.971149600005,20718.0,20718.0,21178.0,-184.02885039999455,0.0
2020-01-21,1653.9711496000054,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20853.971149600005,20853.971149600005,20743.971149600005,21038.0,21038.0,20928.0,-184.02885039999455,0.0
2020-01-22,22467.289783100005,0.0,0,0,0.0,26.256366500000002,0.0,0.0,0,1000,0,20553.971149600005,20553.971149600005,22467.289783100005,20738.0,20738.0,22688.0,-220.71021689999543,0.0
2020-01-23,1951.6295781000044,0.0,1000,1000,0.0,5.410205,0.0,0.0,1000,0,0,22467.289783100005,22451.629578100004,21951.629578100004,22338.0,22338.0,21838.0,113.62957810000444,0.0
2020-02-03,1951.6295781000044,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19951.629578100004,19951.629578100004,19951.629578100004,19838.0,19838.0,19838.0,113.62957810000444,0.0
2020-02-04,1951.6295781000044,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19051.629578100004,19051.629578100004,19971.629578100004,18938.0,18938.0,19858.0,113.62957810000444,0.0
2020-02-05,1951.6295781000044,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20111.629578100004,20111.629578100004,20641.629578100004,19998.0,19998.0,20528.0,113.62957810000444,0.0
2020-02-06,1951.6295781000044,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20491.629578100004,20491.629578100004,20871.629578100004,20378.0,20378.0,20758.0,113.62957810000444,0.0
2020-02-07,1951.6295781000044,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21851.629578100004,21851.629578100004,21251.629578100004,21738.0,21738.0,21138.0,113.62957810000444,0.0
