id,year,increment_cash,sales,buys,end_missing,tax,fees
S0,2020,-4652.618715599803,121,121,0,0.0,3087.0787156000006
S0,2021,-1426.4185481198892,71,77,100,0.0,1728.0325481200002
S0,2022,-453.92859492496063,28,31,100,45.0,556.1080949250002
S0,2023,-649.0,0,0,100,0.0,0.0
S0,2024,-926.4240451149926,5,6,100,0.0,89.272545115
S0,2025,-5573.936114544998,1,2,100,0.0,23.501614545
S0,2026,-242.40000000000873,0,0,100,0.0,0.0
S1_F1,2020,354.5260582000699,51,50,1000,0.0,1309.4439418000002
S1_F1,2021,-1731.5132969999322,46,47,0,50.0,1076.5832970000001
S1_F1,2022,-1216.300845999951,42,42,0,100.0,843.7608460000001
S1_F1,2023,-1347.72457019996,29,29,0,110.0,715.1045702
S1_F1,2024,3080.541969150083,37,37,0,116.0,802.8930308500001
S1_F1,2025,10487.23557818113,46,46,0,128.0,1464.3944218190002
S1_F1,2026,1644.6423651142268,35,35,0,196.0,1757.747634886
S1_F2,2020,-1000.1702660999326,46,46,0,40.0,1168.7652661000002
S1_F2,2021,-1363.105506699931,46,46,0,50.0,1063.0905067
S1_F2,2022,-1093.421329049957,45,45,0,0.0,892.6563290500001
S1_F2,2023,-3709.4070230349625,24,26,100,110.0,615.0335230350001
S1_F2,2024,-771.3620913549821,7,10,100,52.2,142.206591355
S1_F2,2025,-5712.17997497499,1,2,100,0.0,23.502474975
S1_F2,2026,-242.400000000016,0,0,100,0.0,0.0
S1_F3,2020,1876.749620000024,22,22,0,0.0,579.17038
S1_F3,2021,-575.3891763999852,11,11,0,25.0,263.0691764
S1_F3,2022,-344.58209049999266,6,6,0,100.0,117.92709050000002
S1_F3,2023,-4910.54618164993,42,41,1000,110.0,1097.05118165
S1_F3,2024,-2991.8038092498937,38,39,0,58.0,833.33880925
S1_F3,2025,-4982.208967489965,16,16,100,0.0,333.79996749
S1_F3,2026,-242.400000000016,0,0,100,0.0,0.0
S1_F4,2020,-1852.0572881999399,25,25,0,20.0,638.2072882
S1_F4,2021,150.2135260000216,11,11,0,50.0,257.84647400000006
S1_F4,2022,-336.1069105499919,8,8,0,50.0,159.30191055
S1_F4,2023,-3206.2754877499247,36,36,0,110.0,893.24048775
S1_F4,2024,-1173.3287253499075,34,34,0,116.0,732.45372535
S1_F4,2025,-7123.48978964999,9,9,100,0.0,184.62478965
S1_F4,2026,-242.39999999999964,0,0,100,0.0,0.0
S1_F5,2020,2109.40331910002,14,14,0,0.0,375.4716809
S1_F5,2021,-1087.3372662999536,25,25,0,50.0,585.0022663
S1_F5,2022,226.68994560002466,22,22,0,100.0,439.92005439999997
S1_F5,2023,-1027.4888003499727,24,24,0,55.0,554.60380035
S1_F5,2024,-4682.097077199916,27,27,0,116.0,562.2170772
S1_F5,2025,566.2230569310232,17,17,0,128.0,444.64194306900004
S1_F5,2026,479.3633093170356,10,10,0,98.0,500.31169068300005
S1_F6,2020,-3047.398691299913,61,61,0,20.0,1520.8536913
S1_F6,2021,-1962.420632799906,59,59,0,50.0,1376.2006328000002
S1_F6,2022,-1517.1804106349482,48,50,100,100.0,978.3469106350001
S1_F6,2023,-649.0,0,0,100,0.0,0.0
S1_F6,2024,-834.8651397149697,15,18,100,0.0,328.793639715
S1_F6,2025,-4168.261309749994,1,2,100,52.2,24.12630975
S1_F6,2026,-242.40000000001055,0,0,100,0.0,0.0
S1_F7,2020,-2339.509812099881,72,72,0,0.0,1846.3448121000001
S1_F7,2021,-2415.871016099896,71,71,0,0.0,1650.9060161000002
S1_F7,2022,-1804.4366051899342,58,59,100,100.0,1180.18260519
S1_F7,2023,-649.0,0,0,100,0.0,0.0
S1_F7,2024,-847.8531228249994,1,2,100,0.0,21.710622825
S1_F7,2025,-3784.316537974977,14,17,100,0.0,295.339037975
S1_F7,2026,-242.40000000000146,0,0,100,0.0,0.0
S1_F8,2020,303.4437358000728,51,50,1000,40.0,1294.6462642000001
S1_F8,2021,-1739.853451299925,51,51,1000,50.0,1182.3084513
