id,subset,n,nominal_cash,nominal_mean
S0,actually_sold,226,-8683.55252279966,-0.27706291640528463
S0,not_sold,1397,-23551.056720318327,-0.1387468373682266
S1_F1,actually_sold,286,11971.407257445766,-0.042607606274594104
S1_F1,not_sold,55,-8435.916355692845,-0.6369873594587163
S1_F2,actually_sold,169,-10001.384876299771,-0.4003803194975799
S1_F2,not_sold,206,-4779.846337423331,-0.03305430012988579
S1_F3,actually_sold,135,-7486.293436199744,-0.3718321965253641
S1_F3,not_sold,160,6753.656405253638,-0.04457423280853905
S1_F4,actually_sold,123,-8659.35758444974,-0.39738069306572754
S1_F4,not_sold,114,9640.44696139839,0.3125265035790591
S1_F5,actually_sold,139,-2868.2435129017226,-0.23072960493696285
S1_F5,not_sold,53,-3376.668786122893,-0.3385363525311951
S1_F6,actually_sold,184,-7858.534896049721,-0.3116703964765967
S1_F6,not_sold,419,-12481.89167996086,-0.1497358284765212
S1_F7,actually_sold,216,-6639.0817209996985,-0.24699225092672933
S1_F7,not_sold,548,3291.941247182745,-0.07801303527282025
S1_F8,actually_sold,338,-2012.062750007166,-0.0940622078310443
S1_F8,not_sold,4,-1844.7042636499918,-1.7929622415335582
S2_F1,actually_sold,180,-8692.185018999691,-0.31775617656828753
S2_F1,not_sold,130,-2146.9416535525133,-0.12624452721872897
S2_F2,actually_sold,337,1692.747056691881,-0.10499715296212331
S2_F2,not_sold,74,8052.684356906147,0.3693623323133333
S2_F3,actually_sold,179,-10863.728570669453,-0.20047292645093062
S2_F3,not_sold,115,-1386.2204226046283,-0.22986618802632927
S2_F4,actually_sold,151,-3960.696212786595,-0.24131126105426945
S2_F4,not_sold,93,5329.491766214291,0.27221622633775533
S2_F5,actually_sold,141,-1241.19598247671,-0.06311838940144024
S2_F5,not_sold,49,645.8138613470887,-0.040865816124979984
S2_F6,actually_sold,318,-7301.548234849454,-0.19647990019003694
S2_F6,not_sold,281,-931.2353561621849,-0.16464660856947588
S2_F7,actually_sold,0,0.0,
S2_F7,not_sold,0,0.0,
