id,window,universe,hit,nonhit,unknown,ci_low,ci_high,increment,inc_low,inc_high,bootstrap_valid
S0,full,2006,2006,0,0,,,,,,
S0,main2020,1623,1623,0,0,-0.22515501107744043,-0.08337594505362628,0.0,0.0,0.0,2000.0
S0,early2020_2023,970,970,0,0,-0.278346908139798,-0.1310546018987362,0.0,0.0,0.0,2000.0
S0,recent2024,653,653,0,0,-0.22562709189444521,0.04130199993962565,0.0,0.0,0.0,2000.0
S0,2018,139,139,0,0,,,,,,
S0,2019,244,244,0,0,,,,,,
S0,2020,243,243,0,0,,,,,,
S0,2021,243,243,0,0,,,,,,
S0,2022,242,242,0,0,,,,,,
S0,2023,242,242,0,0,,,,,,
S0,2024,242,242,0,0,,,,,,
S0,2025,243,243,0,0,,,,,,
S0,2026,168,168,0,0,,,,,,
S1_F1,full,2006,414,1586,6,,,,,,
S1_F1,main2020,1623,341,1279,3,-0.32382078206952963,0.04763351259876433,0.02208266518229668,-0.13054436298150127,0.17462376725747678,2000.0
S1_F1,early2020_2023,970,200,768,2,-0.3729172956656529,-0.06593752312157453,-0.01802019608241387,-0.15932043168706644,0.11765994699800143,2000.0
S1_F1,recent2024,653,141,511,1,-0.38554789362668584,0.35325359018499386,0.07582465899093423,-0.22665904570974277,0.3863060174792836,2000.0
S1_F1,2018,139,28,108,3,,,,,,
S1_F1,2019,244,45,199,0,,,,,,
S1_F1,2020,243,59,183,1,,,,,,
S1_F1,2021,243,54,189,0,,,,,,
S1_F1,2022,242,52,190,0,,,,,,
S1_F1,2023,242,35,206,1,,,,,,
S1_F1,2024,242,42,200,0,,,,,,
S1_F1,2025,243,57,185,1,,,,,,
S1_F1,2026,168,42,126,0,,,,,,
S1_F2,full,2006,473,1527,6,,,,,,
S1_F2,main2020,1623,375,1245,3,-0.35017560572963796,-0.03817481952444871,-0.03803791927489786,-0.16624778138098933,0.08862028852585238,2000.0
S1_F2,early2020_2023,970,214,754,2,-0.44105378081538904,-0.012795199907255705,-0.03675250542026767,-0.20118202144865094,0.15043212427551378,2000.0
S1_F2,recent2024,653,161,491,1,-0.40211829537185273,0.06306117071689653,-0.04712170968443831,-0.26644720463670235,0.15339723286132034,2000.0
S1_F2,2018,139,48,88,3,,,,,,
S1_F2,2019,244,50,194,0,,,,,,
S1_F2,2020,243,52,190,1,,,,,,
S1_F2,2021,243,53,190,0,,,,,,
S1_F2,2022,242,52,190,0,,,,,,
S1_F2,2023,242,57,184,1,,,,,,
S1_F2,2024,242,59,183,0,,,,,,
S1_F2,2025,243,57,185,1,,,,,,
S1_F2,2026,168,45,123,0,,,,,,
S1_F3,full,2006,356,1646,4,,,,,,
S1_F3,main2020,1623,295,1328,0,-0.4314841000544298,0.05531024972934708,-0.036329234785267506,-0.23958948928691223,0.17939967979915947,2000.0
S1_F3,early2020_2023,970,122,848,0,-0.4358355653771058,0.1298277544594628,0.023940517789492882,-0.20851166102228907,0.30450969772409525,2000.0
S1_F3,recent2024,653,173,480,0,-0.5663683458477232,0.14214094826610119,-0.11886655078186247,-0.40508489795990593,0.16005569640224923,2000.0
S1_F3,2018,139,11,124,4,,,,,,
S1_F3,2019,244,50,194,0,,,,,,
S1_F3,2020,243,31,212,0,,,,,,
S1_F3,2021,243,16,227,0,,,,,,
S1_F3,2022,242,8,234,0,,,,,,
S1_F3,2023,242,67,175,0,,,,,,
S1_F3,2024,242,59,183,0,,,,,,
S1_F3,2025,243,71,172,0,,,,,,
S1_F3,2026,168,43,125,0,,,,,,
S1_F4,full,2006,303,1699,4,,,,,,
S1_F4,main2020,1623,237,1386,0,-0.31109431405584176,0.20288704429319246,0.10210077169978804,-0.12984524149494875,0.3395827859830892,2000.0
S1_F4,early2020_2023,970,114,856,0,-0.5335182520894494,0.3540743928860268,0.06897683211848255,-0.31066626304819006,0.5190209779142442,2000.0
S1_F4,recent2024,653,123,530,0,-0.29008808713928536,0.26991193793605534,0.10413783919672957,-0.16454292002305684,0.33748588504090027,2000.0
S1_F4,2018,139,28,107,4,,,,,,
S1_F4,2019,244,38,206,0,,,,,,
S1_F4,2020,243,34,209,0,,,,,,
S1_F4,2021,243,14,229,0,,,,,,
S1_F4,2022,242,11,231,0,,,,,,
S1_F4,2023,242,55,187,0,,,,,,
S1_F4,2024,242,52,190,0,,,,,,
S1_F4,2025,243,40,203,0,,,,,,
S1_F4,2026,168,31,137,0,,,,,,
S1_F5,full,2006,243,1742,21,,,,,,
S1_F5,main2020,1623,192,1431,0,-0.47784625388584423,0.0037900828741798246,-0.10248164220846026,-0.3093028799030262,0.14572615007462858,2000.0
S1_F5,early2020_2023,970,117,853,0,-0.42853513560541834,0.19235166651405564,0.04286069614517152,-0.19844166339440628,0.37407529036696263,2000.0
S1_F5,recent2024,653,75,578,0,-0.791000567146295,0.03660043777940021,-0.32539058666226506,-0.6998363428714601,0.10932966783053645,2000.0
S1_F5,2018,139,8,110,21,,,,,,
S1_F5,2019,244,43,201,0,,,,,,
S1_F5,2020,243,21,222,0,,,,,,
S1_F5,2021,243,33,210,0,,,,,,
S1_F5,2022,242,28,214,0,,,,,,
S1_F5,2023,242,35,207,0,,,,,,
S1_F5,2024,242,36,206,0,,,,,,
S1_F5,2025,243,25,218,0,,,,,,
S1_F5,2026,168,14,154,0,,,,,,
S1_F6,full,2006,776,1209,21,,,,,,
S1_F6,main2020,1623,603,1020,0,-0.28923411013319283,-0.11020897708662292,-0.0411415813016964,-0.13740009994525698,0.051779936181711526,2000.0
S1_F6,early2020_2023,970,371,599,0,-0.3839749283740187,-0.22404396353892775,-0.08823150050145431,-0.18328682877290617,-0.008729849476024025,2000.0
S1_F6,recent2024,653,232,421,0,-0.2313754962495725,0.14379120193590714,0.03999498273029119,-0.14538483819574036,0.23719030735245597,2000.0
S1_F6,2018,139,66,52,21,,,,,,
S1_F6,2019,244,107,137,0,,,,,,
S1_F6,2020,243,103,140,0,,,,,,
S1_F6,2021,243,91,152,0,,,,,,
S1_F6,2022,242,97,145,0,,,,,,
S1_F6,2023,242,80,162,0,,,,,,
S1_F6,2024,242,93,149,0,,,,,,
S1_F6,2025,243,87,156,0,,,,,,
S1_F6,2026,168,52,116,0,,,,,,
S1_F7,full,2006,938,1066,2,,,,,,
S1_F7,main2020,1623,764,859,0,-0.23497302437224574,-0.012641651122201369,0.032219853230024686,-0.049032976231526575,0.11494107857984835,2000.0
S1_F7,early2020_2023,970,433,537,0,-0.31435424879287555,-0.07907082997956412,0.00044332445055217384,-0.10043316845642167,0.10709709150287373,2000.0
S1_F7,recent2024,653,331,322,0,-0.21880189972313935,0.17289384589111823,0.06469147682671632,-0.059855863035573685,0.18929611403866914,2000.0
S1_F7,2018,139,55,82,2,,,,,,
S1_F7,2019,244,119,125,0,,,,,,
S1_F7,2020,243,107,136,0,,,,,,
S1_F7,2021,243,103,140,0,,,,,,
S1_F7,2022,242,109,133,0,,,,,,
S1_F7,2023,242,114,128,0,,,,,,
S1_F7,2024,242,121,121,0,,,,,,
S1_F7,2025,243,126,117,0,,,,,,
