id,group,value,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S0,stage_frozen_tminus1,U,417,7.0,39.0,-0.0871864935343069,-0.12893920003171078,44.84412470023981,1124.871246746309,2.697532965818487,0.8643985158095169,1.0133307174950108,-6.168734283395747,-4348.957669794001,-4.517602971188623,-1982.9724289824214,9.0,12579.068753255,4348.957669793992,230.0
S0,stage_frozen_tminus1,R,450,7.0,67.0,-0.22367575192402422,-0.2602512400284389,36.22222222222222,-19624.985931101044,-43.61107984689121,0.6057065856605152,0.7015071398108004,-8.235700377192982,-3118.429601099998,-3.7591604845950046,-1418.3596047720828,15.0,12112.275931102002,3118.429601100004,285.0
S0,stage_frozen_tminus1,D,445,7.0,46.0,-0.1068021780461911,-0.20391066490165152,37.97752808988764,-5585.4718130040055,-12.551622051694395,0.7935298756747815,0.8941128464965968,-9.83232226178813,-3438.487468817994,-3.2691759507615314,-1144.4110779015596,10.0,10878.041813005,3438.4874688179916,275.0
S0,stage_frozen_tminus1,C,311,7.0,38.0,-0.2312145514817845,-0.20391476897018432,35.69131832797427,-8149.022745759241,-26.202645484756403,0.5761773916874601,0.8096769703320558,-10.200745196903522,-2569.5677150999973,-3.8630538789676905,-1303.3587760319328,21.0,8260.06274576,2569.567715099998,200.0
S0,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S0,description,corporate_action,8,7.0,8.0,-0.7885673015399632,-0.9001278259731988,25.0,-1672.576380447983,-209.07204755599787,0.11537801294329886,0.20717508476320756,-2.044973196814894,-849.1121783069954,-2.044973196814894,-849.1121783069954,4.0,242.266380448,519.1121783069975,3.0
S0,description,non_action,1615,7.0,81.0,-0.15488359907039456,-0.20390559265583358,38.88544891640867,-30562.03286267,-18.923859357690404,0.7269584612389054,0.8745325033600775,-10.200745196903522,-4348.957669794001,-3.9096214639741924,-1497.6229578402417,17.0,43587.182862674,4348.957669793992,987.0
S0,description,long_break,342,7.0,81.0,-0.11393238366382226,-0.20391269379215204,39.76608187134503,-3856.7670136571587,-11.277096531161282,0.8216677918959844,0.9332702120205916,-10.200745196903522,-2569.5677150999973,-4.258376587245038,-1458.3890059171033,12.0,9217.307013657999,2569.567715099998,206.0
S0,description,ordinary_break,1281,7.0,81.0,-0.16977414184073356,-0.2039037768888798,38.56362217017954,-28377.842229460828,-22.152882302467468,0.6914067869525463,0.8489721865112241,-9.83232226178813,-4348.957669794001,-3.7631660604599735,-1471.3588488416565,16.0,34612.142229464,4348.957669793992,784.0
S1_F1,stage_frozen_tminus1,U,104,7.0,32.0,0.12673417081070967,-0.043598009299430286,49.03846153846153,11285.688479457353,108.51623537939761,1.226083361697084,1.5814711613869168,-5.764493305515601,-4265.148596750993,-3.8226151909898007,-1922.8728563153288,9.0,3430.341520543,4265.148596750994,53.0
S1_F1,stage_frozen_tminus1,R,73,7.0,37.0,-0.16987487364052783,-0.2039136102169212,36.986301369863014,804.2923534961665,11.017703472550226,0.6722412013852518,1.1146894634743196,-5.687383954076843,-1213.6877357999983,-3.6677755554079488,-777.3472717749986,8.0,1947.1426465040001,1213.6877357999983,46.0
S1_F1,stage_frozen_tminus1,D,74,7.0,34.0,-0.37006270853519185,-0.2039069919774985,32.432432432432435,-7275.0632489258205,-98.3116655260246,0.30562549152105895,0.24366410703719707,-3.5806604101123516,-1633.135730957996,-3.085087681228177,-1095.0304491469942,9.0,1835.643248926,1633.135730957998,50.0
S1_F1,stage_frozen_tminus1,C,90,7.0,34.0,-0.22905475246349316,-0.20390650143263256,34.44444444444444,-1279.4266822747754,-14.215852025275282,0.6037153941229033,0.895866372389331,-10.200745196903522,-2569.5677150999973,-4.864068242698082,-1260.5023849085949,12.0,2401.051682275,2569.567715099998,59.0
S1_F1,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S1_F1,description,corporate_action,2,2.0,2.0,-1.7157375501157193,-1.7157375501157193,0.0,-891.5926695999949,-445.79633479999745,0.0,0.0,-2.044973196814894,-680.5670798999968,-2.044973196814894,-680.5670798999968,2.0,53.1176696,40.56707989999995,2.0
S1_F1,description,non_action,339,7.0,81.0,-0.1291699264440468,-0.20188999941175273,39.233038348082594,4427.083571352918,13.059243573312441,0.7622263424425201,1.0933289561709953,-10.200745196903522,-4265.148596750993,-4.114681590747893,-1432.4434046511712,15.0,9561.061428648001,4265.148596750994,206.0
S1_F1,description,long_break,67,7.0,47.0,-0.3805366327480016,-0.20392115862450264,37.3134328358209,-3079.2349161458337,-45.95873009172886,0.5507562790797959,0.7460096194846322,-10.200745196903522,-2569.5677150999973,-5.861923489242481,-1621.2826863649955,8.0,1767.559916146,2569.567715099998,42.0
S1_F1,description,ordinary_break,274,7.0,79.0,-0.07928513054980726,-0.1976824432061922,39.416058394160586,6614.725817898753,24.141335101820268,0.8339632915211861,1.1827099492283704,-5.764493305515601,-4265.148596750993,-3.2974325847172525,-1321.8172379531377,14.0,7846.619182102002,4265.148596750994,166.0
S1_F2,stage_frozen_tminus1,U,64,7.0,27.0,-0.4058735050048006,-0.25315754415708236,37.5,-10031.872191552786,-156.74800299301228,0.49286644497105975,0.480544522277269,-5.942149442072131,-3886.711772625,-4.150245997845026,-2451.479754140995,9.0,1930.6971915530003,3886.711772625,40.0
S1_F2,stage_frozen_tminus1,R,128,7.0,53.0,-0.2798034136506186,-0.20290485397272207,35.15625,-4131.796898286729,-32.27966326786507,0.5102591946570777,0.7448325761919883,-8.235700377192982,-1220.5307959,-3.967451218858326,-980.7514484398534,14.0,3458.6018982870005,1220.5307959000002,82.0
S1_F2,stage_frozen_tminus1,D,131,7.0,33.0,0.05487954486396708,-0.13023571281294472,45.80152671755725,5225.221856471288,39.88718974405564,1.104744703286774,1.3695524230601483,-9.83232226178813,-1605.6182253500017,-3.810648082163493,-1064.9292863634246,6.0,3180.038143529,1605.6182253500028,71.0
S1_F2,stage_frozen_tminus1,C,52,7.0,26.0,-0.3821526717584755,-0.33369867503099604,28.846153846153843,-5842.783980354875,-112.3612303914399,0.42027303559875545,0.4639052218515309,-3.8246993288917657,-2509.0027597529984,-3.3220999463110634,-1831.8667609529937,7.0,1381.4589803549998,2509.002759752999,37.0
S1_F2,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S1_F2,description,corporate_action,2,2.0,2.0,0.11828652979811016,0.11828652979811016,50.0,369.50296545900244,184.75148272950122,1.470500539851552,8.430473266894133,-0.5028114519716846,-49.728052599999614,-0.5028114519716846,-49.728052599999614,1.0,64.732034541,0.0,0.0
S1_F2,description,non_action,373,7.0,80.0,-0.20029499432022443,-0.20391066490165152,38.337801608579085,-15150.734179182109,-40.61859029271343,0.6705357075375636,0.7495463460924836,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,10.0,9886.064179183002,3886.711772625,230.0
S1_F2,description,long_break,90,7.0,56.0,0.05594807558579342,-0.19861308537058098,42.22222222222222,1267.6537382712131,14.085041536346813,1.1234667976269888,1.1129989026075005,-2.990825857553666,-1275.1442680589876,-2.1761467164528305,-1045.0977120017947,10.0,2373.4362617290003,1275.1442680589898,52.0
S1_F2,description,ordinary_break,285,7.0,80.0,-0.27897819868269785,-0.20391153772187576,37.19298245614035,-16048.884951994312,-56.311877024541445,0.5736385639262568,0.6746272260898342,-9.83232226178813,-3886.711772625,-4.435808312749216,-1634.5378564550622,17.0,7577.359951995,3886.711772625,178.0
S1_F3,stage_frozen_tminus1,U,151,7.0,30.0,-0.04947788775681028,-0.10401596942629844,46.35761589403973,3012.9907748194696,19.953581290195164,0.9377988770685028,1.0728363850339133,-6.168734283395747,-4348.957669794001,-5.01471926755934,-2582.5596590294967,11.0,5006.569225181001,4348.957669793992,81.0
S1_F3,stage_frozen_tminus1,R,35,6.0,16.0,-0.33991829933003226,-0.07206485950680479,40.0,-1612.6812124719158,-46.07660607062617,0.5720727089797191,0.7225099848837442,-5.687383954076843,-1213.6877357999983,-4.531420512723569,-1020.6749048499973,6.0,970.076212472,1213.6877357999983,21.0
S1_F3,stage_frozen_tminus1,D,21,6.0,15.0,-0.13337804859834007,-0.20777857142856168,47.61904761904761,1977.4708058730653,94.16527647014597,0.8316732388337469,1.6825774727985343,-3.5806604101123516,-637.3575529999986,-3.325696336503163,-533.0158884499987,8.0,570.0641941270001,637.357552999998,11.0
S1_F3,stage_frozen_tminus1,C,88,7.0,28.0,-0.39954526399881585,-0.1914806324642413,42.04545454545455,-4110.417399166721,-46.70928862689456,0.5325799564367864,0.7835226901075119,-10.200745196903522,-2569.5677150999973,-6.443166040845841,-1428.184213106797,6.0,2532.4173991670004,2569.567715099998,51.0
S1_F3,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S1_F3,description,corporate_action,2,2.0,2.0,-1.7157375501157193,-1.7157375501157193,0.0,-891.5926695999949,-445.79633479999745,0.0,0.0,-2.044973196814894,-680.5670798999968,-2.044973196814894,-680.5670798999968,2.0,53.1176696,40.56707989999995,2.0
S1_F3,description,non_action,293,7.0,65.0,-0.1839513606827951,-0.12893920003171078,44.7098976109215,158.9556386538884,0.5425107121293119,0.7719526415092732,1.0023317036904722,-10.200745196903522,-4348.957669794001,-5.464645762454164,-2008.8090134513288,10.0,9026.009361347,4348.957669793992,162.0
S1_F3,description,long_break,80,7.0,49.0,-0.27730424093129175,-0.19717140169501818,43.75,5986.592519568232,74.8324064946029,0.7560873354940028,1.2762346761116656,-10.200745196903522,-2569.5677150999973,-7.201204150993241,-1752.3438845024957,14.0,2412.792480432,2569.567715099998,45.0
