entry,exit,days,sale_cash,final_cash,restored
2020-01-02,2020-01-03,1,18347.071773800002,1680.4567889000027,True
2020-01-06,2020-01-07,1,17867.801129,1613.9393387000018,True
2020-01-08,2020-01-09,1,17488.3785352,1438.1396974000018,True
2020-01-10,2020-01-13,1,17997.6035953,1401.3727125000041,True
2020-01-14,2020-01-15,1,18357.0565789,1393.8871079000055,True
2020-01-16,2020-01-17,1,18377.0261891,1346.33991290001,True
2020-01-20,2020-01-21,1,19305.6130634,1436.9687843000102,True
2020-01-22,2020-01-23,1,20813.3186335,1734.6272128000091,True
2020-02-03,2020-02-04,1,17967.64918,2588.38422180001,True
2020-02-05,2020-02-06,1,18656.600731900002,2690.3439683000106,True
2020-02-07,2020-02-10,1,19265.673843,3041.1896223000113,True
2020-02-11,2020-02-12,1,19195.780207300002,3142.048038800018,True
2020-02-13,2020-02-14,1,18387.0109942,3254.5636504000213,True
2020-02-17,2020-02-18,1,19155.840986900002,3195.420445300024,True
2020-02-19,2020-02-20,1,18456.9046299,3047.6580893000246,True
2020-02-21,2020-02-24,1,19565.217996,2847.605887800022,True
2020-02-25,2020-02-26,1,19924.6709796,3207.1106719000236,True
2020-02-27,2020-02-28,1,18866.281639,3978.9905301000254,True
2020-03-02,2020-03-03,1,17408.500094400002,3543.2188462000304,True
2020-03-04,2020-03-05,1,16729.5333476,3158.8600228000323,True
2020-03-06,2020-03-09,1,16959.183864900002,3424.3701209000355,True
2020-03-10,2020-03-11,1,16559.791660900002,3300.4932151000394,True
2020-03-12,2020-03-13,1,16070.536211000002,4178.135674300043,True
2020-03-16,2020-03-17,1,14273.271293,4048.924023400041,True
2020-03-18,2020-03-19,1,13534.395715600001,4021.2736035000435,True
2020-03-20,2020-03-23,1,13544.3805207,4453.841993200047,True
2020-03-24,2020-03-25,1,12995.216240200001,4037.0900994000513,True
2020-03-26,2020-03-27,1,13264.805977900001,3789.87594230005,True
2020-03-30,2020-03-31,1,12795.5201382,3283.4851476000513,True
2020-04-01,2020-04-02,1,13384.6236391,3316.171853300053,True
2020-04-03,2020-04-07,1,13933.787919600001,2887.4976294000535,True
2020-04-08,2020-04-09,1,14113.5144114,2818.6434991000515,True
2020-04-10,2020-04-13,1,13594.304546200001,2960.959110900052,True
2020-04-14,2020-04-15,1,13784.015843100002,2922.7936159000565,True
2020-04-16,2020-04-17,1,14023.6511655,2714.050239200058,True
2020-04-20,2020-04-21,1,14443.0129797,2844.6270759000618,True
2020-04-22,2020-04-23,1,14033.6359706,2615.8529040000612,True
2020-04-24,2020-04-27,1,13923.803114500002,2527.3758785000628,True
2020-04-28,2020-04-29,1,14183.4080471,2538.420584000063,True
2020-04-30,2020-05-06,1,14662.6786919,2758.5955316000673,True
2020-05-07,2020-05-08,1,14353.1497338,2619.215520600066,True
2020-05-11,2020-05-12,1,14492.937005200001,2649.6383813000703,True
2020-05-13,2020-05-14,1,14153.453631800001,2720.7754724000715,True
2020-05-15,2020-05-18,1,13764.046232900002,2842.7339690000754,True
2020-05-19,2020-05-20,1,13754.061427800001,2794.624458900078,True
2020-05-21,2020-05-22,1,13574.334936000001,2776.897659100079,True
2020-05-25,2020-05-26,1,13095.0642912,2680.1082185000796,True
2020-05-27,2020-05-28,1,13454.5172748,2622.6053583000794,True
2020-05-29,2020-06-01,1,13384.6236391,2535.2296628000804,True
2020-06-02,2020-06-03,1,14133.4840216,2386.29314170008,True
2020-06-04,2020-06-05,1,14133.4840216,2347.413821700082,True
2020-06-08,2020-06-09,1,14233.3320726,2168.257750300083,True
2020-06-10,2020-06-11,1,14253.3016828,2159.149290600082,True
2020-06-12,2020-06-15,1,13784.015843100002,2251.051396900084,True
2020-06-16,2020-06-17,1,14003.681555300001,2272.468412500086,True
2020-06-18,2020-06-19,1,14373.119344,2203.0840122000864,True
2020-06-22,2020-06-23,1,14373.119344,2203.7360126000876,True
2020-06-24,2020-06-29,1,15491.4175152,2192.0985729000895,True
2020-06-30,2020-07-01,1,15081.979726500002,2261.174147400092,True
2020-07-02,2020-07-03,1,15581.2807611,2179.3167520000916,True
2020-07-06,2020-07-07,1,16459.9436099,2125.6801969000953,True
2020-07-08,2020-07-09,1,16370.080364,2102.242797100098,True
2020-07-10,2020-07-13,1,16000.642575300002,2129.5860128001023,True
2020-07-14,2020-07-15,1,16559.791660900002,1845.625905400102,True
2020-07-16,2020-07-17,1,14842.4051837,1595.1893383001043,True
2020-07-20,2020-07-21,1,15261.766997900002,1443.948182200107,True
2020-07-22,2020-07-23,1,15331.660633600002,1592.7202641001077,True
2020-07-24,2020-07-27,1,14133.4840216,1483.804543400107,True
2020-07-28,2020-07-29,1,14183.4080471,1434.8180483001088,True
2020-07-30,2020-07-31,1,14263.2864879,1405.6787934001095,True
2020-08-03,2020-08-04,1,14862.3747939,1355.3054383001108,True
2020-08-05,2020-08-06,1,14582.800251100001,1275.487542900113,True
2020-08-07,2020-08-10,1,14273.271293,1346.3798940001143,True
2020-08-11,2020-08-12,1,14133.4840216,1087.3861718001153,True
2020-08-13,2020-08-14,1,15141.949336700001,1206.5301584001172,True
2020-08-17,2020-08-18,1,15251.782192800001,1145.3561982001193,True
2020-08-19,2020-08-20,1,14822.4355735,1205.1216242001192,True
2020-08-21,2020-08-24,1,14772.511548,1104.905823600122,True
2020-08-25,2020-08-26,1,15062.0708959,1074.1349687001239,True
2020-08-27,2020-08-28,1,14622.739471500001,1124.3030946001254,True
2020-08-31,2020-09-01,1,14712.602717400001,1154.2772653001266,True
2020-09-02,2020-09-03,1,14742.557132700002,1044.1174496001277,True
2020-09-04,2020-09-07,1,14143.4688267,1165.3009362001285,True
2020-09-08,2020-09-09,1,14183.4080471,1276.397642700129,True
2020-09-10,2020-09-11,1,13534.395715600001,1328.7888236001309,True
2020-09-14,2020-09-15,1,13823.955063500001,1310.552148800134,True
2020-09-16,2020-09-17,1,13574.334936000001,1312.835749200136,True
2020-09-18,2020-09-21,1,13794.0006482,1284.6550593001375,True
2020-09-22,2020-09-23,1,13534.395715600001,1176.9630386001409,True
2020-09-24,2020-09-25,1,13204.8971473,1059.9388528001418,True
2020-09-28,2020-09-29,1,13254.8211728,982.8334924001429,True
2020-09-30,2020-10-09,1,13564.3501309,725.0022852001439,True
2020-10-12,2020-10-13,1,13993.696750200002,706.4188954001456,True
2020-10-14,2020-10-15,1,13704.1374023,648.4061602001457,True
2020-10-16,2020-10-19,1,13754.061427800001,490.23944900014794,True
2020-10-20,2020-10-21,1,13823.955063500001,482.0079743001497,True
2020-10-22,2020-10-23,1,13634.2437666,434.14320420015065,True
2020-10-26,2020-10-27,1,13654.2133768,486.28964510015066,True
2020-10-28,2020-10-29,1,13913.818309400001,627.9526169001529,True
2020-10-30,2020-11-02,1,13624.258961500002,840.2434444001556,True
2020-11-03,2020-11-04,1,13354.669223800001,782.9445342001582,True
2020-11-05,2020-11-06,1,13784.015843100002,704.758238800161,True
2020-11-09,2020-11-10,1,14373.119344,715.4154393001627,True
2020-11-11,2020-11-12,1,14512.906615400001,705.7767096001644,True
2020-11-13,2020-11-16,1,14323.1953185,566.4578836001656,True
2020-11-17,2020-11-18,1,14113.5144114,527.6193536001647,True
2020-11-19,2020-11-20,1,14313.2105134,478.3677235001651,True
2020-11-23,2020-11-24,1,14143.4688267,459.47840870016626,True
2020-11-25,2020-11-26,1,14063.5903859,450.75745400016604,True
2020-11-27,2020-11-30,1,13803.985453300002,472.58236960016984,True
2020-12-01,2020-12-02,1,14053.6055808,413.855809400171,True
2020-12-03,2020-12-04,1,13843.924673700001,445.6043451001733,True
2020-12-07,2020-12-08,1,13684.167792100001,267.56999870017535,True
2020-12-09,2020-12-10,1,13794.0006482,289.4153093001769,True
2020-12-11,2020-12-14,1,13444.532469700001,201.9172438001806,True
2020-12-15,2020-12-16,1,13534.395715600001,164.26162380018286,True
2020-12-17,2020-12-18,1,13554.365325800001,76.53921330018602,True
2020-12-21,2020-12-22,1,13624.258961500002,108.7364390001876,True
2020-12-23,2020-12-24,1,13554.365325800001,21.01402850019076,True
2020-12-25,2021-05-25,97,13374.638834000001,44.71904916019321,True
2021-05-26,2021-05-27,1,12535.9152056,39.1185294601928,True
2021-05-28,2021-07-05,25,12326.234298500001,11.937464590193713,True
2021-07-06,2021-07-07,1,12206.4166373,17.015179990194156,True
2021-07-08,2021-07-15,5,12006.7205353,23.50391545019511,True
2021-07-16,2021-07-28,8,11467.5410599,222.07630057019628,True
2021-07-29,2021-07-30,1,10923.300804900002,174.67779587019868,True
2021-08-02,2021-08-03,1,11787.054823100001,100.5705004702013,True
2021-08-04,2021-08-06,2,11886.9028741,6.25145492020124,True
2021-08-09,2021-09-01,17,12006.7205353,3.735510290203365,True
2021-09-02,2022-03-08,120,11727.1459925,17.798945820204835,True
2022-03-09,2022-08-08,102,10379.197304000001,377.5696600752061,True
2022-08-09,2022-08-10,1,9625.37299345,303.0007050752065,True
2022-08-11,2022-08-12,1,9790.191854050001,313.20981027520793,True
2022-08-15,2022-08-16,1,9540.5692278,263.8931901752094,True
2022-08-17,2022-08-18,1,9630.433373250002,264.42031532521105,True
2022-08-19,2022-08-22,1,9500.6296076,325.24057577521125,True
2022-08-23,2022-08-24,1,9420.7503672,316.18669587521254,True
2022-08-25,2022-08-26,1,9290.946601550002,237.35965062521427,True
2022-08-29,2022-08-30,1,9221.0522662,178.68417047521507,True
2022-08-31,2022-09-01,1,9270.97679145,219.95871582521795,True
2022-09-02,2022-09-05,1,9290.946601550002,201.1622708752202,True
2022-09-06,2022-09-07,1,9420.7503672,182.1032909252208,True
2022-09-08,2022-09-09,1,9420.7503672,123.02391077522225,True
2022-09-13,2022-09-14,1,9470.67489245,123.87415592522302,True
2022-09-15,2022-09-16,1,9360.840936900002,134.95164612522422,True
2022-09-19,2022-09-20,1,8871.58058945,76.98299097522613,True
2022-09-21,2022-09-22,1,8731.79191875,99.3378662252253,True
2022-09-23,2022-09-26,1,8671.88248845,161.83431167522758,True
2022-09-27,2022-09-28,1,8631.942868250002,164.38093682522958,True
2022-09-29,2022-09-30,1,8362.350431900002,107.44222667523172,True
2022-10-10,2022-10-11,1,8142.6825208,0.9223062752316764,True
2022-10-12,2022-10-13,1,8292.45609655,34.170861575232266,True
2022-10-14,2022-10-17,1,8422.2598622,7.126281575234316,True
2022-10-18,2022-10-27,7,8482.1692925,2.974811715235319,True
2022-10-28,2022-10-31,1,8262.501381400001,386.4624537652371,True
2022-11-01,2022-11-02,1,8542.0787228,429.2112341152406,True
2022-11-03,2022-11-04,1,8611.97305815,451.80844936524227,True
2022-11-07,2022-11-08,1,8671.88248845,454.27429451524404,True
2022-11-09,2022-11-10,1,8621.9579632,436.8309145652456,True
2022-11-11,2022-11-14,1,8821.6560642,368.95813436524804,True
2022-11-15,2022-11-16,1,9031.33907025,380.7020595652484,True
2022-11-17,2022-11-18,1,8991.399450050001,312.48596436525077,True
2022-11-21,2022-11-22,1,8981.414545,224.27986406525088,True
2022-11-23,2022-11-24,1,9031.33907025,196.00338906525212,True
2022-11-25,2022-11-28,1,9031.33907025,317.80341481525284,True
2022-11-29,2022-11-30,1,9091.24850055,279.40066976525304,True
2022-12-01,2022-12-02,1,9171.12774095,270.85166486525304,True
2022-12-05,2022-12-06,1,9260.991886400001,302.1413051652562,True
2022-12-07,2022-12-08,1,9400.7805571,283.1227152152569,True
2022-12-09,2022-12-12,1,9440.7201773,284.03354536525694,True
2022-12-13,2022-12-14,1,9430.73527225,224.93397021525743,True
2022-12-15,2022-12-16,1,9440.7201773,245.85500046525704,True
2022-12-19,2022-12-20,1,9350.85603185,266.95778571525807,True
2022-12-21,2022-12-22,1,9330.886221750001,118.01426011526019,True
2022-12-23,2022-12-26,1,9161.1428359,49.45484991526246,True
2022-12-27,2022-12-28,1,9191.097551050001,0.8450548152632109,True
2022-12-29,2024-01-08,248,9051.30888035,9.29715755026291,True
2024-01-09,2024-01-10,1,13171.68146345,89.3077556002645,True
2024-01-11,2024-01-12,1,13131.721853250001,209.39954385026613,True
2024-01-15,2024-01-16,1,12702.156043600002,260.109124250268,True
2024-01-17,2024-01-18,1,12662.1964334,230.8386942502675,True
2024-01-19,2025-04-08,290,14180.661621000001,47.91756091026923,True
2025-04-09,,349,,,False
