entry,exit,days,sale_cash,final_cash,restored
2020-01-13,2020-01-14,1,18576.7222911,5426.024104599997,True
2020-01-15,2020-01-16,1,18666.585537000003,5427.911455099998,True
2020-01-17,2020-01-20,1,18956.1448849,5489.2385512,True
2020-02-14,2020-02-17,1,18317.1173585,5351.766925300002,True
2020-02-20,2020-02-21,1,18776.4183931,5443.476731700004,True
2020-02-27,2020-02-28,1,18866.281639,6215.356589900006,True
2020-03-02,2020-03-03,1,17408.500094400002,5779.584906000011,True
2020-03-10,2020-03-11,1,16559.791660900002,5655.708000200015,True
2020-03-12,2020-03-13,1,16070.536211000002,6533.350459400019,True
2020-03-17,2020-03-18,1,13883.8638941,6354.908213000022,True
2020-03-19,2020-03-20,1,13484.471690100001,6147.2661663000235,True
2020-03-24,2020-03-25,1,12995.216240200001,5730.514272500026,True
2020-03-27,2020-03-30,1,13045.1402657,5923.977609800026,True
2020-04-10,2020-04-13,1,13594.304546200001,6066.293221600028,True
2020-04-20,2020-04-21,1,14443.0129797,6196.870058300032,True
2020-04-24,2020-04-27,1,13923.803114500002,6108.393032800033,True
2020-05-08,2020-05-11,1,14413.0585644,6008.911452200033,True
2020-05-15,2020-05-18,1,13764.046232900002,6130.869948800037,True
2020-05-22,2020-05-25,1,13234.8515626,6103.831378900035,True
2020-06-05,2020-06-08,1,14053.6055808,5895.026817200032,True
2020-06-09,2020-06-10,1,14522.8914205,5845.346892100033,True
2020-06-12,2020-06-15,1,13784.015843100002,5937.248998400033,True
2020-06-16,2020-06-17,1,14003.681555300001,5958.666014000033,True
2020-07-08,2020-07-09,1,16330.080364,6095.228614200034,True
2020-07-13,2020-07-14,1,16469.928415,6021.561263900032,True
2020-07-16,2020-07-17,1,14842.4051837,5771.124696800034,True
2020-07-27,2020-07-28,1,13983.711945100002,5592.478500400039,True
2020-07-31,2020-08-03,1,14562.8306409,5462.675394500038,True
2020-08-12,2020-08-13,1,15111.9949214,5291.729763200041,True
2020-08-20,2020-08-21,1,14802.465963300001,5081.395576500043,True
2020-08-27,2020-08-28,1,14622.739471500001,5131.563702400044,True
2020-09-04,2020-09-07,1,14143.4688267,5252.747189000045,True
2020-09-11,2020-09-14,1,13594.304546200001,5214.9691990000465,True
2020-09-22,2020-09-23,1,13534.395715600001,5107.277178300048,True
2020-09-25,2020-09-28,1,13144.9883167,5040.401363000052,True
2020-10-20,2020-10-21,1,13823.955063500001,5032.169888300054,True
2020-10-22,2020-10-23,1,13634.2437666,4984.3051182000545,True
2020-10-26,2020-10-27,1,13654.2133768,5036.4515591000545,True
2020-11-02,2020-11-03,1,13135.0035116,4979.601338900053,True
2020-11-25,2020-11-26,1,14063.5903859,4970.880384200054,True
2020-11-27,2020-11-30,1,13803.985453300002,4992.705299800058,True
2020-12-01,2020-12-02,1,14053.6055808,4933.978739600061,True
2020-12-10,2020-12-11,1,13404.5932493,4946.614255100063,True
2020-12-17,2020-12-18,1,13554.365325800001,4858.891844600066,True
2020-12-23,2020-12-24,1,13554.365325800001,4771.1694341000675,True
2020-12-25,2020-12-28,1,13374.638834000001,4713.829733900067,True
2021-01-20,2021-01-21,1,15111.9949214,4662.946503800069,True
2021-01-29,2021-02-01,1,14263.2864879,4863.926851200069,True
2021-02-04,2021-02-05,1,13494.456495200002,4836.358011300072,True
2021-02-08,2021-02-09,1,13224.8667575,4749.308635800073,True
2021-02-23,2021-02-24,1,13764.046232900002,4691.173530600074,True
