entry,exit,days,sale_cash,final_cash,restored
2020-01-03,2020-01-06,1,18187.3148922,5676.949512100004,True
2020-01-10,2020-01-13,1,17997.6035953,5640.182527200006,True
2020-01-17,2020-01-20,1,18956.1448849,5701.509623300008,True
2020-01-23,2020-02-03,1,19964.6102,7651.759643300007,True
2020-02-07,2020-02-10,1,19265.673843,8002.605297300008,True
2020-02-14,2020-02-17,1,18317.1173585,7865.13367140001,True
2020-02-21,2020-02-24,1,19565.217996,7665.0814699000075,True
2020-02-28,2020-03-02,1,17049.0471108,7400.132407700006,True
2020-03-06,2020-03-09,1,16959.183864900002,7665.6425058000095,True
2020-03-13,2020-03-16,1,15621.2199815,7593.70873050001,True
2020-03-20,2020-03-23,1,13544.3805207,8026.277120200011,True
2020-03-27,2020-03-30,1,13045.1402657,8219.740457500011,True
2020-04-03,2020-04-07,1,13933.787919600001,7791.066233600011,True
2020-04-10,2020-04-13,1,13594.304546200001,7933.381845400012,True
2020-04-17,2020-04-20,1,13963.742334900002,7824.812839700016,True
2020-04-24,2020-04-27,1,13923.803114500002,7736.335814200016,True
2020-04-30,2020-05-06,1,14662.6786919,7956.510761800017,True
2020-05-08,2020-05-11,1,14413.0585644,7857.029181200016,True
2020-05-15,2020-05-18,1,13764.046232900002,7978.98767780002,True
2020-05-22,2020-05-25,1,13234.8515626,7951.949107900018,True
2020-05-29,2020-06-01,1,13384.6236391,7864.573412400021,True
2020-06-05,2020-06-08,1,14053.6055808,7655.76885070002,True
2020-06-12,2020-06-15,1,13784.015843100002,7747.670957000022,True
2020-06-19,2020-06-22,1,14323.1953185,7698.398931900023,True
2020-06-24,2020-06-29,1,15491.4175152,7686.761492200025,True
2020-07-03,2020-07-06,1,15840.8249141,7504.157044200027,True
2020-07-10,2020-07-13,1,16000.642575300002,7531.500259900031,True
2020-07-17,2020-07-20,1,14762.526742900001,7401.289254000032,True
2020-07-24,2020-07-27,1,14133.4840216,7292.373533300033,True
2020-07-31,2020-08-03,1,14562.8306409,7162.5704274000345,True
2020-08-07,2020-08-10,1,14273.271293,7233.4627785000375,True
2020-08-14,2020-08-17,1,15002.1620653,7132.77789290004,True
2020-08-21,2020-08-24,1,14772.511548,7032.562092300042,True
2020-08-28,2020-08-31,1,14722.5875225,6902.432666400044,True
2020-09-04,2020-09-07,1,14143.4688267,7023.616153000043,True
2020-09-11,2020-09-14,1,13594.304546200001,6985.838163000044,True
2020-09-18,2020-09-21,1,13794.0006482,6957.657473100047,True
2020-09-25,2020-09-28,1,13144.9883167,6890.781657800049,True
2020-09-30,2020-10-09,1,13564.3501309,6632.9504506000485,True
2020-10-16,2020-10-19,1,13754.061427800001,6474.783739400053,True
2020-10-23,2020-10-26,1,13564.3501309,6457.0773346000515,True
2020-10-30,2020-11-02,1,13624.258961500002,6669.368162100054,True
2020-11-06,2020-11-09,1,13973.72714,6360.674759400055,True
2020-11-13,2020-11-16,1,14323.1953185,6221.355933400058,True
2020-11-20,2020-11-23,1,14223.3472675,6172.287858300058,True
2020-11-27,2020-11-30,1,13803.985453300002,6194.112773900062,True
2020-12-04,2020-12-07,1,13813.9702584,6175.896494100063,True
2020-12-11,2020-12-14,1,13444.532469700001,6088.398428600065,True
2020-12-18,2020-12-21,1,13624.258961500002,6100.585254100068,True
2020-12-25,2020-12-28,1,13374.638834000001,6043.245553900069,True
2020-12-31,2021-01-04,1,13664.198181900001,5995.319598800073,True
2021-01-08,2021-01-11,1,14213.3624624,6096.349920200075,True
2021-01-15,2021-01-18,1,15221.8277775,6045.242345100078,True
2021-01-22,2021-01-25,1,14722.5875225,6065.190920700079,True
2021-01-29,2021-02-01,1,14263.2864879,6266.171268100081,True
2021-02-05,2021-02-08,1,13184.9275371,6289.260673700084,True
2021-02-10,2021-02-18,1,14013.6663604,6170.584492900085,True
2021-02-19,2021-02-22,1,14163.4384369,6071.612787300084,True
2021-02-26,2021-03-01,1,13784.015843100002,6003.431692000086,True
2021-03-05,2021-03-08,1,13724.1070125,5955.383366900087,True
2021-03-12,2021-03-15,1,13504.4413003,5967.81493240009,True
2021-03-19,2021-03-22,1,13474.486885,5950.29208260009,True
2021-03-26,2021-03-29,1,14013.6663604,5881.641902300091,True
2021-04-02,2021-04-06,1,14123.4992165,5662.689375500095,True
2021-04-09,2021-04-12,1,14033.6359706,5634.019205600094,True
2021-04-16,2021-04-19,1,14373.119344,5644.676406100096,True
2021-04-23,2021-04-26,1,14153.453631800001,5575.7406958000975,True
2021-04-30,2021-05-06,1,13734.091817600001,5687.7551773001,True
2021-05-07,2021-05-10,1,13424.562859500002,5600.297901800101,True
2021-05-14,2021-05-17,1,13454.5172748,5582.815842000104,True
2021-05-21,2021-05-24,1,13085.079486100001,5546.077997000106,True
2021-05-28,2021-05-31,1,12326.234298500001,5480.874571700111,True
2021-06-04,2021-06-07,1,12196.431832200002,5435.946681600111,True
2021-06-11,2021-06-15,1,12476.006375,5400.452931600112,True
2021-06-18,2021-06-21,1,12466.021569900002,5455.026377500115,True
2021-06-25,2021-06-28,1,12585.8392311,5369.282282000115,True
2021-07-02,2021-07-05,1,11946.811704700001,5354.879867200116,True
2021-07-09,2021-07-12,1,11926.842094500002,5270.481841700117,True
2021-07-16,2021-07-19,1,11467.5410599,5227.042786600117,True
2021-07-23,2021-07-26,1,11737.1307976,5163.04266630012,True
2021-07-30,2021-08-02,1,11147.9513222,5330.159476300123,True
2021-08-06,2021-08-09,1,11807.024433300001,5326.047791600124,True
2021-08-13,2021-08-16,1,11817.0092384,5261.884511300124,True
2021-08-20,2021-08-23,1,11856.948458800001,5147.613650500129,True
2021-08-27,2021-08-30,1,11687.2067721,5073.710305100129,True
2021-09-03,2021-09-06,1,11976.76612,5029.23110500013,True
2021-09-10,2021-09-13,1,12176.462222000002,4974.3388048001325,True
2021-09-17,2021-09-22,1,11727.1459925,5010.411080500131,True
2021-09-24,2021-09-27,1,11836.978848600002,4936.201810100134,True
2021-09-30,2021-10-08,1,11597.3435262,4782.440418900138,True
2021-10-15,2021-10-18,1,11707.1763823,4658.470283000137,True
2021-10-22,2021-10-25,1,11517.465085400001,4684.9656536001385,True
2021-10-29,2021-11-01,1,11327.7537885,4701.843329100138,True
2021-11-05,2021-11-08,1,11667.2371619,4678.006774200139,True
2021-11-12,2021-11-15,1,11697.191577200001,4644.103834200141,True
2021-11-19,2021-11-22,1,11886.9028741,4599.808189100142,True
2021-11-26,2021-11-29,1,11148.0272967,4647.068574900142,True
2021-12-03,2021-12-06,1,11227.9057375,4644.139800200142,True
2021-12-10,2021-12-13,1,11866.9332639,4619.895345300145,True
2021-12-17,2021-12-20,1,12116.5533914,4585.135815300146,True
2021-12-24,2021-12-27,1,11956.7965098,4550.702605300148,True
2021-12-31,2022-01-04,1,11896.887679200001,4506.386565200148,True
2022-01-07,2022-01-10,1,11807.024433300001,4492.26968040015,True
2022-01-14,2022-01-17,1,11317.7689834,4459.141750400149,True
2022-01-21,2022-01-24,1,11587.358721100001,4485.49435600015,True
2022-01-28,2022-02-07,1,11088.118466099999,4362.788710100151,True
2022-02-11,2022-02-14,1,11307.7841783,4389.71237570015,True
2022-02-18,2022-02-21,1,11267.8449579,4376.69682090015,True
2022-02-25,2022-02-28,1,11177.981712,4363.864821100151,True
2022-03-04,2022-03-07,1,11118.0728814,4391.175991700151,True
2022-03-11,2022-03-14,1,10259.3796428,4490.277533000153,True
2022-03-18,2022-03-21,1,10179.501202000001,4439.4642328001555,True
2022-03-25,2022-03-28,1,10199.470812200001,4538.688144100157,True
2022-04-01,2022-04-06,1,10159.5315918,4537.941634400158,True
2022-04-08,2022-04-11,1,10129.5771765,4547.261509800159,True
2022-04-15,2022-04-18,1,10019.744320400001,4556.80573020016,True
2022-04-22,2022-04-25,1,9700.2305572,4647.04419140016,True
2022-04-29,2022-05-05,1,9500.6296076,4577.798151200161,True
2022-05-06,2022-05-09,1,9171.12774095,4549.238946200161,True
2022-05-13,2022-05-16,1,9360.840936900002,4460.265435900164,True
2022-05-20,2022-05-23,1,9440.7201773,4381.135465650164,True
2022-05-27,2022-05-30,1,9221.0522662,4352.4752856501655,True
2022-06-02,2022-06-06,1,9380.810747000001,4333.497085700166,True
2022-06-10,2022-06-13,1,9580.508848000001,4354.135385950169,True
2022-06-17,2022-06-20,1,9670.37299345,4274.54093070017,True
2022-06-24,2022-06-27,1,9730.28242375,4244.850805700171,True
2022-07-01,2022-07-04,1,9760.2371389,4225.105195750171,True
2022-07-08,2022-07-11,1,9720.297518700001,4175.425065650174,True
2022-07-15,2022-07-18,1,9330.886221750001,4136.537640600174,True
2022-07-22,2022-07-25,1,9979.90505,4106.3426406001745,True
2022-07-29,2022-08-01,1,10029.82957525,4096.056865700175,True
2022-08-05,2022-08-08,1,9470.52394295,4466.689860700175,True
2022-08-12,2022-08-15,1,9650.403183350001,4447.166395750177,True
2022-08-19,2022-08-22,1,9500.6296076,4507.986656200177,True
2022-08-26,2022-08-29,1,9340.871126799999,4579.135136700177,True
2022-09-02,2022-09-05,1,9290.946601550002,4560.338691750179,True
2022-09-09,2022-09-13,1,9450.705082350001,4491.193626550181,True
2022-09-16,2022-09-19,1,9101.2334056,4462.775786550181,True
2022-09-23,2022-09-26,1,8671.88248845,4525.272232000183,True
2022-09-30,2022-10-10,1,8502.1391026,4418.025291600185,True
2022-10-14,2022-10-17,1,8422.2598622,4390.980711600187,True
2022-10-21,2022-10-24,1,8452.214577350001,4433.911246950189,True
2022-10-28,2022-10-31,1,8262.501381400001,4817.39888900019,True
2022-11-04,2022-11-07,1,8671.88248845,4789.849434000193,True
2022-11-11,2022-11-14,1,8821.6560642,4721.976653800195,True
2022-11-18,2022-11-21,1,8931.49001975,4743.927629050195,True
2022-11-25,2022-11-28,1,9031.33907025,4865.7276548001955,True
2022-12-02,2022-12-05,1,9121.2032157,4687.192924050196,True
2022-12-09,2022-12-12,1,9440.7201773,4688.103754200196,True
2022-12-16,2022-12-19,1,9480.6597975,4638.908304100196,True
