date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-02,15:00,SELL,1000,18.38,18370.81,23.738226200000003,0.0,18347.071773800002,0,close_proxy
2020-01-03,09:25,BUY,900,18.49,16649.320499999998,5.33298641,0.0,1692.4182873900027,900,open_proxy
2020-03-04,13:05,BUY,100,16.85,1685.8425000000002,5.03371685,0.0,1.5420705400024417,1000,complete_bar_proxy
2020-03-05,15:00,SELL,1000,17.16,17151.420000000002,22.494448400000003,0.0,17130.467622140004,0,close_proxy
2020-03-06,09:25,BUY,1000,16.83,16838.415,5.3367683,0.0,286.71585384000355,1000,open_proxy
2020-03-09,15:00,SELL,1000,16.18,16171.910000000002,21.495348200000002,0.0,16437.130505640005,0,close_proxy
2020-03-10,09:25,BUY,1000,15.98,15987.99,5.3197598,0.0,443.82074584000475,1000,open_proxy
2020-03-11,15:00,SELL,1000,16.54,16531.73,21.8623646,0.0,16953.688381240005,0,close_proxy
2020-03-12,09:25,BUY,1000,16.25,16258.125,5.3251625,0.0,690.2382187400053,1000,open_proxy
2020-03-13,15:00,SELL,1000,15.65,15642.175000000001,20.9550185,0.0,16311.458200240006,0,close_proxy
2020-03-16,09:25,BUY,1000,15.68,15687.839999999998,5.3137568,0.0,618.3044434400072,1000,open_proxy
2020-03-17,15:00,SELL,1000,13.91,13903.045,19.1811059,0.0,14502.168337540008,0,close_proxy
2020-03-18,09:25,BUY,1000,14.05,14057.025,5.2811405,0.0,439.86219704000905,1000,open_proxy
2020-03-19,15:00,SELL,1000,13.51,13503.245,18.7733099,0.0,13924.33388714001,0,close_proxy
2020-03-20,09:25,BUY,1000,13.68,13686.84,5.2737368,0.0,232.22015034001015,1000,open_proxy
2020-03-23,15:00,SELL,1000,12.52,12513.74,17.764014799999998,0.0,12728.19613554001,0,close_proxy
2020-03-24,09:25,BUY,900,12.75,11480.7375,5.22961475,0.0,1242.2290207900114,900,open_proxy
2021-05-28,13:50,BUY,100,12.34,1234.617,5.02469234,0.0,2.587328450011455,1000,complete_bar_proxy
2021-05-31,15:00,SELL,1000,12.42,12413.79,17.6620658,0.0,12398.715262650014,0,close_proxy
2021-06-01,09:25,BUY,900,12.42,11183.589,5.22367178,0.0,1209.9025908700132,900,open_proxy
2021-07-02,11:05,BUY,100,12.02,1202.6009999999999,5.02405202,0.0,2.277538850013343,1000,complete_bar_proxy
2021-07-05,15:00,SELL,1000,12.19,12183.905,17.4275831,0.0,12168.754955750015,0,close_proxy
2021-07-06,09:25,BUY,900,12.19,10976.485499999999,5.21952971,0.0,1187.0499260400156,900,open_proxy
2021-07-14,10:10,BUY,100,11.79,1179.5895,5.02359179,0.0,2.436834250015636,1000,complete_bar_proxy
2021-07-15,15:00,SELL,1000,11.75,11744.125,16.9790075,0.0,11729.582826750015,0,close_proxy
2021-07-16,09:25,BUY,900,11.72,10553.274,5.21106548,0.0,1171.0977612700153,900,open_proxy
2021-07-16,10:25,BUY,100,11.63,1163.5815,5.02327163,0.0,2.4929896400153666,1000,complete_bar_proxy
