date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-02,15:00,SELL,1000,18.38,18370.81,23.738226200000003,0.0,23861.071773800002,0,close_proxy
2020-01-03,09:25,BUY,1000,18.49,18499.245,5.3699849,0.0,5356.456788900003,1000,nominal_open
2020-01-06,15:00,SELL,1000,17.9,17891.05,23.248871,0.0,23224.257917900002,0,close_proxy
2020-01-07,09:25,BUY,1000,17.92,17928.96,5.3585792,0.0,5289.939338700002,1000,nominal_open
2020-01-08,15:00,SELL,1000,17.52,17511.24,22.861464800000004,0.0,22778.317873900003,0,close_proxy
2020-01-09,09:25,BUY,1000,17.65,17658.825,5.3531765,0.0,5114.139697400002,1000,nominal_open
2020-01-10,15:00,SELL,1000,18.03,18020.985,23.3814047,0.0,23111.7432927,0,close_proxy
2020-01-13,09:25,BUY,1000,18.02,18029.01,5.3605802,0.0,5077.372712500004,1000,nominal_open
2020-01-14,15:00,SELL,1000,18.39,18380.805,23.7484211,0.0,23434.429291400003,0,close_proxy
2020-01-15,09:25,BUY,1000,18.35,18359.175,5.3671835,0.0,5069.8871079000055,1000,nominal_open
2020-01-16,15:00,SELL,1000,18.41,18400.795000000002,23.768810900000002,0.0,23446.913297000006,0,close_proxy
2020-01-17,09:25,BUY,1000,18.41,18419.204999999998,5.3683841,0.0,5022.33991290001,1000,nominal_open
2020-01-20,15:00,SELL,1000,19.34,19330.33,24.716936600000004,0.0,24327.95297630001,0,close_proxy
2020-01-21,09:25,BUY,1000,19.2,19209.6,5.384192,0.0,5112.96878430001,1000,nominal_open
2020-01-22,15:00,SELL,1000,20.85,20839.575,26.256366500000002,0.0,25926.28741780001,0,close_proxy
2020-01-23,09:25,BUY,1000,20.5,20510.25,5.410205,0.0,5410.627212800009,1000,nominal_open
2020-02-03,15:00,SELL,1000,18.0,17991.0,23.350820000000002,0.0,23378.27639280001,0,close_proxy
2020-02-04,09:25,BUY,1000,17.1,17108.55,5.3421710000000004,0.0,6264.38422180001,1000,nominal_open
2020-02-05,15:00,SELL,1000,18.69,18680.655000000002,24.054268100000005,0.0,24920.984953700012,0,close_proxy
2020-02-06,09:25,BUY,1000,18.54,18549.27,5.3709854,0.0,6366.343968300011,1000,nominal_open
2020-02-07,15:00,SELL,1000,19.3,19290.350000000002,24.676157000000003,0.0,25632.01781130001,0,close_proxy
2020-02-10,09:25,BUY,1000,18.9,18909.45,5.378189,0.0,6717.189622300011,1000,nominal_open
2020-02-11,15:00,SELL,1000,19.23,19220.385000000002,24.604792700000004,0.0,25912.969829600013,0,close_proxy
2020-02-12,09:25,BUY,1000,19.08,19089.539999999997,5.3817908,0.0,6818.048038800018,1000,nominal_open
2020-02-13,15:00,SELL,1000,18.42,18410.79,23.779005800000004,0.0,25205.05903300002,0,close_proxy
2020-02-14,09:25,BUY,1000,18.26,18269.129999999997,5.3653826,0.0,6930.563650400021,1000,nominal_open
2020-02-17,15:00,SELL,1000,19.19,19180.405000000002,24.564013100000004,0.0,26086.404637300024,0,close_proxy
2020-02-18,09:25,BUY,1000,19.2,19209.6,5.384192,0.0,6871.420445300024,1000,nominal_open
2020-02-19,15:00,SELL,1000,18.49,18480.755,23.850370100000003,0.0,25328.325075200024,0,close_proxy
2020-02-20,09:25,BUY,1000,18.59,18599.295,5.3719859,0.0,6723.658089300025,1000,nominal_open
2020-02-21,15:00,SELL,1000,19.6,19590.2,24.982004000000003,0.0,26288.876085300024,0,close_proxy
2020-02-24,09:25,BUY,1000,19.75,19759.875,5.3951975,0.0,6523.605887800022,1000,nominal_open
2020-02-25,15:00,SELL,1000,19.96,19950.02,25.3490204,0.0,26448.27686740002,0,close_proxy
2020-02-26,09:25,BUY,1000,19.55,19559.774999999998,5.3911955,0.0,6883.110671900024,1000,nominal_open
2020-02-27,15:00,SELL,1000,18.9,18890.55,24.268361000000002,0.0,25749.392310900024,0,close_proxy
2020-02-28,09:25,BUY,1000,18.08,18089.039999999997,5.3617808,0.0,7654.990530100025,1000,nominal_open
2020-03-02,15:00,SELL,1000,17.44,17431.280000000002,22.779905600000003,0.0,25063.490624500027,0,close_proxy
2020-03-03,09:25,BUY,1000,17.83,17838.914999999997,5.3567783,0.0,7219.21884620003,1000,nominal_open
2020-03-04,15:00,SELL,1000,16.76,16751.620000000003,22.086652400000006,0.0,23948.75219380003,0,close_proxy
2020-03-05,09:25,BUY,1000,17.1,17108.55,5.3421710000000004,0.0,6834.860022800032,1000,nominal_open
2020-03-06,15:00,SELL,1000,16.99,16981.505,22.321135100000003,0.0,23794.043887700034,0,close_proxy
2020-03-09,09:25,BUY,1000,16.68,16688.34,5.3337668,0.0,7100.3701209000355,1000,nominal_open
2020-03-10,15:00,SELL,1000,16.59,16581.705,21.9133391,0.0,23660.161781800038,0,close_proxy
2020-03-11,09:25,BUY,1000,16.67,16678.335,5.3335667,0.0,6976.493215100039,1000,nominal_open
2020-03-12,15:00,SELL,1000,16.1,16091.950000000003,21.413789000000005,0.0,23047.02942610004,0,close_proxy
2020-03-13,09:25,BUY,1000,15.18,15187.589999999998,5.3037518,0.0,7854.135674300043,1000,nominal_open
2020-03-16,15:00,SELL,1000,14.3,14292.85,19.578707,0.0,22127.40696730004,0,close_proxy
2020-03-17,09:25,BUY,1000,14.39,14397.195,5.2879439,0.0,7724.924023400041,1000,nominal_open
2020-03-18,15:00,SELL,1000,13.56,13553.220000000001,18.824284400000003,0.0,21259.319739000042,0,close_proxy
2020-03-19,09:25,BUY,1000,13.55,13556.775,5.2711355,0.0,7697.2736035000435,1000,nominal_open
2020-03-20,15:00,SELL,1000,13.57,13563.215,18.8344793,0.0,21241.654124200046,0,close_proxy
2020-03-23,09:25,BUY,1000,13.1,13106.55,5.262131,0.0,8129.841993200047,1000,nominal_open
2020-03-24,15:00,SELL,1000,13.02,13013.490000000002,18.2737598,0.0,21125.05823340005,0,close_proxy
2020-03-25,09:25,BUY,1000,13.4,13406.699999999999,5.268134,0.0,7713.090099400051,1000,nominal_open
2020-03-26,15:00,SELL,1000,13.29,13283.355000000001,18.549022100000002,0.0,20977.89607730005,0,close_proxy
2020-03-27,09:25,BUY,1000,13.5,13506.75,5.270135,0.0,7465.87594230005,1000,nominal_open
2020-03-30,15:00,SELL,1000,12.82,12813.59,18.0698618,0.0,20261.39608050005,0,close_proxy
2020-03-31,09:25,BUY,1000,13.29,13296.644999999999,5.2659329,0.0,6959.485147600051,1000,nominal_open
2020-04-01,15:00,SELL,1000,13.41,13403.295,18.671360900000003,0.0,20344.108786700053,0,close_proxy
2020-04-02,09:25,BUY,1000,13.34,13346.67,5.2669334,0.0,6992.171853300053,1000,nominal_open
2020-04-03,15:00,SELL,1000,13.96,13953.02,19.2320804,0.0,20925.959772900052,0,close_proxy
