date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-02-04,15:00,SELL,1000,18.02,18010.99,23.371209800000003,0.0,17987.618790200002,0,close_proxy
2020-02-05,09:25,BUY,900,18.16,16352.171999999999,5.32704344,0.0,1630.1197467600032,900,open_proxy
2020-03-09,13:20,BUY,100,16.18,1618.809,5.03237618,0.0,6.278370580003184,1000,complete_bar_proxy
2020-03-16,15:00,SELL,1000,14.3,14292.85,19.578707,0.0,14279.549663580003,0,close_proxy
2020-03-17,09:25,BUY,900,14.39,12957.475499999999,5.25914951,0.0,1316.8150140700036,900,open_proxy
2020-03-19,11:00,BUY,100,13.04,1304.6519999999998,5.02609304,0.0,7.136921030003805,1000,complete_bar_proxy
2020-03-20,15:00,SELL,1000,13.57,13563.215,18.8344793,0.0,13551.517441730004,0,close_proxy
2020-03-23,09:25,BUY,1000,13.1,13106.55,5.262131,0.0,439.7053107300053,1000,open_proxy
2020-03-24,15:00,SELL,1000,13.02,13013.490000000002,18.2737598,0.0,13434.921550930007,0,close_proxy
2020-03-25,09:25,BUY,1000,13.4,13406.699999999999,5.268134,0.0,22.953416930007734,1000,open_proxy
2020-03-31,15:00,SELL,1000,13.21,13203.395,18.4674629,0.0,13207.880954030008,0,close_proxy
2020-04-01,09:25,BUY,1000,13.13,13136.564999999999,5.2627313000000004,0.0,66.05322273001002,1000,open_proxy
2020-04-14,15:00,SELL,1000,13.81,13803.095000000001,19.0791569,0.0,13850.069065830012,0,close_proxy
2020-04-15,09:25,BUY,1000,13.81,13816.904999999999,5.2763381,0.0,27.887727730012557,1000,open_proxy
2020-05-15,15:00,SELL,1000,13.79,13783.105000000001,19.058767100000004,0.0,13791.933960630015,0,close_proxy
2020-05-18,09:25,BUY,1000,13.63,13636.814999999999,5.2727363,0.0,149.8462243300164,1000,open_proxy
2020-05-19,15:00,SELL,1000,13.78,13773.11,19.048572200000002,0.0,13903.907652130018,0,close_proxy
2020-05-20,09:25,BUY,1000,13.79,13796.894999999999,5.2759379,0.0,101.73671423001906,1000,open_proxy
2020-05-26,15:00,SELL,1000,13.5,13493.25,18.763115,0.0,13576.22359923002,0,close_proxy
2020-05-27,09:25,BUY,1000,13.56,13566.779999999999,5.2713356000000005,0.0,4.1722636300200975,1000,open_proxy
2020-06-15,15:00,SELL,1000,13.67,13663.165,18.936428300000003,0.0,13648.400835330021,0,close_proxy
2020-06-16,09:25,BUY,900,13.74,12372.182999999999,5.24744366,0.0,1270.9703916700219,900,open_proxy
2020-07-24,13:50,BUY,100,14.21,1421.7105,5.02843421,0.0,24.23145746002183,1000,complete_bar_proxy
2020-07-27,15:00,SELL,1000,14.01,14002.995,19.283054900000003,18.0,13989.943402560024,0,close_proxy
2020-07-28,09:25,BUY,900,14.15,12741.367499999998,5.25482735,0.0,1243.3210752100258,900,open_proxy
2021-05-25,10:00,BUY,100,12.37,1237.6185,5.02475237,0.0,0.6778228400257831,1000,complete_bar_proxy
2021-05-26,15:00,SELL,1000,12.56,12553.720000000001,17.804794400000002,0.0,12536.593028440026,0,close_proxy
2021-05-27,09:25,BUY,900,12.53,11282.6385,5.22565277,0.0,1248.7288756700273,900,open_proxy
2021-05-28,10:50,BUY,100,12.43,1243.6215,5.02487243,0.0,0.08250324002733578,1000,complete_bar_proxy
2021-07-19,15:00,SELL,1000,11.56,11554.220000000001,16.7853044,0.0,11537.517198840029,0,close_proxy
2021-07-20,09:25,BUY,1000,11.51,11515.755,5.2303151,0.0,16.531883740030025,1000,open_proxy
2021-07-29,15:00,SELL,1000,10.99,10984.505000000001,16.2041951,50.0,11184.832688640032,0,close_proxy
2021-07-30,09:25,BUY,1000,10.96,10965.48,5.2193096,0.0,214.1333790400331,1000,open_proxy
2021-11-29,15:00,SELL,1000,10.98,10974.51,16.1940002,0.0,11172.449378840034,0,close_proxy
2021-11-30,09:25,BUY,1000,11.01,11015.505,5.2203101,0.0,151.72406874003536,1000,open_proxy
2022-01-17,15:00,SELL,1000,11.42,11414.29,16.642575800000003,0.0,11549.371492940036,0,close_proxy
2022-01-18,09:25,BUY,1000,11.45,11455.724999999999,5.2291145,0.0,88.41737844003728,1000,open_proxy
2022-03-09,15:00,SELL,1000,10.4,10394.800000000001,15.602696000000002,0.0,10467.614682440038,0,close_proxy
2022-03-10,09:25,BUY,900,10.55,9499.7475,5.18999495,0.0,962.6771874900387,900,open_proxy
2022-03-16,10:20,BUY,100,9.56,956.478,5.01912956,0.0,1.1800579300387426,1000,complete_bar_proxy
2022-04-26,15:00,SELL,1000,9.19,9185.405,14.369113100000002,0.0,9172.215944830039,0,close_proxy
2022-04-27,09:25,BUY,1000,9.09,9094.545,5.1818909,0.0,72.48905393003952,1000,open_proxy
2022-09-20,15:00,SELL,1000,8.74,8735.630000000001,13.822986300000002,50.0,9244.29606763004,0,close_proxy
2022-09-21,09:25,BUY,1000,8.73,8734.365,5.08734365,0.0,504.8437239800405,1000,open_proxy
2022-09-22,15:00,SELL,1000,8.68,8675.66,13.7624166,0.0,9166.74130738004,0,close_proxy
2022-09-23,09:25,BUY,1000,8.7,8704.35,5.0870435,0.0,457.3042638800398,1000,open_proxy
2022-10-11,15:00,SELL,1000,8.18,8175.910000000001,13.257669100000001,0.0,8619.95659478004,0,close_proxy
2022-10-12,09:25,BUY,1000,8.16,8164.08,5.0816408,0.0,450.7949539800402,1000,open_proxy
2023-03-09,15:00,SELL,1000,11.15,11144.425000000001,16.255869250000003,0.0,11578.96408473004,0,close_proxy
2023-03-10,09:25,BUY,1000,11.0,11005.5,5.110055,0.0,568.3540297300406,1000,open_proxy
2023-03-30,15:00,SELL,1000,16.88,16871.56,22.0402756,0.0,17417.873754130043,0,close_proxy
2023-03-31,09:25,BUY,1000,16.7,16708.35,5.1670835,0.0,704.3566706300444,1000,open_proxy
2023-04-12,15:00,SELL,1000,18.42,18410.79,23.594897900000003,0.0,19091.551772730047,0,close_proxy
2023-04-13,09:25,BUY,1000,18.25,18259.125,5.18259125,0.0,827.2441814800477,1000,open_proxy
2023-04-20,15:00,SELL,1000,19.0,18990.5,24.180405,0.0,19793.56377648005,0,close_proxy
2023-04-21,09:25,BUY,1000,19.5,19509.75,5.1950975,0.0,278.61867898004857,1000,open_proxy
2023-04-27,15:00,SELL,1000,16.1,16091.950000000003,21.252869500000003,0.0,16349.315809480051,0,close_proxy
2023-04-28,09:25,BUY,1000,16.13,16138.064999999997,5.16138065,0.0,206.0894288300533,1000,open_proxy
2023-05-04,15:00,SELL,1000,15.38,15372.310000000001,20.526033100000003,0.0,15557.873395730054,0,close_proxy
2023-05-05,09:25,BUY,1000,15.33,15337.664999999999,5.15337665,0.0,215.055019080055,1000,open_proxy
2023-05-08,15:00,SELL,1000,14.68,14672.660000000002,19.8193866,0.0,14867.895632480057,0,close_proxy
2023-05-09,09:25,BUY,1000,14.68,14687.339999999998,5.1468734,0.0,175.4087590800591,1000,open_proxy
2023-05-10,15:00,SELL,1000,14.6,14592.7,19.738627,0.0,14748.37013208006,0,close_proxy
2023-05-11,09:25,BUY,1000,14.51,14517.255,5.14517255,0.0,225.9699595300608,1000,open_proxy
2023-05-24,15:00,SELL,1000,14.82,14812.59,19.9607159,0.0,15018.59924363006,0,close_proxy
2023-05-25,09:25,BUY,900,16.0,14407.199999999999,5.144072,0.0,606.2551716300623,900,open_proxy
2025-04-08,09:35,BUY,100,16.01,1601.8005,5.016018005,0.0,16.438653625062216,1000,complete_bar_proxy
2025-04-09,15:00,SELL,1000,16.33,16321.835,13.32413585,0.0,16324.949517775061,0,close_proxy
2025-04-10,09:25,BUY,900,17.9,16118.054999999997,5.16118055,0.0,201.73333722506504,900,open_proxy
