date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-06,15:00,SELL,1000,17.9,17891.05,23.248871,0.0,17867.801129,0,close_proxy
2020-01-07,09:25,BUY,900,17.92,16136.064,5.32272128,0.0,1726.4144077199999,900,nominal_open
2020-02-04,09:25,BUY,100,17.1,1710.8550000000002,5.0342171,0.0,10.525190619999648,1000,nominal_open
2020-02-28,15:00,SELL,1000,17.08,17071.46,22.4128892,0.0,17059.572301419998,0,close_proxy
2020-03-02,09:25,BUY,900,17.3,15577.785,5.3115557,0.0,1476.4757457199976,900,nominal_open
2020-03-17,09:25,BUY,100,14.39,1439.7195,5.02879439,0.0,31.72745132999762,1000,nominal_open
2020-03-19,15:00,SELL,1000,13.51,13503.245,18.7733099,0.0,13516.19914143,0,close_proxy
2020-03-20,09:25,BUY,900,13.68,12318.155999999999,5.24636312,0.0,1192.7967783099994,900,nominal_open
2020-09-11,09:25,BUY,100,13.47,1347.6734999999999,5.02695347,0.0,20.096324839999397,1000,nominal_open
2020-09-14,15:00,SELL,1000,13.85,13843.075,19.1199365,18.0,13826.051388340002,0,close_proxy
2020-09-15,09:25,BUY,900,13.83,12453.2235,5.24906447,0.0,1367.5788238700025,900,nominal_open
2020-09-17,09:25,BUY,100,13.56,1356.6779999999999,5.02713356,0.0,5.87369031000253,1000,nominal_open
2020-09-18,15:00,SELL,1000,13.82,13813.09,19.089351800000003,0.0,13799.874338510002,0,close_proxy
2020-09-21,09:25,BUY,900,13.81,12435.2145,5.24870429,0.0,1359.411134220003,900,nominal_open
2020-09-24,09:25,BUY,100,13.45,1345.6725,5.02691345,0.0,8.71172077000324,1000,nominal_open
2020-09-28,15:00,SELL,1000,13.28,13273.36,18.5388272,0.0,13263.532893570004,0,close_proxy
2020-09-29,09:25,BUY,900,13.32,11993.993999999999,5.23987988,0.0,1264.2990136900044,900,nominal_open
2021-05-25,09:25,BUY,100,12.56,1256.628,5.02513256,0.0,2.6458811300044545,1000,nominal_open
