date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-09,15:00,SELL,1000,18.3,18290.850000000002,23.656667000000002,0.0,23781.193333000003,0,close_proxy
2020-01-10,09:25,BUY,1000,18.41,18419.204999999998,5.3683841,0.0,5356.619948900006,1000,open_proxy
2020-01-13,15:00,SELL,1000,18.61,18600.695,23.9727089,0.0,23933.342240000005,0,close_proxy
2020-01-14,09:25,BUY,1000,18.65,18659.325,5.3731865,0.0,5268.644053500004,1000,open_proxy
2020-01-17,15:00,SELL,1000,18.99,18980.505,24.3601151,0.0,24224.788938400005,0,close_proxy
2020-01-20,09:25,BUY,1000,18.88,18889.44,5.3777888,0.0,5329.971149600005,1000,open_proxy
2020-01-22,15:00,SELL,1000,20.85,20839.575,26.256366500000002,0.0,26143.289783100005,0,close_proxy
2020-01-23,09:25,BUY,1000,20.5,20510.25,5.410205,0.0,5627.629578100004,1000,open_proxy
2020-02-10,15:00,SELL,1000,18.91,18900.545000000002,24.278555900000004,0.0,24503.896022200006,0,close_proxy
2020-02-11,09:25,BUY,1000,18.81,18819.405,5.3763881,0.0,5679.114634100006,1000,open_proxy
2020-02-17,15:00,SELL,1000,19.19,19180.405000000002,24.564013100000004,0.0,24834.95562100001,0,close_proxy
2020-02-18,09:25,BUY,1000,19.2,19209.6,5.384192,0.0,5619.971429000008,1000,open_proxy
2020-02-20,15:00,SELL,1000,18.81,18800.595,24.176606900000003,0.0,24396.38982210001,0,close_proxy
2020-02-21,09:25,BUY,1000,18.67,18679.335,5.3735867,0.0,5711.68123540001,1000,open_proxy
2020-03-10,15:00,SELL,1000,16.59,16581.705,21.9133391,0.0,22271.472896300013,0,close_proxy
2020-03-11,09:25,BUY,1000,16.67,16678.335,5.3335667,0.0,5587.804329600014,1000,open_proxy
2020-03-24,15:00,SELL,1000,13.02,13013.490000000002,18.2737598,0.0,18583.020569800014,0,close_proxy
2020-03-25,09:25,BUY,1000,13.4,13406.699999999999,5.268134,0.0,5171.052435800015,1000,open_proxy
2020-04-02,15:00,SELL,1000,13.98,13973.01,19.2524702,0.0,19124.809965600016,0,close_proxy
2020-04-03,09:25,BUY,1000,13.9,13906.949999999999,5.278139,0.0,5212.581826600017,1000,open_proxy
2020-04-14,15:00,SELL,1000,13.81,13803.095000000001,19.0791569,0.0,18996.59766970002,0,close_proxy
2020-04-15,09:25,BUY,1000,13.81,13816.904999999999,5.2763381,0.0,5174.4163316000195,1000,open_proxy
2020-04-16,15:00,SELL,1000,14.05,14042.975,19.323834500000004,0.0,19198.06749710002,0,close_proxy
2020-04-17,09:25,BUY,1000,14.22,14227.109999999999,5.2845422,0.0,4965.672954900021,1000,open_proxy
2020-04-20,15:00,SELL,1000,14.47,14462.765000000001,19.7520203,0.0,19408.68593460002,0,close_proxy
2020-04-21,09:25,BUY,1000,14.3,14307.15,5.286143,0.0,5096.249791600021,1000,open_proxy
2020-04-22,15:00,SELL,1000,14.06,14052.970000000001,19.334029400000002,0.0,19129.88576220002,0,close_proxy
2020-04-23,09:25,BUY,1000,14.25,14257.125,5.2851425,0.0,4867.475619700021,1000,open_proxy
2020-04-28,15:00,SELL,1000,14.21,14202.895,19.486952900000002,0.0,19050.883666800022,0,close_proxy
2020-04-29,09:25,BUY,1000,14.16,14167.08,5.2833416,0.0,4878.520325200023,1000,open_proxy
2020-04-30,15:00,SELL,1000,14.69,14682.655,19.976308100000004,0.0,19541.19901710002,0,close_proxy
2020-05-06,09:25,BUY,1000,14.43,14437.214999999998,5.2887443,0.0,5098.695272800023,1000,open_proxy
2020-05-26,15:00,SELL,1000,13.5,13493.25,18.763115,0.0,18573.182157800024,0,close_proxy
2020-05-27,09:25,BUY,1000,13.56,13566.779999999999,5.2713356000000005,0.0,5001.130822200024,1000,open_proxy
2020-06-01,15:00,SELL,1000,13.88,13873.060000000001,19.1505212,0.0,18855.040301000026,0,close_proxy
2020-06-02,09:25,BUY,1000,13.9,13906.949999999999,5.278139,0.0,4942.8121620000275,1000,open_proxy
2020-06-16,15:00,SELL,1000,14.03,14022.985,19.3034447,0.0,18946.49371730003,0,close_proxy
2020-06-17,09:25,BUY,1000,13.97,13976.984999999999,5.2795397,0.0,4964.229177600029,1000,open_proxy
2020-06-24,15:00,SELL,1000,15.52,15512.240000000002,20.822484800000005,0.0,20455.64669280003,0,close_proxy
2020-06-29,09:25,BUY,1000,15.49,15497.744999999999,5.3099549,0.0,4952.591737900031,1000,open_proxy
2020-07-02,15:00,SELL,1000,15.61,15602.195000000002,20.9142389,40.0,20493.872499000034,0,close_proxy
2020-07-03,09:25,BUY,1000,15.65,15657.824999999999,5.3131565,0.0,4830.7343425000345,1000,open_proxy
2020-07-13,15:00,SELL,1000,16.5,16491.75,21.821585000000002,0.0,21300.66275750003,0,close_proxy
2020-07-14,09:25,BUY,1000,16.53,16538.265,5.3307653,0.0,4757.066992200031,1000,open_proxy
2020-07-20,15:00,SELL,1000,15.29,15282.355000000001,20.588002100000004,0.0,20018.833990100033,0,close_proxy
2020-07-21,09:25,BUY,1000,15.4,15407.699999999999,5.308154,0.0,4605.8258361000335,1000,open_proxy
2020-07-29,15:00,SELL,1000,14.51,14502.745,19.792799900000002,0.0,19088.778036200034,0,close_proxy
2020-07-30,09:25,BUY,1000,14.51,14517.255,5.2903451,0.0,4566.232691100035,1000,open_proxy
2020-08-12,15:00,SELL,1000,15.14,15132.43,20.4350786,0.0,19678.227612500035,0,close_proxy
2020-08-13,09:25,BUY,1000,15.27,15277.634999999998,5.3055527,0.0,4395.287059800037,1000,open_proxy
2020-08-17,15:00,SELL,1000,15.28,15272.36,20.577807200000002,0.0,19647.06925260004,0,close_proxy
2020-08-18,09:25,BUY,1000,15.3,15307.65,5.306153,0.0,4334.113099600039,1000,open_proxy
2020-08-28,15:00,SELL,1000,14.75,14742.625,20.0374775,0.0,19056.70062210004,0,close_proxy
2020-08-31,09:25,BUY,1000,14.84,14847.42,5.2969484,0.0,4203.9836737000405,1000,open_proxy
2020-09-08,15:00,SELL,1000,14.21,14202.895,19.486952900000002,0.0,18387.391720800042,0,close_proxy
2020-09-09,09:25,BUY,1000,14.06,14067.029999999999,5.2813406,0.0,4315.080380200043,1000,open_proxy
2020-09-11,15:00,SELL,1000,13.62,13613.19,18.8854538,0.0,17909.384926400046,0,close_proxy
2020-09-14,09:25,BUY,1000,13.62,13626.81,5.2725362,0.0,4277.302390200046,1000,open_proxy
2020-09-18,15:00,SELL,1000,13.82,13813.09,19.089351800000003,0.0,18071.303038400045,0,close_proxy
2020-09-21,09:25,BUY,1000,13.81,13816.904999999999,5.2763381,0.0,4249.121700300046,1000,open_proxy
2020-10-15,15:00,SELL,1000,13.75,13743.125,19.0179875,0.0,17973.228712800046,0,close_proxy
2020-10-16,09:25,BUY,1000,13.88,13886.939999999999,5.2777388,0.0,4081.010974000048,1000,open_proxy
2020-10-20,15:00,SELL,1000,13.85,13843.075,19.1199365,0.0,17904.96603750005,0,close_proxy
2020-10-21,09:25,BUY,1000,13.82,13826.91,5.2765382,0.0,4072.77949930005,1000,open_proxy
