id,other,intersection
S0,S0,1623
S0,S1_F1,341
S0,S1_F2,375
S0,S1_F3,295
S0,S1_F4,237
S0,S1_F5,192
S0,S1_F6,603
S0,S1_F7,764
S0,S1_F8,342
S0,S2_F1,310
S0,S2_F2,411
S0,S2_F3,294
S0,S2_F4,244
S0,S2_F5,190
S0,S2_F6,599
S0,S2_F7,0
S1_F1,S0,341
S1_F1,S1_F1,341
S1_F1,S1_F2,0
S1_F1,S1_F3,107
S1_F1,S1_F4,26
S1_F1,S1_F5,69
S1_F1,S1_F6,92
S1_F1,S1_F7,265
S1_F1,S1_F8,67
S1_F1,S2_F1,49
S1_F1,S2_F2,97
S1_F1,S2_F3,103
S1_F1,S2_F4,17
S1_F1,S2_F5,53
S1_F1,S2_F6,101
S1_F1,S2_F7,0
S1_F2,S0,375
S1_F2,S1_F1,0
S1_F2,S1_F2,375
S1_F2,S1_F3,30
S1_F2,S1_F4,97
S1_F2,S1_F5,37
S1_F2,S1_F6,138
S1_F2,S1_F7,65
S1_F2,S1_F8,90
S1_F2,S2_F1,93
S1_F2,S2_F2,76
S1_F2,S2_F3,34
S1_F2,S2_F4,96
S1_F2,S2_F5,42
S1_F2,S2_F6,167
S1_F2,S2_F7,0
S1_F3,S0,295
S1_F3,S1_F1,107
S1_F3,S1_F2,30
S1_F3,S1_F3,295
S1_F3,S1_F4,0
S1_F3,S1_F5,101
S1_F3,S1_F6,21
S1_F3,S1_F7,218
S1_F3,S1_F8,80
S1_F3,S2_F1,42
S1_F3,S2_F2,78
S1_F3,S2_F3,170
S1_F3,S2_F4,8
S1_F3,S2_F5,60
S1_F3,S2_F6,46
S1_F3,S2_F7,0
S1_F4,S0,237
S1_F4,S1_F1,26
S1_F4,S1_F2,97
S1_F4,S1_F3,0
S1_F4,S1_F4,237
S1_F4,S1_F5,28
S1_F4,S1_F6,84
S1_F4,S1_F7,55
S1_F4,S1_F8,37
S1_F4,S2_F1,59
S1_F4,S2_F2,56
S1_F4,S2_F3,11
S1_F4,S2_F4,125
S1_F4,S2_F5,21
S1_F4,S2_F6,108
S1_F4,S2_F7,0
S1_F5,S0,192
S1_F5,S1_F1,69
S1_F5,S1_F2,37
S1_F5,S1_F3,101
S1_F5,S1_F4,28
S1_F5,S1_F5,192
S1_F5,S1_F6,0
S1_F5,S1_F7,128
S1_F5,S1_F8,41
S1_F5,S2_F1,35
S1_F5,S2_F2,49
S1_F5,S2_F3,82
S1_F5,S2_F4,32
S1_F5,S2_F5,71
S1_F5,S2_F6,5
S1_F5,S2_F7,0
S1_F6,S0,603
S1_F6,S1_F1,92
S1_F6,S1_F2,138
S1_F6,S1_F3,21
