account,dependency,date,clock,quantity,reference,fee,day_qc,available_at
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2020-03-04,13:05,100,16.85,5.03371685,True,after15:00_or_unknown_provider_latency
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2021-05-28,13:50,100,12.34,5.02469234,True,after15:00_or_unknown_provider_latency
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2021-07-02,11:05,100,12.02,5.02405202,True,after15:00_or_unknown_provider_latency
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2021-07-14,10:10,100,11.79,5.02359179,True,after15:00_or_unknown_provider_latency
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2021-07-16,10:25,100,11.63,5.02327163,True,after15:00_or_unknown_provider_latency
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2021-07-23,09:40,100,11.58,5.02317158,True,after15:00_or_unknown_provider_latency
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2021-08-11,13:10,100,11.85,5.02371185,True,after15:00_or_unknown_provider_latency
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2021-08-30,14:00,100,11.45,5.02291145,True,after15:00_or_unknown_provider_latency
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2022-03-08,10:50,100,10.69,5.02139069,True,after15:00_or_unknown_provider_latency
S0_0_locked,actual_intraday_fill_conditioned_on_full_day_QC,2022-10-10,13:25,100,8.23,5.008234115,True,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-09,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-10,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-11,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-14,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-15,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-16,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-17,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-18,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-21,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-22,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-23,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-24,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-25,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-29,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-08-31,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-01,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-04,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-05,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-08,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-11,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-12,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-15,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-18,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-19,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-20,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-21,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-22,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-25,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-26,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-27,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-09-28,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-09,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-10,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-11,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2023-10-12,,100,,,False,after15:00_or_unknown_provider_latency
