account,intraday_buy_orders,intraday_quantity,intraday_fees,suppressed_window_exposure_days,first_intraday,classification
S0_0_locked,10,1000,50.228744315,526,2020-03-04,retrospective_QC_dependency
S0_0_nominal,0,0,0.0,513,,retrospective_QC_dependency
S0_0_restricted,13,1300,65.30293139,525,2020-03-04,retrospective_QC_dependency
S0_10_locked,11,1100,55.255857865,526,2020-07-16,retrospective_QC_dependency
S0_10_nominal,0,0,0.0,520,,retrospective_QC_dependency
S0_10_restricted,12,1200,60.272236050000004,525,2020-07-16,retrospective_QC_dependency
S0_30_locked,8,800,40.170715314999995,526,2021-07-02,retrospective_QC_dependency
S0_30_nominal,0,0,0.0,513,,retrospective_QC_dependency
S0_30_restricted,7,700,35.162481199999995,520,2021-07-02,retrospective_QC_dependency
S1_F1_0_locked,10,1000,50.231365624999995,526,2020-03-04,retrospective_QC_dependency
S1_F1_0_nominal,0,0,0.0,512,,retrospective_QC_dependency
S1_F1_0_restricted,12,1200,60.30335159999999,513,2020-03-04,retrospective_QC_dependency
S1_F1_10_locked,1,100,5.00886443,526,2022-09-19,retrospective_QC_dependency
S1_F1_10_nominal,0,0,0.0,495,,retrospective_QC_dependency
S1_F1_10_restricted,1,100,5.01088544,497,2023-03-07,retrospective_QC_dependency
S1_F1_30_locked,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S1_F1_30_nominal,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S1_F1_30_restricted,0,0,0.0,0,,no_intraday_or_suppressed_exposure
S1_F2_0_locked,8,800,40.195357630000004,526,2020-02-28,retrospective_QC_dependency
S1_F2_0_nominal,0,0,0.0,506,,retrospective_QC_dependency
S1_F2_0_restricted,12,1200,60.293026440000006,526,2020-02-28,retrospective_QC_dependency
S1_F2_10_locked,3,300,15.04872435,526,2022-03-09,retrospective_QC_dependency
S1_F2_10_nominal,0,0,0.0,526,,retrospective_QC_dependency
S1_F2_10_restricted,1,100,5.02151075,506,2022-03-08,retrospective_QC_dependency
S1_F2_30_locked,1,100,5.02537268,251,2023-07-18,retrospective_QC_dependency
S1_F2_30_nominal,0,0,0.0,495,,retrospective_QC_dependency
S1_F2_30_restricted,0,0,0.0,495,,retrospective_QC_dependency
S1_F3_0_locked,2,200,10.02817408,514,2023-05-05,retrospective_QC_dependency
S1_F3_0_nominal,0,0,0.0,516,,retrospective_QC_dependency
S1_F3_0_restricted,4,400,20.06665331,474,2023-06-08,retrospective_QC_dependency
S1_F3_10_locked,0,0,0.0,501,,retrospective_QC_dependency
S1_F3_10_nominal,0,0,0.0,465,,retrospective_QC_dependency
S1_F3_10_restricted,1,100,5.015117555,449,2023-12-14,retrospective_QC_dependency
S1_F3_30_locked,0,0,0.0,417,,retrospective_QC_dependency
S1_F3_30_nominal,0,0,0.0,220,,retrospective_QC_dependency
S1_F3_30_restricted,1,100,5.020320155,217,2025-06-18,retrospective_QC_dependency
S1_F4_0_locked,8,800,40.160510215,526,2020-03-09,retrospective_QC_dependency
S1_F4_0_nominal,0,0,0.0,462,,retrospective_QC_dependency
S1_F4_0_restricted,7,700,35.171675795000006,526,2020-03-09,retrospective_QC_dependency
S1_F4_10_locked,6,600,30.102641294999998,526,2021-05-24,retrospective_QC_dependency
S1_F4_10_nominal,0,0,0.0,192,,retrospective_QC_dependency
S1_F4_10_restricted,4,400,20.071065515,431,2023-11-24,retrospective_QC_dependency
S1_F4_30_locked,3,300,15.044392185,463,2023-11-24,retrospective_QC_dependency
S1_F4_30_nominal,0,0,0.0,239,,retrospective_QC_dependency
S1_F4_30_restricted,0,0,0.0,239,,retrospective_QC_dependency
S1_F5_0_locked,1,100,5.01534767,526,2023-05-04,retrospective_QC_dependency
