scenario,date,cash,receivable,shares,buy_quantity,sell_quantity,restoration_missing_shares,relative_equity
S1_F1_30_paid_open_10,2023-08-23,23762.998575000263,0.0,0,0,1000,0,-4591.001424999737
S1_F1_30_paid_open_10,2023-08-24,1235.2733500002687,0.0,1000,1000,0,0,-5778.726649999731
S1_F1_30_paid_open_10,2023-08-25,1235.2733500002687,0.0,1000,0,0,0,-5778.726649999731
S1_F1_30_paid_open_10,2023-08-28,1235.2733500002687,0.0,1000,0,0,0,-5778.726649999731
S1_F1_30_locked_open_10,2023-08-23,22462.998575000263,1300.0,0,0,1000,0,-4591.001424999737
S1_F1_30_locked_open_10,2023-08-24,2187.545872500268,1300.0,900,900,0,100,-5769.454127499732
S1_F1_30_locked_open_10,2023-08-25,60.40465130026814,1300.0,1000,100,0,0,-5653.595348699731
S1_F1_30_locked_open_10,2023-08-28,60.40465130026814,1300.0,1000,0,0,0,-5653.595348699731
S1_F1_30_paid_post0935_10,2023-03-23,17788.103282800213,0.0,0,0,1000,0,-5665.8967171997865
S1_F1_30_paid_post0935_10,2023-03-24,635.801811500216,0.0,1000,1000,0,0,-5828.198188499784
S1_F1_30_paid_post0935_10,2023-03-27,18225.383317800213,0.0,0,0,1000,0,-5868.616682199787
S1_F1_30_paid_post0935_10,2023-03-28,1233.2434481002165,0.0,1000,1000,0,0,-5230.756551899784
S1_F1_30_locked_post0935_10,2023-03-23,17038.103282800213,750.0,0,0,1000,0,-5665.8967171997865
S1_F1_30_locked_post0935_10,2023-03-24,1600.5319586302155,750.0,900,900,0,100,-5879.468041369786
S1_F1_30_locked_post0935_10,2023-03-27,1600.5319586302155,750.0,900,0,0,100,-5876.468041369786
S1_F1_30_locked_post0935_10,2023-03-28,1600.5319586302155,750.0,900,0,0,100,-5758.468041369786
S0_30_paid_open_5,2021-07-27,1382.3933138302946,0.0,900,0,0,100,-5754.606686169705
S0_30_paid_open_5,2021-07-28,248.8067425502948,0.0,1000,100,0,0,-5760.193257449706
S0_30_paid_open_5,2021-07-29,11172.107547450296,0.0,0,0,1000,0,-5781.892452549704
S0_30_paid_open_5,2021-07-30,201.4082378502972,0.0,1000,1000,0,0,-5762.591762149703
S0_30_locked_open_5,2021-07-27,1157.3933138302946,225.0,900,0,0,100,-5754.606686169705
S0_30_locked_open_5,2021-07-28,1157.3933138302946,225.0,900,0,0,100,-5726.606686169705
S0_30_locked_open_5,2021-07-29,46.81870278029464,225.0,1000,100,0,0,-5737.181297219706
S0_30_locked_open_5,2021-07-30,11199.770024980297,225.0,0,0,1000,0,-5759.229975019705
S0_30_paid_open_10,2021-07-27,1383.936648900206,0.0,900,0,0,100,-5753.063351099794
S0_30_paid_open_10,2021-07-28,249.78606634020596,0.0,1000,100,0,0,-5759.213933659794
S0_30_paid_open_10,2021-07-29,11167.597476140209,0.0,0,0,1000,0,-5786.402523859793
S0_30_paid_open_10,2021-07-30,191.41805694020692,0.0,1000,1000,0,0,-5772.581943059793
S0_30_locked_open_10,2021-07-27,1158.936648900206,225.0,900,0,0,100,-5753.063351099794
S0_30_locked_open_10,2021-07-28,1158.936648900206,225.0,900,0,0,100,-5725.063351099794
S0_30_locked_open_10,2021-07-29,47.809526800206186,225.0,1000,100,0,0,-5736.190473199793
S0_30_locked_open_10,2021-07-30,11195.156571200208,225.0,0,0,1000,0,-5763.843428799792
S0_30_paid_post0935_5,2021-12-15,12140.351504800345,0.0,0,0,1000,0,-5693.648495199655
S0_30_paid_post0935_5,2021-12-16,199.14778550034495,0.0,1000,1000,0,0,-5764.852214499655
S0_30_paid_post0935_5,2021-12-17,12315.701176900346,0.0,0,0,1000,0,-5788.298823099654
S0_30_paid_post0935_5,2021-12-20,114.3622550003456,0.0,1000,1000,0,0,-5849.637744999654
S0_30_locked_post0935_5,2021-12-15,11890.351504800345,250.0,0,0,1000,0,-5693.648495199655
S0_30_locked_post0935_5,2021-12-16,1142.768157430346,250.0,900,900,0,100,-5776.231842569654
S0_30_locked_post0935_5,2021-12-17,1142.768157430346,250.0,900,0,0,100,-5785.231842569654
S0_30_locked_post0935_5,2021-12-20,1142.768157430346,250.0,900,0,0,100,-5781.231842569654
S0_30_paid_post0935_10,2021-07-27,1329.6488347002503,0.0,900,0,0,100,-5784.8511652997495
S0_30_paid_post0935_10,2021-07-28,195.49825214025051,0.0,1000,100,0,0,-5791.001747859749
S0_30_paid_post0935_10,2021-07-29,11135.809661940251,0.0,0,0,1000,0,-5818.190338059749
S0_30_paid_post0935_10,2021-07-30,289.762845340254,0.0,1000,1000,0,0,-5674.237154659746
S0_30_locked_post0935_10,2021-07-27,1104.6488347002503,225.0,900,0,0,100,-5784.8511652997495
S0_30_locked_post0935_10,2021-07-28,1104.6488347002503,225.0,900,0,0,100,-5756.8511652997495
S0_30_locked_post0935_10,2021-07-29,1104.6488347002503,225.0,900,0,0,100,-5755.8511652997495
S0_30_locked_post0935_10,2021-07-30,1104.6488347002503,225.0,900,0,0,100,-5778.8511652997495
