date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,23851.8911476,0,0,0,0.0,23.7288524,0.0,0.0,0,1000,0,23844.0,23844.0,23851.8911476,23844.0,23844.0,23894.0,-42.108852400000615,0.0
2020-01-03,5358.051378200002,0,1000,1000,0.0,5.3697694,0.0,0.0,1000,0,0,23851.8911476,23828.0513782,23578.0513782,24004.0,23984.0,23734.0,-155.94862179999836,0.0
2020-01-06,5358.051378200002,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23368.0513782,23368.0513782,23258.0513782,23524.0,23524.0,23414.0,-155.94862179999836,0.0
2020-01-07,5358.051378200002,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23278.0513782,23278.0513782,23218.0513782,23434.0,23434.0,23374.0,-155.94862179999836,0.0
2020-01-08,5358.051378200002,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22978.0513782,22978.0513782,22878.0513782,23134.0,23134.0,23034.0,-155.94862179999836,0.0
2020-01-09,5358.051378200002,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23008.0513782,23008.0513782,23658.0513782,23164.0,23164.0,23814.0,-155.94862179999836,0.0
2020-01-10,23346.649168800002,0,0,0,0.0,23.372209400000003,0.0,0.0,0,1000,0,23768.0513782,23768.0513782,23346.649168800002,23924.0,23924.0,23544.0,-197.35083119999763,0.0
2020-01-13,5473.441811800003,0,1000,1000,0.0,5.357357,0.0,0.0,1000,0,0,23346.649168800002,23323.441811800003,24083.441811800003,23534.0,23364.0,24124.0,-40.55818819999695,0.0
2020-01-14,23821.312769600005,0,0,0,0.0,23.739042200000004,0.0,0.0,0,1000,0,24123.441811800003,24123.441811800003,23821.312769600005,24164.0,24164.0,23904.0,-82.68723039999531,0.0
2020-01-15,5287.432199400006,0,1000,1000,0.0,5.3705702,0.0,0.0,1000,0,0,23821.312769600005,23797.432199400006,23987.432199400006,23864.0,24024.0,24214.0,-226.56780059999437,0.0
2020-01-16,23655.262777600004,0,0,0,0.0,23.759421800000002,0.0,0.0,0,1000,0,23937.432199400006,23937.432199400006,23655.262777600004,24164.0,24164.0,23924.0,-268.7372223999955,0.0
2020-01-17,5231.494409600007,0,1000,1000,0.0,5.368368,0.0,0.0,1000,0,0,23655.262777600004,23631.494409600007,24221.494409600007,23924.0,23914.0,24504.0,-282.5055903999928,0.0
2020-01-20,24527.447336400008,0,0,0,0.0,24.7070732,0.0,0.0,0,1000,0,24111.494409600007,24111.494409600007,24527.447336400008,24394.0,24394.0,24854.0,-326.55266359999223,0.0
2020-01-21,5242.801751200008,0,1000,1000,0.0,5.3855852,0.0,0.0,1000,0,0,24527.447336400008,24502.801751200008,24332.801751200008,24714.0,24774.0,24604.0,-271.19824879999214,0.0
2020-01-22,5242.801751200008,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24142.801751200008,24142.801751200008,26092.801751200008,24414.0,24414.0,26364.0,-271.19824879999214,0.0
2020-01-23,25197.422151200008,0,0,0,0.0,25.3796,0.0,0.0,0,1000,0,25742.801751200008,25742.801751200008,25197.422151200008,26014.0,26014.0,25514.0,-316.57784879999235,0.0
2020-02-03,7174.0617912000125,0,1000,1000,0.0,5.36036,0.0,0.0,1000,0,0,25197.422151200008,25174.061791200013,25174.061791200013,23514.0,23514.0,23514.0,1660.0617912000125,0.0
2020-02-04,7174.0617912000125,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24274.061791200013,24274.061791200013,25194.061791200013,22614.0,22614.0,23534.0,1660.0617912000125,0.0
2020-02-05,7174.0617912000125,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25334.061791200013,25334.061791200013,25864.061791200013,23674.0,23674.0,24204.0,1660.0617912000125,0.0
2020-02-06,7174.0617912000125,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25714.061791200013,25714.061791200013,26094.061791200013,24054.0,24054.0,24434.0,1660.0617912000125,0.0
2020-02-07,7174.0617912000125,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,27074.061791200013,27074.061791200013,26474.061791200013,25414.0,25414.0,24814.0,1660.0617912000125,0.0
2020-02-10,7174.0617912000125,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26074.061791200013,26074.061791200013,26084.061791200013,24414.0,24414.0,24424.0,1660.0617912000125,0.0
2020-02-11,26360.236805800014,0,0,0,0.0,24.594985400000002,0.0,0.0,0,1000,0,25984.061791200013,25984.061791200013,26360.236805800014,24324.0,24324.0,24744.0,1616.2368058000138,0.0
2020-02-12,7415.938027400014,0,1000,1000,0.0,5.3787784,0.0,0.0,1000,0,0,26360.236805800014,26335.938027400014,26565.938027400014,24594.0,24434.0,24664.0,1901.938027400014,0.0
2020-02-13,7415.938027400014,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26525.938027400014,26525.938027400014,25835.938027400014,24624.0,24624.0,23934.0,1901.938027400014,0.0
2020-02-14,7415.938027400014,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25675.938027400014,25675.938027400014,25765.938027400014,23774.0,23774.0,23864.0,1901.938027400014,0.0
2020-02-17,7415.938027400014,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25855.938027400014,25855.938027400014,26605.938027400014,23954.0,23954.0,24704.0,1901.938027400014,0.0
2020-02-18,26222.880254400017,0,0,0,0.0,24.207773000000003,0.0,0.0,0,1000,0,26615.938027400014,26615.938027400014,26222.880254400017,24714.0,24714.0,24364.0,1858.8802544000173,0.0
2020-02-19,7578.88748200002,0,1000,1000,0.0,5.3727724,0.0,0.0,1000,0,0,26222.880254400017,26198.88748200002,26068.88748200002,24164.0,24134.0,24004.0,2064.88748200002,0.0
2020-02-20,7578.88748200002,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26168.88748200002,26168.88748200002,26388.88748200002,24104.0,24104.0,24324.0,2064.88748200002,0.0
2020-02-21,7578.88748200002,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26248.88748200002,26248.88748200002,27178.88748200002,24184.0,24184.0,25114.0,2064.88748200002,0.0
2020-02-24,27673.225224800022,0,0,0,0.0,25.522257200000002,0.0,0.0,0,1000,0,27328.88748200002,27328.88748200002,27673.225224800022,25264.0,25264.0,25654.0,2019.2252248000223,0.0
2020-02-25,7687.865625600025,0,1000,1000,0.0,5.3995992,0.0,0.0,1000,0,0,27673.225224800022,27647.865625600025,27647.865625600025,25164.0,25474.0,25474.0,2173.865625600025,0.0
2020-02-26,7687.865625600025,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,27237.865625600025,27237.865625600025,26397.865625600025,25064.0,25064.0,24224.0,2173.865625600025,0.0
2020-02-27,7687.865625600025,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,26327.865625600025,26327.865625600025,26587.865625600025,24154.0,24154.0,24414.0,2173.865625600025,0.0
2020-02-28,24728.381447200023,0,0,0,0.0,22.4041784,0.0,0.0,0,1000,0,25767.865625600025,25767.865625600025,24728.381447200023,23594.0,23594.0,22594.0,2134.381447200023,0.0
2020-03-02,7535.867703800024,0,1000,1000,0.0,5.3437434,0.0,0.0,1000,0,0,24728.381447200023,24705.867703800024,24975.867703800024,22814.0,22684.0,22954.0,2021.8677038000242,0.0
2020-03-03,7535.867703800024,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,25365.867703800024,25365.867703800024,24975.867703800024,23344.0,23344.0,22954.0,2021.8677038000242,0.0
2020-03-04,7535.867703800024,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24765.867703800024,24765.867703800024,24295.867703800024,22744.0,22744.0,22274.0,2021.8677038000242,0.0
2020-03-05,7535.867703800024,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24635.867703800024,24635.867703800024,24695.867703800024,22614.0,22614.0,22674.0,2021.8677038000242,0.0
2020-03-06,7535.867703800024,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24365.867703800024,24365.867703800024,24525.867703800024,22344.0,22344.0,22504.0,2021.8677038000242,0.0
2020-03-09,7535.867703800024,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,24215.867703800024,24215.867703800024,23715.867703800024,22194.0,22194.0,21694.0,2021.8677038000242,0.0
2020-03-10,7535.867703800024,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23515.867703800024,23515.867703800024,24125.867703800024,21494.0,21494.0,22104.0,2021.8677038000242,0.0
2020-03-11,24037.473774600025,0,0,0,0.0,21.8539292,0.0,0.0,0,1000,0,24205.867703800024,24205.867703800024,24037.473774600025,22184.0,22184.0,22054.0,1983.4737746000246,0.0
2020-03-12,7705.837248400028,0,1000,1000,0.0,5.3265262,0.0,0.0,1000,0,0,24037.473774600025,24015.83724840003,23805.83724840003,21764.0,21824.0,21614.0,2191.8372484000283,0.0
2020-03-13,7705.837248400028,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22885.83724840003,22885.83724840003,23355.83724840003,20694.0,20694.0,21164.0,2191.8372484000283,0.0
2020-03-16,7705.837248400028,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23385.83724840003,23385.83724840003,22005.83724840003,21194.0,21194.0,19814.0,2191.8372484000283,0.0
2020-03-17,7705.837248400028,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,22095.83724840003,22095.83724840003,21615.83724840003,19904.0,19904.0,19424.0,2191.8372484000283,0.0
2020-03-18,7705.837248400028,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21755.83724840003,21755.83724840003,21265.83724840003,19564.0,19564.0,19074.0,2191.8372484000283,0.0
2020-03-19,7705.837248400028,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21255.83724840003,21255.83724840003,21215.83724840003,19064.0,19064.0,19024.0,2191.8372484000283,0.0
2020-03-20,7705.837248400028,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21385.83724840003,21385.83724840003,21275.83724840003,19194.0,19194.0,19084.0,2191.8372484000283,0.0
2020-03-23,7705.837248400028,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20805.83724840003,20805.83724840003,20225.83724840003,18614.0,18614.0,18034.0,2191.8372484000283,0.0
2020-03-24,7705.837248400028,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20455.83724840003,20455.83724840003,20725.83724840003,18264.0,18264.0,18534.0,2191.8372484000283,0.0
2020-03-25,21223.48006940003,0,0,0,0.0,18.807179,0.0,0.0,0,1000,0,21105.83724840003,21105.83724840003,21223.48006940003,18914.0,18914.0,19064.0,2159.4800694000296,0.0
2020-03-26,7854.862802400032,0,1000,1000,0.0,5.267267,0.0,0.0,1000,0,0,21223.48006940003,21204.86280240003,21144.86280240003,18924.0,18864.0,18804.0,2340.862802400032,0.0
2020-03-27,7854.862802400032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21354.86280240003,21354.86280240003,20924.86280240003,19014.0,19014.0,18584.0,2340.862802400032,0.0
2020-03-30,7854.862802400032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20694.86280240003,20694.86280240003,20674.86280240003,18354.0,18354.0,18334.0,2340.862802400032,0.0
2020-03-31,7854.862802400032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21144.86280240003,21144.86280240003,21064.86280240003,18804.0,18804.0,18724.0,2340.862802400032,0.0
2020-04-01,7854.862802400032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20984.86280240003,20984.86280240003,21264.86280240003,18644.0,18644.0,18924.0,2340.862802400032,0.0
2020-04-02,7854.862802400032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21194.86280240003,21194.86280240003,21834.86280240003,18854.0,18854.0,19494.0,2340.862802400032,0.0
2020-04-03,21781.67784160003,0,0,0,0.0,19.2249608,0.0,0.0,0,1000,0,21754.86280240003,21754.86280240003,21781.67784160003,19414.0,19414.0,19474.0,2307.6778416000307,0.0
2020-04-07,7612.244558600032,0,1000,1000,0.0,5.283283,0.0,0.0,1000,0,0,21781.67784160003,21762.244558600032,21762.244558600032,19864.0,19664.0,19664.0,2098.244558600032,0.0
2020-04-08,7612.244558600032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21662.244558600032,21662.244558600032,21752.244558600032,19564.0,19564.0,19654.0,2098.244558600032,0.0
2020-04-09,7612.244558600032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21782.244558600032,21782.244558600032,21562.244558600032,19684.0,19684.0,19464.0,2098.244558600032,0.0
2020-04-10,7612.244558600032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21552.244558600032,21552.244558600032,21232.244558600032,19454.0,19454.0,19134.0,2098.244558600032,0.0
2020-04-13,7612.244558600032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,21052.244558600032,21052.244558600032,20762.244558600032,18954.0,18954.0,18664.0,2098.244558600032,0.0
2020-04-14,7612.244558600032,0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,20892.244558600032,20892.244558600032,21422.244558600032,18794.0,18794.0,19324.0,2098.244558600032,0.0
2020-04-15,21449.241306000033,0,0,0,0.0,19.1332526,0.0,0.0,0,1000,0,21422.244558600032,21422.244558600032,21449.241306000033,19324.0,19324.0,19384.0,2065.2413060000326,0.0
2020-04-16,7810.348633600033,0,1000,1000,0.0,5.2726724,0.0,0.0,1000,0,0,21449.241306000033,21430.348633600035,21860.348633600035,19264.0,19134.0,19564.0,2296.348633600035,0.0
2020-04-17,21767.103103400033,0,0,0,0.0,19.255530200000003,0.0,0.0,0,1000,0,22030.348633600035,22030.348633600035,21767.103103400033,19734.0,19734.0,19504.0,2263.1031034000334,0.0
