scenario,first_order_difference,changed_orders,changed_daily_fields,first_daily_difference,order_equal
S0_0_paid_open_5,2020-03-04,104,10045,2020-03-04,False
S0_0_locked_open_5,2020-03-04,78,11122,2020-03-04,False
S0_10_paid_open_5,2020-07-16,111,9453,2020-07-16,False
S0_10_locked_open_5,2020-07-16,104,10789,2020-07-16,False
S0_30_paid_open_5,2021-07-02,100,7910,2021-07-02,False
S0_30_locked_open_5,2021-07-02,62,9046,2021-07-02,False
S1_F1_0_paid_open_5,2020-03-04,37,9592,2020-03-04,False
S1_F1_0_locked_open_5,2020-03-04,31,9644,2020-03-04,False
S1_F1_10_paid_open_5,2023-03-07,4,5108,2023-03-07,False
S1_F1_10_locked_open_5,2022-09-19,2,5800,2022-09-19,False
S1_F1_30_paid_open_5,,0,0,,True
S1_F1_30_locked_open_5,,0,0,,True
S2_F2_0_paid_open_5,2020-03-16,27,9484,2020-03-16,False
S2_F2_0_locked_open_5,2020-03-16,10,9502,2020-03-16,False
S2_F2_10_paid_open_5,2021-07-02,34,7734,2021-07-02,False
S2_F2_10_locked_open_5,2021-05-24,40,8094,2021-05-24,False
S2_F2_30_paid_open_5,,0,0,,True
S2_F2_30_locked_open_5,2023-06-27,316,7924,2023-06-27,False
S1_F1_30_paid_open_10,2020-01-02,572,8690,2020-01-02,False
S1_F1_30_paid_post0935_5,2020-01-03,572,8664,2020-01-03,False
S1_F1_30_paid_post0935_10,2020-01-02,858,8965,2020-01-02,False
S1_F1_30_locked_open_10,2020-01-02,575,12237,2020-01-02,False
S1_F1_30_locked_post0935_5,2020-01-03,572,8664,2020-01-03,False
S1_F1_30_locked_post0935_10,2020-01-02,722,13380,2020-01-02,False
S0_30_paid_open_10,2020-01-02,493,10934,2020-01-02,False
S0_30_paid_post0935_5,2020-01-03,702,11212,2020-01-03,False
S0_30_paid_post0935_10,2020-01-02,675,10545,2020-01-02,False
S0_30_locked_open_10,2020-01-02,434,12031,2020-01-02,False
S0_30_locked_post0935_5,2020-01-03,538,11761,2020-01-03,False
S0_30_locked_post0935_10,2020-01-02,584,12007,2020-01-02,False
