scenario,original_event,increment_cash,start,end,method
S0_0_paid_open_5,0,-8419.451604129958,2020-01-02,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S0_0_locked_open_5,0,-6017.071811859991,2020-01-02,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S0_10_paid_open_5,0,-10249.323273464877,2020-01-02,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S0_10_locked_open_5,0,-8070.87113406491,2020-01-02,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S0_30_paid_open_5,0,-13935.088326579673,2020-01-02,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S0_30_locked_open_5,0,-11595.575440679691,2020-01-02,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,0,3.543110560003697,2020-01-02,2020-03-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,10,78.18437660000563,2020-08-13,2020-08-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,11,-69.44218980999722,2020-08-28,2021-05-25,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,19,11.07813587000237,2021-05-26,2021-07-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,21,5.07771540000067,2021-07-06,2021-07-15,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,22,-96.42761487999996,2021-07-16,2021-07-30,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,23,-74.10729539999738,2021-08-02,2021-08-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,24,-102.7081749999943,2021-08-11,2021-09-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,25,14.063435530000788,2021-09-02,2022-03-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,3,246.41747289999876,2020-03-11,2020-03-24,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,32,-14.35181442999965,2022-03-14,2022-04-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,33,-182.144873164998,2022-04-28,2022-08-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,37,-27.280754549996345,2022-08-10,2022-09-05,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,38,-19.05897994999941,2022-09-06,2022-09-27,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,39,-137.34302054999898,2022-09-28,2022-10-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,4,102.43757640000149,2020-03-25,2020-04-02,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,40,-104.05407524999646,2022-10-13,2022-11-01,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,41,-584.7423424850003,2022-11-02,2024-01-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,5,-342.6269029899977,2020-04-03,2020-04-14,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,6,0.22217082000315713,2020-04-15,2020-05-19,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,63,-561.3473071849985,2024-01-12,2025-04-09,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,7,-176.76709552999637,2020-05-20,2020-07-29,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,84,272.8633915500013,2025-04-10,2025-04-21,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,85,-5196.3025579550085,2025-04-22,2026-09-11,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_paid_open_5,9,-29.139254899999287,2020-07-30,2020-08-12,daily relative change assigned to latest actual sale original event; residual holding attribution retained
S1_F1_0_locked_open_5,0,3.543110560003697,2020-01-02,2020-03-10,daily relative change assigned to latest actual sale original event; residual holding attribution retained
