buffer,mode,settlement,initial,final,hold_final,return_pct,hold_return_pct,increment_cash,increment_pct,mdd_pct,hold_mdd_pct,relative_mdd_cash,completed,sales,skip_t1,skip_missing,sale_blocked,failed_restore_days,max_consecutive_deficit_days,insufficient_cash_windows,max_extra_cash_required,terminal_missing,terminal_cash,terminal_cash_gap,terminal_receivable,terminal_tax_reserve,unobserved_first_windows,missed_rise_cash,avoided_fall_cash,fees,dividend_tax,scenario,rule,work,first_window,slip_bp,deficit_days,intraday_buys,first_difference_from_B15,old_increment_cash
0.0,conservative,ex_date_close_scenario,18380.0,59350.54839587004,67770.0,222.9083155379219,268.71599564744287,-8419.451604129958,-45.80768010952099,-61.57190193607749,-57.697841726618705,-10472.967242089951,38,39,38,1545,1,1546,349,1545,7261.1316441299505,100,1687.5483958700497,4727.719206164949,0.0,0.0,0,69768.0,62667.0,850.2796041300003,45.0,S0_0_paid_open_5,S0,A,open,5,1546,0,2020-03-04,-8453.77449056493
0.0,conservative,receivable_locked,18380.0,61752.92818814001,67770.0,235.9789346471165,268.71599564744287,-6017.071811859991,-32.73706100032639,-57.482767053253056,-57.697841726618705,-8070.587449819992,11,12,11,1600,0,1601,952,1600,7249.151851859983,100,759.9281881400166,5655.3394138949825,3330.0,0.0,0,68333.0,62817.0,303.50231186,45.0,S0_0_locked_open_5,S0,A,open,5,1601,0,2020-03-04,-6149.058546104963
0.1,conservative,ex_date_close_scenario,20218.0,59358.67672653512,69608.0,193.5932175612579,244.28726877040262,-10249.323273464877,-50.6940512091447,-64.76784072803122,-53.02362482369535,-11882.323273464863,100,101,100,1420,2,1421,600,1420,7253.003313464867,100,1695.6767265351336,4719.590875499865,0.0,0.0,0,70153.0,63887.000000000015,2508.0187734649994,90.0,S0_10_paid_open_5,S0,A,open,5,1421,0,2020-07-16,-10291.609150594855
0.1,conservative,receivable_locked,20218.0,61537.12886593509,69608.0,204.3680327724557,244.28726877040262,-8070.87113406491,-39.91923599794693,-61.878564952156644,-53.02362482369535,-9703.871134064902,74,75,74,1473,1,1474,955,1473,7284.951174064905,100,724.1288659350948,5691.138736099904,3150.0,0.0,0,68841.0,63929.00000000001,1965.8436340649994,67.5,S0_10_locked_open_5,S0,A,open,5,1474,0,2020-07-16,-8167.979510464887
0.3,conservative,ex_date_close_scenario,23894.0,59348.91167342033,73284.0,148.38416202151302,206.7046120364945,-13935.088326579673,-58.32045001498147,-69.68420541006917,-45.63040509786072,-15568.088326579658,217,218,217,1186,2,1187,349,1186,7262.768366579662,100,1685.911673420338,4729.355928614661,0.0,0.0,0,70331.0,64805.00000000002,5321.873826580006,90.0,S0_30_paid_open_5,S0,A,open,5,1187,0,2021-07-02,-13924.726018304653
0.3,conservative,receivable_locked,23894.0,61688.42455932031,73284.0,158.17537691186203,206.7046120364945,-11595.575440679691,-48.52923512463251,-66.871695296032,-45.63040509786072,-13228.575440679677,197,198,197,1227,1,1228,927,1227,7133.655480679683,100,875.4245593203168,5539.843042714682,3150.0,0.0,0,68879.00000000001,65058.00000000003,4904.363440680001,90.0,S0_30_locked_open_5,S0,A,open,5,1228,0,2021-07-02,-11843.762534104688
0.0,conservative,ex_date_close_scenario,18380.0,60786.04313160004,67770.0,230.718406591948,268.71599564744287,-6983.9568683999605,-37.997589055494885,-61.35596468422383,-57.697841726618705,-8981.328362359956,37,38,7,296,0,1428,340,1427,5825.6369083999525,100,3123.0431316000468,3292.2244704349523,0.0,0.0,0,67087.0,61596.00000000001,912.4498683999997,108.0,S1_F1_0_paid_open_5,S1_F1,A,open,5,1428,0,2020-03-04,-6966.819914444968
0.0,conservative,receivable_locked,18380.0,61753.016788615016,67770.0,235.9794166954027,268.71599564744287,-6016.983211384984,-32.73657895204017,-57.48233395620355,-57.697841726618705,-8014.354705344973,18,19,2,320,0,1542,952,1541,7249.063251384975,100,760.0167886150248,5655.250813419974,3330.0,0.0,0,67504.0,62310.0,496.274711385,85.5,S1_F1_0_locked_open_5,S1_F1,A,open,5,1542,0,2020-03-04,-6022.130712479986
0.1,conservative,ex_date_close_scenario,20218.0,60792.854807615215,69608.0,200.6867880483491,244.28726877040262,-8815.145192384785,-43.60048072205354,-65.96822795050119,-53.02362482369535,-13027.25752778479,152,153,27,161,0,807,340,806,5818.825232384777,100,3129.854807615222,3285.412794419777,0.0,0.0,0,63382.0,60243.000000000015,3523.826692385,199.5,S1_F1_10_paid_open_5,S1_F1,A,open,5,807,0,2023-03-07,-8806.140602339787
0.1,conservative,receivable_locked,20218.0,61631.214224720185,69608.0,204.83338720308728,244.28726877040262,-7976.785775279815,-39.453881567315335,-64.67965930846799,-53.02362482369535,-12188.898110679827,124,125,22,194,0,988,958,987,7265.86581527981,100,743.21422472019,5672.053377314809,3225.0,0.0,0,64177.0,60959.00000000001,2964.00777528,150.0,S1_F1_10_locked_open_5,S1_F1,A,open,5,988,0,2022-09-19,-7989.792405344822
0.3,conservative,ex_date_close_scenario,23894.0,84555.40725744567,73284.0,253.8771543376817,206.7046120364945,11271.407257445666,47.172542301187185,-57.29429352276756,-45.63040509786072,-8136.860422454876,286,286,54,0,1,0,0,0,0.0,0,20485.407257445673,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7969.927742555007,700.0,S1_F1_30_paid_open_5,S1_F1,A,open,5,0,0,,11271.407257445666
0.3,conservative,receivable_locked,23894.0,84555.40725744567,73284.0,253.8771543376817,206.7046120364945,11271.407257445666,47.172542301187185,-57.29429352276756,-45.63040509786072,-8136.860422454876,286,286,54,0,1,0,0,0,0.0,0,16985.407257445673,0.0,3500.0,0.0,0,25220.00000000002,52169.999999999985,7969.927742555007,700.0,S1_F1_30_locked_open_5,S1_F1,A,open,5,0,0,,11271.407257445666
