scenario,year,increment_cash,fees,dividend_tax,sales,deficit_days,ending_relative
S0_0_paid_open_5,2020,-480.97751275999144,191.39951276,0.0,7,230,-480.97751275999144
S0_0_paid_open_5,2021,-58.7059405399923,115.99894054,0.0,5,233,-539.6834532999837
S0_0_paid_open_5,2022,-549.9197858749703,497.78828587500004,45.0,25,192,-1089.603239174954
S0_0_paid_open_5,2023,-649.0,0.0,0.0,0,242,-1738.603239174954
S0_0_paid_open_5,2024,-778.4683899800002,21.59038998,0.0,1,240,-2517.0716291549543
S0_0_paid_open_5,2025,-5659.979974974995,23.502474975,0.0,1,240,-8177.051604129949
S0_0_paid_open_5,2026,-242.40000000000873,0.0,0.0,0,169,-8419.451604129958
S0_0_locked_open_5,2020,-480.97751275999144,191.39951276,0.0,7,230,-480.97751275999144
S0_0_locked_open_5,2021,170.0,0.0,0.0,0,243,-310.97751275999144
S0_0_locked_open_5,2022,57.905700900008014,112.1027991,45.0,5,232,-253.07181185998343
S0_0_locked_open_5,2023,-649.0,0.0,0.0,0,242,-902.0718118599834
S0_0_locked_open_5,2024,-696.0,0.0,0.0,0,242,-1598.0718118599834
S0_0_locked_open_5,2025,-4119.0,0.0,0.0,0,243,-5717.071811859983
S0_0_locked_open_5,2026,-300.0000000000073,0.0,0.0,0,169,-6017.071811859991
S0_10_paid_open_5,2020,-2102.8329919899097,1788.65349199,0.0,68,107,-2102.8329919899097
S0_10_paid_open_5,2021,-279.0131851299884,253.85668513000002,45.0,10,223,-2381.846177119898
S0_10_paid_open_5,2022,-567.8971213699715,442.00612137,45.0,22,198,-2949.7432984898696
S0_10_paid_open_5,2023,-649.0,0.0,0.0,0,242,-3598.7432984898696
S0_10_paid_open_5,2024,-696.0,0.0,0.0,0,242,-4294.74329848987
S0_10_paid_open_5,2025,-5712.179974974992,23.502474975,0.0,1,240,-10006.923273464861
S0_10_paid_open_5,2026,-242.400000000016,0.0,0.0,0,169,-10249.323273464877
S0_10_locked_open_5,2020,-2102.8329919899097,1788.65349199,0.0,68,107,-2102.8329919899097
S0_10_locked_open_5,2021,-46.209309869997014,128.05580987,0.0,5,233,-2149.0423018599067
S0_10_locked_open_5,2022,-157.82883220499934,49.13433220500001,67.5,2,238,-2306.871134064906
S0_10_locked_open_5,2023,-649.0,0.0,0.0,0,242,-2955.871134064906
S0_10_locked_open_5,2024,-696.0,0.0,0.0,0,242,-3651.871134064906
