entry,exit,days,sale_cash,final_cash,restored
2020-01-02,2020-03-06,40,18347.071773800002,3.5431105600027877,True
2020-03-09,2020-03-10,1,16150.414651800002,160.6480025600049,True
2020-03-11,2020-03-12,1,16509.867635399998,407.06547546000184,True
2020-03-13,2020-03-16,1,15621.2199815,335.1317001600037,True
2020-03-17,2020-03-18,1,13883.8638941,156.68945376000556,True
2020-03-19,2020-03-23,2,13484.471690100001,2.0775676400069187,True
2020-03-24,2022-04-26,507,12995.216240200001,3.5456380700086356,True
2022-04-27,2022-04-28,1,9350.762378700001,34.46672367001156,True
2022-04-29,2022-05-10,4,9500.6296076,5.2436336950119085,True
2022-05-11,2022-05-12,1,9370.82584195,16.300928895012476,True
2022-05-13,2022-10-12,101,9360.840936900002,50.392699235014675,True
2022-10-13,,952,,,False
