entry,exit,days,sale_cash,final_cash,restored
2020-01-02,2020-03-06,40,18347.071773800002,3.5431105600027877,True
2020-03-09,2020-03-10,1,16150.414651800002,160.6480025600049,True
2020-03-11,2020-03-12,1,16509.867635399998,407.06547546000184,True
2020-03-13,2020-03-16,1,15621.2199815,335.1317001600037,True
2020-03-17,2020-03-18,1,13883.8638941,156.68945376000556,True
2020-03-19,2020-03-23,2,13484.471690100001,2.0775676400069187,True
2020-03-24,2021-07-28,328,12995.216240200001,197.43591596000874,True
2021-07-29,2021-07-30,1,10968.300804900002,195.03741126001114,True
2021-08-02,2021-08-03,1,11787.054823100001,120.93011586001376,True
2021-08-04,2021-08-05,1,11886.9028741,16.60327016001429,True
2021-08-06,2021-08-09,1,11807.024433300001,12.491585460014903,True
2021-08-10,2022-03-08,137,12116.5533914,19.7564959300164,True
2022-03-09,2022-08-08,102,10379.197304000001,379.5272101850177,True
2022-08-09,2022-08-10,1,9625.37299345,304.95825518501806,True
2022-08-11,2022-08-12,1,9790.191854050001,315.1673603850195,True
2022-08-15,2022-08-16,1,9540.5692278,265.85074028502095,True
2022-08-17,2022-08-18,1,9630.433373250002,266.3778654350226,True
2022-08-19,2022-08-22,1,9500.6296076,327.1981258850228,True
2022-08-23,2022-08-24,1,9420.7503672,318.1442459850241,True
2022-08-25,2022-08-26,1,9290.946601550002,239.31720073502584,True
2022-08-29,2022-08-30,1,9221.0522662,180.64172058502663,True
2022-08-31,2022-09-01,1,9270.97679145,221.91626593502951,True
2022-09-02,2022-09-05,1,9290.946601550002,203.11982098503177,True
2022-09-06,2022-09-07,1,9420.7503672,184.06084103503235,True
2022-09-08,2022-09-09,1,9420.7503672,124.98146088503381,True
2022-09-13,2022-09-14,1,9470.67489245,125.83170603503459,True
2022-09-15,2022-09-16,1,9360.840936900002,136.90919623503578,True
2022-09-19,2022-09-20,1,8871.58058945,78.9405410850377,True
2022-09-21,2022-09-22,1,8731.79191875,101.29541633503686,True
2022-09-23,2022-09-26,1,8671.88248845,163.79186178503915,True
2022-09-27,2022-09-28,1,8631.942868250002,166.33848693504115,True
2022-09-29,2022-09-30,1,8362.350431900002,109.39977678504329,True
2022-10-10,2022-10-11,1,8142.6825208,2.87985638504324,True
2022-10-12,2022-10-13,1,8292.45609655,36.12841168504383,True
2022-10-14,2022-10-17,1,8422.2598622,9.08383168504588,True
2022-10-18,2022-10-26,6,8482.1692925,1.930831810046925,True
2022-10-27,2024-01-16,299,8372.33533695,3.752114505047075,True
2024-01-17,2025-04-07,291,12662.1964334,44.25371227004689,True
2025-04-09,,349,,,False
