entry,exit,days,sale_cash,final_cash,restored
2020-01-02,2020-01-03,1,18337.8911476,5358.051378200002,True
2020-01-06,2020-01-07,1,17858.860257999997,5373.734879799998,True
2020-01-08,2020-01-09,1,17479.6274704,5040.2161944,True
2020-01-10,2020-01-13,1,17988.5977906,5155.606628000001,True
2020-01-14,2020-01-15,1,18347.8709578,4969.597015600004,True
2020-01-16,2020-01-17,1,18367.8305782,4913.6592258000055,True
2020-01-20,2020-01-21,1,19295.9529268,4924.966567400006,True
2020-01-22,2020-01-23,1,20802.904267,5312.072626600009,True
2020-02-04,2020-02-05,1,17978.6179804,5107.167043800011,True
2020-02-06,2020-02-07,1,18876.8008984,4599.220355000016,True
2020-02-10,2020-02-11,1,18866.8210882,4531.752865000017,True
2020-02-12,2020-02-13,1,19106.336532999998,4663.760019000016,True
2020-02-14,2020-02-17,1,18307.951717,4618.014769400019,True
2020-02-18,2020-02-19,1,18806.942227000003,4780.964224000025,True
2020-02-20,2020-02-21,1,18767.022986199998,4613.698632000025,True
2020-02-24,2020-02-25,1,20094.337742800002,4722.67677560003,True
2020-02-26,2020-02-27,1,18667.2248842,4715.878286800034,True
2020-02-28,2020-03-02,1,17040.515821599998,4563.880365000034,True
2020-03-03,2020-03-04,1,17399.788988800003,4861.2474122000385,True
2020-03-05,2020-03-06,1,17120.3543032,5039.34297700004,True
2020-03-09,2020-03-10,1,16142.3329036,5360.559564600042,True
2020-03-11,2020-03-12,1,16501.6060708,5530.529109200048,True
2020-03-13,2020-03-16,1,15613.402963,5523.01976020005,True
2020-03-17,2020-03-18,1,13876.9159882,5230.502465400052,True
2020-03-19,2020-03-20,1,13477.7235802,5119.384374200054,True
2020-03-23,2020-03-24,1,12489.722370399999,4781.040288400052,True
2020-03-25,2020-03-26,1,13517.642821000001,4930.065842400054,True
2020-03-27,2020-03-30,1,13038.6119314,5300.774520800054,True
2020-03-31,2020-04-01,1,13178.329274200001,5040.415126600055,True
2020-04-02,2020-04-03,1,13946.7746596,5228.174711400057,True
2020-04-07,2020-04-08,1,14116.431433,5225.22386240006,True
2020-04-09,2020-04-10,1,13916.835228999998,5302.962415000058,True
2020-04-13,2020-04-14,1,13118.450413,5052.795561000061,True
2020-04-15,2020-04-16,1,13836.996747399999,5250.899636000058,True
2020-04-17,2020-04-20,1,13956.7544698,5108.29222420006,True
2020-04-21,2020-04-22,1,14126.4112432,5215.423187400062,True
2020-04-23,2020-04-24,1,13926.8150392,5102.937546200066,True
2020-04-27,2020-04-28,1,13916.835228999998,4960.451694400066,True
2020-04-29,2020-04-30,1,14206.2497248,4696.962130200065,True
2020-05-06,2020-05-07,1,14725.1998552,4752.218692400069,True
2020-05-08,2020-05-11,1,14405.8459288,4648.28453140007,True
2020-05-12,2020-05-13,1,14196.2699146,4775.223165000069,True
2020-05-14,2020-05-15,1,13657.3601638,4713.60905480007,True
2020-05-18,2020-05-19,1,13457.7639598,4442.388540400072,True
2020-05-20,2020-05-21,1,13817.037127,4340.247389400074,True
2020-05-22,2020-05-25,1,13228.2283252,4350.0114506000755,True
2020-05-26,2020-05-27,1,13467.74377,4278.9645502000785,True
2020-05-28,2020-05-29,1,13427.824529200001,4378.212613200079,True
2020-06-01,2020-06-02,1,13846.9765576,4165.868090000082,True
2020-06-03,2020-06-04,1,14186.290104400001,4192.735111600085,True
2020-06-05,2020-06-08,1,14046.5727616,3769.5685842000876,True
2020-06-09,2020-06-10,1,14515.623841,3845.4837368000917,True
2020-06-11,2020-06-12,1,13986.6939004,4013.1013612000897,True
2020-06-15,2020-06-16,1,13637.4005434,3801.39502800009,True
2020-06-17,2020-06-18,1,14216.229535,3878.221880600093,True
2020-06-19,2020-06-22,1,14316.027637,3694.4796280000937,True
2020-06-23,2020-06-24,1,14076.5121922,3431.385133800093,True
2020-06-29,2020-06-30,1,15184.2711244,3485.2437560000926,True
2020-07-01,2020-07-02,1,15383.8673284,3548.5047784000963,True
2020-07-03,2020-07-06,1,15872.8780282,3149.807481600099,True
2020-07-07,2020-07-08,1,16341.929107599999,3150.0898628000978,True
2020-07-09,2020-07-10,1,16681.242654399997,3349.5429880000956,True
2020-07-13,2020-07-14,1,16461.68683,3089.195484000098,True
2020-07-15,2020-07-16,1,16162.292523999999,3170.1064868000994,True
2020-07-17,2020-07-20,1,14755.1392858,3045.088275400103,True
2020-07-21,2020-07-22,1,15393.8471386,3138.3495084001024,True
2020-07-23,2020-07-24,1,14944.7556796,3162.9068900001057,True
2020-07-27,2020-07-28,1,13976.7140902,2820.0346942001033,True
2020-07-29,2020-07-30,1,14475.7046002,2735.9082036001055,True
2020-07-31,2020-08-03,1,14555.5430818,2531.41619060011,True
2020-08-04,2020-08-05,1,14645.361373599999,2446.7730700001084,True
2020-08-06,2020-08-07,1,14465.72479,2512.82997240011,True
2020-08-10,2020-08-11,1,14375.9064982,2418.9971816001107,True
2020-08-12,2020-08-13,1,15104.4326428,2403.0275224001125,True
2020-08-14,2020-08-17,1,14994.6547306,2387.392153200113,True
2020-08-18,2020-08-19,1,15144.3518836,2471.402936000113,True
2020-08-20,2020-08-21,1,14795.0585266,2266.1815630001147,True
2020-08-24,2020-08-25,1,14954.7354898,2150.5657518001153,True
2020-08-26,2020-08-27,1,14505.644030799998,2046.3276908001135,True
2020-08-28,2020-08-31,1,14715.220045,1871.380038400117,True
2020-09-01,2020-09-02,1,14695.260424600001,1736.5339668001216,True
2020-09-03,2020-09-04,1,14475.7046002,2002.7644832001242,True
2020-09-07,2020-09-08,1,13906.8554188,1890.339622000125,True
2020-09-09,2020-09-10,1,13876.9159882,1767.995730600127,True
2020-09-11,2020-09-14,1,13587.501492399999,1666.5535496001285,True
2020-09-15,2020-09-16,1,13697.2794046,1754.97088240013,True
2020-09-17,2020-09-18,1,13527.6226312,1623.6804408001317,True
2020-09-21,2020-09-22,1,13707.2592148,1662.0163826001335,True
2020-09-23,2020-09-24,1,13537.6024414,1720.8893548001342,True
2020-09-25,2020-09-28,1,13138.4100334,1580.7739230001353,True
2020-09-29,2020-09-30,1,13527.6226312,1489.5242822001364,True
2020-10-09,2020-10-12,1,13817.037127,1407.4035316001373,True
2020-10-13,2020-10-14,1,13896.8756086,1585.3048662001383,True
2020-10-15,2020-10-16,1,13717.239025,1463.4472148001405,True
2020-10-19,2020-10-20,1,13827.0169372,1591.5102784001429,True
2020-10-21,2020-10-22,1,13607.4611128,1610.1297198001448,True
2020-10-23,2020-10-26,1,13557.5620618,1628.9011112001463,True
2020-10-27,2020-10-28,1,13836.996747399999,1616.790982000146,True
2020-10-29,2020-10-30,1,13926.8150392,1654.4583438001482,True
2020-11-02,2020-11-03,1,13128.430223200001,1544.40390260015,True
2020-11-04,2020-11-05,1,13437.804339400001,1263.2339680001533,True
2020-11-06,2020-11-09,1,13966.73428,890.3615616001553,True
2020-11-10,2020-11-11,1,15024.5941612,1184.9512286001573,True
2020-11-12,2020-11-13,1,14445.765169600001,1351.17091300016,True
2020-11-16,2020-11-17,1,14246.1689656,1437.9167958001617,True
2020-11-18,2020-11-19,1,14365.926688,1494.2673980001618,True
2020-11-20,2020-11-23,1,14216.229535,1491.012649000164,True
2020-11-24,2020-11-25,1,14136.3910534,1397.909218200166,True
2020-11-26,2020-11-27,1,13966.73428,1525.546821800168,True
2020-11-30,2020-12-01,1,13777.1178862,1463.568031600169,True
2020-12-02,2020-12-03,1,14016.633331,1530.9924840001713,True
2020-12-04,2020-12-07,1,13807.0573168,1669.126527800172,True
2020-12-08,2020-12-09,1,14106.451622800001,1576.1142670001755,True
2020-12-10,2020-12-11,1,13397.8850986,1505.280096600176,True
2020-12-14,2020-12-15,1,13507.663010799999,1614.2952398001762,True
2020-12-16,2020-12-17,1,13497.683200599999,1683.2999722001769,True
2020-12-18,2020-12-21,1,13617.440923,1711.8992238001792,True
2020-12-22,2020-12-23,1,13238.2081354,1631.5410932001796,True
2020-12-24,2020-12-25,1,13347.986047600001,1650.9506746001825,True
2020-12-28,2020-12-29,1,13238.2081354,1550.572143600184,True
2020-12-30,2020-12-31,1,13637.4005434,1468.9984130001849,True
2021-01-04,2021-01-05,1,13767.138076000001,1517.1622150001876,True
2021-01-06,2021-01-07,1,13836.996747399999,1535.0826864001865,True
2021-01-08,2021-01-11,1,14206.2497248,1381.7053244001872,True
2021-01-12,2021-01-13,1,14535.5834614,1127.223090400188,True
2021-01-14,2021-01-15,1,15633.3625834,989.5203588001914,True
2021-01-18,2021-01-19,1,15842.938597600001,1111.4446424001962,True
2021-01-20,2021-01-21,1,15104.4326428,855.2301784001975,True
2021-01-22,2021-01-25,1,14715.220045,1010.619132600199,True
2021-01-26,2021-01-27,1,14785.0787164,835.4587502001996,True
2021-01-28,2021-01-29,1,14176.3102942,742.233759400202,True
2021-02-01,2021-02-02,1,13866.936178,820.1242620002031,True
2021-02-03,2021-02-04,1,13238.2081354,779.8069322002048,True
2021-02-05,2021-02-08,1,13178.329274200001,709.6413418002085,True
2021-02-09,2021-02-10,1,13587.501492399999,728.3215632002084,True
2021-02-18,2021-02-19,1,13926.8150392,645.8665226002104,True
