entry,exit,days,sale_cash,final_cash,restored
2020-01-03,2020-01-06,1,18187.3148922,162.94951210000363,True
2020-01-10,2020-01-13,1,17997.6035953,126.182527200006,True
2020-01-14,2020-01-15,1,18357.0565789,118.69692260000738,True
2020-01-16,2020-01-17,1,18377.0261891,71.14972760001183,True
2020-02-13,2020-02-14,1,18387.0109942,183.6653392000153,True
2020-02-19,2020-02-20,1,18456.9046299,35.902983200016024,True
2020-02-28,2020-03-17,12,17049.0471108,57.10524391001445,True
2020-03-18,2020-03-19,1,13534.395715600001,29.454824010017546,True
2020-03-23,2022-03-11,478,12495.9759852,10.931724230018972,True
2022-03-15,2022-10-12,139,9730.1849725,45.090644000019324,True
2022-10-19,2022-10-31,8,8337.320242000002,39.163054355021245,True
2022-11-18,2022-11-21,1,8931.49001975,61.11402960502164,True
2022-11-23,2022-11-24,1,9031.33907025,32.83755460502289,True
2022-11-28,,920,,,False
