entry,exit,days,sale_cash,final_cash,restored
2020-01-03,2020-01-06,1,18187.3148922,162.94951210000363,True
2020-01-10,2020-01-13,1,17997.6035953,126.182527200006,True
2020-01-14,2020-01-15,1,18357.0565789,118.69692260000738,True
2020-01-16,2020-01-17,1,18377.0261891,71.14972760001183,True
2020-02-13,2020-02-14,1,18387.0109942,183.6653392000153,True
2020-02-19,2020-02-20,1,18456.9046299,35.902983200016024,True
2020-02-28,2020-03-17,12,17049.0471108,57.10524391001445,True
2020-03-18,2020-03-19,1,13534.395715600001,29.454824010017546,True
2020-03-23,2021-07-05,312,12495.9759852,18.842282510019004,True
2021-07-07,2021-07-15,6,12126.538196500002,19.083157910020873,True
2021-07-16,2021-07-28,8,11467.5410599,217.65554303002205,True
2021-07-29,2021-07-30,1,10923.300804900002,170.25703833002444,True
2021-08-05,2021-08-06,1,11826.9940435,156.09936353002558,True
2021-08-11,2021-08-12,1,11757.1004078,142.08445373002723,True
2021-08-17,2021-08-18,1,11996.7357302,117.57486383002833,True
2021-08-19,2021-08-20,1,11826.9940435,53.391188530031286,True
2021-08-26,2021-08-27,1,11667.2371619,19.54943353003182,True
2021-08-30,2021-10-28,36,11487.5106701,1.0851887300323142,True
2021-11-17,2021-11-29,8,11717.161187400001,27.17525938003405,True
2021-12-29,2022-01-14,11,11876.918069000001,21.922889720036437,True
2022-01-21,2022-01-24,1,11587.358721100001,48.27549532003832,True
2022-01-25,2022-01-26,1,11287.8145681,15.208750320040053,True
2022-01-27,2022-03-08,23,11108.0880763,4.523155590041142,True
2022-03-10,2022-03-11,1,10329.2732785,93.47673179004232,True
2022-03-15,2022-04-26,28,9730.1849725,26.574966470043137,True
2022-05-06,2022-05-10,2,9171.12774095,1.0198415100436478,True
2022-05-24,2022-08-08,53,9081.2635955,359.6128112200448,True
2022-08-12,2022-08-15,1,9605.403183350001,295.089346270046,True
2022-08-19,2022-08-22,1,9500.6296076,355.9096067200462,True
2022-08-29,2022-08-30,1,9221.0522662,297.234126570047,True
2022-09-13,2022-09-14,1,9470.67489245,298.0843717200478,True
2022-09-16,2022-09-19,1,9101.2334056,269.6665317200477,True
2022-09-20,2022-09-21,1,8721.807013700001,252.02120177004872,True
2022-09-22,2022-09-23,1,8661.8975834,204.481741670048,True
2022-09-29,2022-09-30,1,8362.350431900002,147.54303152005014,True
2022-10-10,2022-10-11,1,8142.6825208,41.02311112005191,True
2022-10-19,2022-10-20,1,8382.320242000002,34.069511220055574,True
2022-10-24,2025-04-07,594,8272.48628645,33.8255012950558,True
2025-04-14,2025-04-17,3,17896.9053696,61.62728164505779,True
2025-04-24,,338,,,False
